R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,15,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,6000,500,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
54.812,2,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.818,7,-1,0,0.000,-0.446,0.000,0.688,-9.223,4.831
54.824,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.829,3,-1,0,0.000,-0.446,0.000,0.688,-9.223,4.831
54.835,6,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.841,-4,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.846,1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.852,2,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.858,1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.863,6,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.869,-4,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.875,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.880,6,-1,0,0.000,-0.446,0.000,0.688,-9.223,4.831
54.886,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.892,-1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.897,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.903,0,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.909,3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.914,1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.920,-5,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.926,-5,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.931,1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.937,-4,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.943,-4,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.948,5,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.954,-2,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.960,2,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.965,3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.971,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.977,3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.982,5,-1,0,0.000,-0.446,0.000,0.688,-9.223,4.831
54.988,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.994,-3,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
54.999,-5,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.005,-1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.011,1,0,0,0.000,-0.446,0.000,0.688,-9.223,4.831
55.016,0,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.022,-2,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.028,1,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.033,0,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.039,-5,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.045,0,-1,-1,0.000,-0.446,0.000,0.688,-9.223,4.831
55.051,2,-1,0,0.000,-0.446,0.000,0.688,-9.223,4.831
