R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
45,15,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,6000,500,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
7.790,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.796,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.802,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.808,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.813,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.819,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.825,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.830,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.836,2,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.841,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.847,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.853,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.858,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.864,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.870,-2,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.876,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.881,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.887,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.892,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.898,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.904,-7,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.909,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.915,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.921,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.927,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.932,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.938,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.943,-10,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.949,5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.955,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.960,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.966,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.972,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.978,3,0,0,0.000,0.000,0.000,0.000,0.000,0.000
7.983,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
7.989,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
7.994,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.000,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.006,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.011,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.017,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.023,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.028,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.034,-8,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.040,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.045,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.051,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.057,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.062,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.068,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.074,5,0,0,0.000,0.000,0.000,0.000,0.000,0.000
8.079,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.085,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.091,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.096,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.102,4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.108,6,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
8.113,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.119,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.125,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.130,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.136,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.142,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.147,3,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
8.153,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.159,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.164,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.170,3,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
8.176,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.181,-8,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.187,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.193,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.198,-2,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
8.204,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.210,6,0,0,0.000,0.000,0.000,0.000,0.000,0.000
8.216,5,0,0,0.000,0.000,0.000,0.000,0.000,0.000
8.221,4,0,0,0.000,0.000,0.000,0.000,0.000,0.000
8.227,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
8.232,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
