R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,25,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
102.557,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.563,4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.569,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.574,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.580,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.586,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.591,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.597,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.603,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.608,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.614,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.620,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.626,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.631,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.637,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.642,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.648,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.654,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.659,6,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.665,-1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.671,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
102.676,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.682,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.688,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.694,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.699,4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.705,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.710,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.716,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.722,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.727,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.733,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.739,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.745,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.750,5,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.756,3,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.761,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.767,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.773,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.778,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.784,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.790,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.796,3,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.801,3,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.807,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.813,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.818,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.824,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.829,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.835,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.841,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.847,5,0,0,0.000,0.000,0.000,0.000,0.000,0.000
102.852,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.858,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.864,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.869,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.875,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.881,6,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.886,4,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.892,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.897,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.903,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.909,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.915,1,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.920,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.926,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.931,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.937,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.943,2,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.948,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.954,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.960,7,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.966,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.971,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.977,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.983,7,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
102.988,-3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
102.994,0,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.000,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.005,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.011,-4,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.017,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.022,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.028,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.034,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.039,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.045,8,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
103.051,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.056,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.062,2,-1,0,0.000,0.000,0.000,0.000,0.000,0.000
103.068,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.073,-7,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.079,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.085,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.090,-8,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.096,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.102,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.107,2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.113,3,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.119,-1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.124,-2,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.130,1,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.136,-6,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
103.141,-5,-1,-1,0.000,0.000,0.000,0.000,0.000,0.000
