R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,GRawX,GPT1X,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
52.744,4.704,-0.318,0.163,0.022,9.848,0.149,0.040,9.872,0.128,0.232,0.113,0.113,0.226,0.167,0.162,0.227
52.755,0.309,-0.311,0.163,0.050,9.870,0.148,0.040,9.871,0.294,0.235,0.122,0.121,0.224,0.178,0.172,0.225
52.766,-4.451,-1.642,0.149,0.000,9.812,0.147,0.037,9.866,0.002,0.215,0.087,0.086,0.212,0.142,0.139,0.214
52.776,-7.258,-1.251,0.184,0.022,9.855,0.151,0.035,9.868,0.127,0.203,0.086,0.087,0.199,0.142,0.142,0.203
52.787,-2.131,-0.727,0.163,0.000,9.891,0.154,0.032,9.868,0.002,0.190,0.099,0.100,0.190,0.154,0.156,0.195
52.798,-4.084,-0.643,0.170,0.065,9.855,0.156,0.034,9.865,0.378,0.199,0.104,0.104,0.184,0.161,0.161,0.190
52.809,1.652,0.116,0.113,0.043,9.884,0.150,0.034,9.863,0.252,0.198,0.115,0.115,0.180,0.173,0.174,0.187
52.819,-2.619,1.166,0.170,0.050,9.877,0.152,0.035,9.862,0.294,0.206,0.152,0.152,0.189,0.212,0.211,0.197
52.830,4.094,1.169,0.098,0.050,9.798,0.151,0.036,9.856,0.296,0.213,0.174,0.174,0.202,0.234,0.232,0.211
52.841,-1.521,0.610,0.141,0.057,9.841,0.148,0.037,9.856,0.337,0.217,0.170,0.169,0.210,0.231,0.228,0.220
52.852,3.239,-0.078,0.170,0.050,9.841,0.149,0.038,9.856,0.295,0.224,0.133,0.133,0.208,0.196,0.192,0.218
52.862,-3.718,0.315,0.170,-0.006,9.870,0.150,0.036,9.859,-0.039,0.210,0.178,0.178,0.215,0.239,0.238,0.226
52.873,3.727,-0.405,0.134,0.036,9.891,0.149,0.037,9.864,0.210,0.217,0.169,0.169,0.214,0.231,0.229,0.226
52.884,4.216,0.354,0.091,0.022,9.848,0.150,0.037,9.866,0.128,0.216,0.161,0.160,0.208,0.223,0.221,0.221
52.894,-0.056,-0.412,0.134,0.014,9.826,0.149,0.034,9.861,0.086,0.202,0.155,0.156,0.210,0.216,0.216,0.223
52.905,1.774,0.636,0.170,0.057,9.855,0.147,0.033,9.861,0.336,0.196,0.169,0.169,0.209,0.228,0.229,0.223
52.916,4.338,1.460,0.156,0.036,9.862,0.149,0.033,9.860,0.211,0.193,0.188,0.188,0.216,0.246,0.248,0.230
52.927,3.117,1.737,0.134,0.036,9.870,0.147,0.033,9.859,0.211,0.196,0.223,0.224,0.235,0.281,0.282,0.248
52.938,-3.474,0.129,0.149,0.014,9.848,0.147,0.033,9.853,0.086,0.193,0.200,0.200,0.243,0.255,0.257,0.255
52.948,-0.300,0.091,0.163,0.050,9.870,0.153,0.031,9.850,0.294,0.185,0.206,0.207,0.243,0.259,0.262,0.255
52.959,-7.747,-1.228,0.134,0.007,9.855,0.150,0.033,9.850,0.044,0.192,0.166,0.166,0.236,0.219,0.221,0.247
52.970,2.018,-0.254,0.149,0.036,9.862,0.155,0.031,9.851,0.211,0.181,0.166,0.167,0.227,0.218,0.222,0.237
52.981,3.605,1.461,0.134,0.029,9.826,0.150,0.032,9.852,0.170,0.189,0.206,0.207,0.232,0.259,0.260,0.243
52.991,-0.788,0.081,0.163,0.014,9.891,0.152,0.031,9.855,0.085,0.181,0.205,0.206,0.243,0.254,0.258,0.253
53.002,-10.066,0.398,0.149,0.022,9.877,0.149,0.032,9.853,0.127,0.190,0.235,0.236,0.251,0.285,0.286,0.260
53.013,8.610,1.912,0.156,0.057,9.855,0.148,0.035,9.855,0.336,0.208,0.273,0.273,0.260,0.322,0.321,0.269
53.024,-1.765,0.944,0.163,0.043,9.884,0.153,0.036,9.853,0.252,0.211,0.258,0.258,0.272,0.306,0.304,0.280
53.034,-2.009,1.116,0.184,0.043,9.841,0.156,0.037,9.856,0.253,0.218,0.259,0.259,0.282,0.306,0.304,0.288
53.045,-3.596,1.178,0.192,-0.006,9.848,0.160,0.035,9.853,-0.039,0.208,0.292,0.292,0.296,0.336,0.335,0.302
53.056,0.676,0.701,0.149,0.050,9.877,0.156,0.038,9.853,0.294,0.222,0.312,0.311,0.309,0.354,0.351,0.313
53.067,4.338,-0.776,0.156,0.029,9.862,0.155,0.039,9.858,0.169,0.230,0.276,0.275,0.305,0.317,0.313,0.309
53.077,2.873,-0.095,0.163,0.057,9.834,0.156,0.039,9.857,0.337,0.228,0.281,0.280,0.298,0.321,0.317,0.301
53.088,2.507,-0.460,0.134,0.007,9.877,0.156,0.036,9.857,0.044,0.213,0.267,0.267,0.293,0.304,0.302,0.295
53.099,1.408,-0.368,0.156,0.007,9.834,0.154,0.033,9.856,0.044,0.195,0.280,0.280,0.289,0.312,0.313,0.290
53.110,-0.056,0.411,0.149,0.072,9.841,0.155,0.035,9.854,0.421,0.206,0.312,0.312,0.291,0.343,0.342,0.291
53.120,1.408,-0.281,0.141,0.057,9.834,0.153,0.037,9.852,0.337,0.218,0.302,0.301,0.291,0.332,0.330,0.289
53.131,-2.253,-0.031,0.149,0.057,9.862,0.153,0.037,9.851,0.336,0.218,0.313,0.313,0.290,0.341,0.339,0.288
53.141,-9.456,-1.085,0.127,0.029,9.913,0.153,0.038,9.855,0.168,0.223,0.285,0.284,0.285,0.313,0.310,0.283
53.151,5.070,0.118,0.192,0.000,9.877,0.152,0.036,9.858,0.002,0.209,0.309,0.309,0.277,0.334,0.333,0.275
53.161,-4.084,-0.185,0.170,0.057,9.848,0.151,0.037,9.859,0.337,0.216,0.295,0.295,0.275,0.320,0.318,0.273
53.172,-3.474,0.800,0.163,0.022,9.884,0.150,0.037,9.861,0.127,0.217,0.312,0.312,0.278,0.336,0.334,0.276
53.182,-1.277,0.210,0.149,0.029,9.848,0.146,0.037,9.861,0.169,0.216,0.319,0.318,0.284,0.341,0.340,0.283
53.192,-1.887,0.227,0.163,0.029,9.884,0.148,0.035,9.859,0.169,0.204,0.318,0.318,0.285,0.337,0.338,0.283
53.202,6.047,1.378,0.163,0.050,9.855,0.149,0.033,9.859,0.295,0.195,0.351,0.351,0.291,0.368,0.369,0.288
53.212,-0.300,0.994,0.127,0.050,9.870,0.146,0.036,9.859,0.294,0.214,0.347,0.347,0.300,0.365,0.363,0.297
53.223,-3.718,-0.469,0.141,0.050,9.870,0.146,0.038,9.860,0.294,0.221,0.304,0.304,0.301,0.322,0.319,0.298
53.233,-0.544,-0.591,0.156,0.086,9.870,0.146,0.040,9.859,0.503,0.234,0.302,0.301,0.295,0.321,0.316,0.292
53.243,-1.765,-0.806,0.163,0.043,9.855,0.147,0.038,9.858,0.253,0.224,0.292,0.292,0.288,0.309,0.306,0.284
53.253,3.483,0.105,0.177,0.022,9.819,0.152,0.036,9.856,0.128,0.210,0.323,0.323,0.285,0.337,0.336,0.282
53.263,-5.549,-1.295,0.220,-0.049,9.898,0.154,0.032,9.856,-0.288,0.190,0.260,0.261,0.276,0.271,0.273,0.272
53.274,-3.718,-0.356,0.450,-0.222,9.726,0.165,0.026,9.848,-1.308,0.154,0.281,0.284,0.269,0.287,0.296,0.265
53.284,-0.178,-0.013,0.335,-0.610,9.826,0.168,0.010,9.854,-3.553,0.060,0.288,0.294,0.266,0.281,0.304,0.262
53.294,-0.300,-0.524,0.206,-0.006,9.855,0.164,-0.009,9.849,-0.039,-0.053,0.257,0.268,0.260,0.234,0.275,0.252
53.304,5.925,0.259,0.156,0.086,9.819,0.162,0.009,9.853,0.505,0.052,0.281,0.288,0.255,0.268,0.292,0.246
53.314,0.676,-0.126,-0.102,0.237,9.776,0.153,0.010,9.847,1.392,0.058,0.250,0.256,0.251,0.235,0.257,0.238
53.324,-0.666,-1.155,0.501,0.762,10.114,0.168,0.029,9.854,4.305,0.172,0.211,0.212,0.240,0.208,0.212,0.227
53.335,7.023,-0.641,0.853,-0.286,9.561,0.191,-0.007,9.818,-1.713,-0.044,0.193,0.204,0.226,0.164,0.202,0.211
53.345,-1.155,-0.532,0.666,-0.179,9.783,0.213,-0.030,9.842,-1.047,-0.177,0.179,0.195,0.217,0.131,0.190,0.199
53.355,-8.113,0.277,1.320,-1.285,9.417,0.223,-0.037,9.814,-7.703,-0.216,0.207,0.224,0.217,0.154,0.216,0.196
