R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,GRawX,GPT1X,ARawX,ARawY,ARawZ,APT1X,APT1Y,APT1Z,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
58.902,-16.048,-2.507,8.045,-4.562,6.406,0.422,-1.069,9.838,-23.933,-6.201,-4.456,-3.499,-3.585,-4.111,-3.718,-3.466
58.913,-11.409,-4.371,1.643,-4.777,7.455,0.521,-1.164,9.766,-32.052,-6.793,-4.603,-3.600,-3.626,-4.368,-3.856,-3.548
58.923,-21.907,-7.213,-4.600,3.068,11.034,0.460,-1.085,9.764,14.402,-6.341,-4.745,-3.766,-3.693,-4.519,-4.060,-3.658
58.933,-31.673,-10.033,5.358,1.767,9.798,0.504,-1.002,9.773,9.000,-5.854,-4.915,-3.963,-3.783,-4.683,-4.283,-3.780
58.943,-9.822,-10.391,9.662,-7.378,7.728,0.693,-1.098,9.733,-30.825,-6.426,-5.032,-4.068,-3.885,-4.850,-4.412,-3.912
58.953,-4.573,-11.410,0.824,-2.456,8.749,0.793,-1.192,9.686,-15.627,-6.998,-5.217,-4.230,-4.007,-5.108,-4.607,-4.074
58.963,-19.222,-11.793,-3.802,7.702,13.548,0.684,-1.031,9.734,28.709,-6.038,-5.276,-4.308,-4.121,-5.174,-4.716,-4.224
58.975,-3.840,-10.150,0.263,6.732,14.281,0.603,-0.860,9.834,25.249,-4.996,-5.392,-4.424,-4.252,-5.318,-4.850,-4.381
58.985,10.197,-7.642,1.212,-1.731,10.653,0.636,-0.785,9.849,-9.176,-4.550,-5.401,-4.434,-4.332,-5.339,-4.864,-4.470
58.995,13.615,-3.780,0.141,-5.424,7.376,0.601,-0.867,9.792,-36.340,-5.058,-5.368,-4.363,-4.381,-5.375,-4.802,-4.532
59.006,8.244,-0.008,-5.591,3.628,11.113,0.598,-0.940,9.716,16.270,-5.523,-5.262,-4.220,-4.391,-5.347,-4.681,-4.566
59.016,10.564,3.727,-3.105,-0.473,8.619,0.514,-0.946,9.645,-2.961,-5.598,-5.103,-4.071,-4.362,-5.195,-4.547,-4.554
59.026,9.953,4.727,7.262,-7.701,6.026,0.438,-0.927,9.597,-39.239,-5.515,-5.021,-4.001,-4.313,-5.114,-4.491,-4.520
59.036,15.935,6.693,3.195,-0.452,11.113,0.506,-0.947,9.604,-2.240,-5.629,-4.908,-3.890,-4.255,-5.028,-4.403,-4.486
59.046,2.873,5.793,-2.811,3.621,12.090,0.578,-0.960,9.594,16.274,-5.710,-4.884,-3.848,-4.189,-5.057,-4.387,-4.445
59.056,2.140,5.270,4.567,-0.631,9.187,0.624,-0.925,9.590,-3.525,-5.503,-4.833,-3.804,-4.127,-5.017,-4.360,-4.402
59.067,2.140,2.958,-3.601,-3.735,8.088,0.671,-0.966,9.547,-22.888,-5.766,-4.882,-3.841,-4.086,-5.107,-4.416,-4.381
59.077,2.995,5.210,-6.015,1.775,10.904,0.563,-0.956,9.561,8.116,-5.704,-4.722,-3.704,-4.038,-4.942,-4.302,-4.358
59.087,7.634,7.007,12.313,-3.548,7.146,0.458,-0.945,9.527,-14.004,-5.662,-4.546,-3.545,-3.965,-4.766,-4.162,-4.304
59.097,-0.422,7.882,9.547,-5.589,6.838,0.734,-1.082,9.451,-25.466,-6.515,-4.444,-3.417,-3.884,-4.733,-4.062,-4.250
59.107,2.140,7.818,-6.712,2.371,13.649,0.634,-1.049,9.504,8.866,-6.290,-4.321,-3.299,-3.803,-4.640,-3.977,-4.202
59.119,15.324,9.699,-1.359,0.503,13.627,0.567,-1.036,9.619,2.106,-6.140,-4.167,-3.135,-3.705,-4.543,-3.850,-4.139
59.131,3.972,9.407,2.886,-1.781,11.213,0.697,-1.045,9.634,-8.750,-6.181,-4.050,-3.028,-3.597,-4.451,-3.779,-4.064
59.143,-0.544,5.419,-2.466,-2.722,10.408,0.535,-1.070,9.633,-14.287,-6.336,-4.122,-3.103,-3.526,-4.560,-3.889,-4.030
59.154,12.028,6.831,-2.732,-2.974,9.417,0.380,-1.132,9.618,-16.881,-6.715,-4.043,-3.008,-3.468,-4.550,-3.834,-4.011
59.166,8.366,7.870,2.785,-1.443,7.520,0.412,-1.141,9.544,-10.210,-6.818,-3.930,-2.895,-3.393,-4.485,-3.766,-3.981
59.177,3.239,5.440,0.508,2.127,8.476,0.381,-1.052,9.542,14.071,-6.289,-3.907,-2.926,-3.335,-4.429,-3.837,-3.963
59.189,-2.986,5.329,-1.288,4.835,9.568,0.230,-0.915,9.491,26.619,-5.513,-3.773,-2.869,-3.276,-4.225,-3.811,-3.935
59.201,11.784,5.453,4.804,4.067,10.150,0.430,-0.790,9.437,19.918,-4.785,-3.672,-2.830,-3.218,-4.064,-3.791,-3.897
59.213,1.408,6.948,2.864,0.970,9.280,0.557,-0.742,9.446,5.708,-4.486,-3.531,-2.721,-3.141,-3.903,-3.695,-3.834
59.224,-1.887,6.131,1.650,-6.775,8.037,0.622,-0.892,9.367,-39.565,-5.436,-3.515,-2.657,-3.063,-3.987,-3.649,-3.774
59.236,4.094,4.576,2.117,-8.449,6.981,0.664,-1.063,9.289,-49.214,-6.519,-3.574,-2.643,-3.012,-4.193,-3.668,-3.757
59.248,10.441,7.136,-3.896,-7.666,6.399,0.515,-1.251,9.229,-45.679,-7.711,-3.521,-2.498,-2.961,-4.330,-3.574,-3.757
59.260,10.686,6.621,-2.071,-2.004,8.009,0.396,-1.280,9.147,-13.625,-7.963,-3.478,-2.437,-2.907,-4.377,-3.573,-3.763
59.271,6.535,7.071,0.113,5.353,11.177,0.399,-1.163,9.158,25.602,-7.236,-3.380,-2.380,-2.856,-4.275,-3.569,-3.765
59.283,-4.328,5.703,2.879,7.789,11.723,0.494,-0.929,9.183,32.846,-5.773,-3.312,-2.370,-2.794,-4.163,-3.593,-3.737
59.295,-0.666,3.229,2.929,2.759,10.387,0.558,-0.747,9.198,14.349,-4.640,-3.343,-2.473,-2.759,-4.113,-3.710,-3.718
59.307,3.483,6.145,1.478,-4.799,8.619,0.573,-0.945,9.143,-28.770,-5.895,-3.248,-2.313,-2.704,-4.139,-3.570,-3.683
59.318,0.065,2.715,1.772,-8.535,6.859,0.689,-1.151,9.011,-50.330,-7.265,-3.383,-2.379,-2.675,-4.417,-3.673,-3.693
59.330,16.423,6.366,4.503,-6.652,7.190,0.916,-1.253,8.950,-38.122,-7.935,-3.289,-2.256,-2.653,-4.422,-3.602,-3.723
59.342,12.151,8.613,4.876,-1.544,7.843,1.100,-1.216,8.864,-9.497,-7.756,-3.132,-2.135,-2.595,-4.269,-3.535,-3.720
59.354,-10.554,3.782,0.608,0.129,7.606,1.035,-1.186,8.787,0.974,-7.643,-3.179,-2.211,-2.547,-4.330,-3.662,-3.724
59.365,2.263,2.950,-5.290,3.952,5.947,0.846,-1.049,8.709,26.419,-6.839,-3.119,-2.247,-2.539,-4.178,-3.739,-3.759
59.377,-8.235,0.063,-1.869,4.922,7.621,0.782,-0.880,8.617,32.114,-5.810,-3.127,-2.355,-2.541,-4.075,-3.874,-3.789
59.388,-9.578,-4.058,-5.663,0.460,13.721,0.612,-0.837,8.660,1.776,-5.509,-3.316,-2.551,-2.584,-4.282,-4.082,-3.850
59.400,-3.108,-8.283,-1.977,-3.577,12.420,0.559,-0.864,8.714,-15.886,-5.654,-3.547,-2.774,-2.675,-4.548,-4.316,-3.958
59.412,-1.643,-6.601,2.692,-5.460,9.151,0.553,-0.964,8.761,-29.801,-6.270,-3.567,-2.790,-2.772,-4.605,-4.351,-4.078
59.424,-16.170,-8.945,10.373,-5.438,4.739,0.699,-1.104,8.654,-25.507,-7.250,-3.762,-2.970,-2.884,-4.859,-4.559,-4.224
59.435,-3.352,-8.623,9.676,-5.718,5.472,0.916,-1.208,8.543,-27.236,-8.010,-3.894,-3.101,-3.018,-5.037,-4.724,-4.399
59.447,-5.427,-7.516,0.608,-7.989,5.939,0.941,-1.348,8.484,-53.253,-8.979,-4.023,-3.176,-3.144,-5.300,-4.842,-4.573
59.459,-2.742,-6.592,-4.506,-6.078,6.428,0.749,-1.507,8.400,-37.765,-10.141,-4.174,-3.261,-3.269,-5.611,-4.984,-4.760
59.471,-1.277,-7.101,-1.194,1.049,8.052,0.611,-1.394,8.360,7.349,-9.447,-4.236,-3.389,-3.393,-5.637,-5.169,-4.945
59.482,-11.653,-7.433,2.908,6.294,8.088,0.604,-1.062,8.376,36.235,-7.213,-4.237,-3.545,-3.509,-5.453,-5.356,-5.097
59.494,-6.038,-5.104,2.800,5.604,9.115,0.585,-0.759,8.430,30.460,-5.138,-4.119,-3.563,-3.589,-5.152,-5.374,-5.181
59.506,-8.357,-4.104,-0.116,2.227,8.519,0.471,-0.620,8.479,14.660,-4.182,-4.061,-3.590,-3.638,-4.973,-5.386,-5.218
59.517,5.925,-3.832,-1.367,1.193,8.296,0.325,-0.546,8.507,8.080,-3.676,-4.080,-3.659,-3.686,-4.919,-5.432,-5.248
59.529,19.719,1.453,0.184,1.645,10.739,0.275,-0.465,8.651,8.715,-3.080,-3.939,-3.551,-3.695,-4.726,-5.297,-5.232
59.540,-5.061,1.250,-0.993,3.499,13.570,0.269,-0.423,8.815,14.430,-2.747,-3.938,-3.537,-3.665,-4.736,-5.251,-5.173
59.552,5.681,3.297,-1.532,1.609,12.054,0.220,-0.428,8.941,7.550,-2.741,-3.859,-3.424,-3.618,-4.695,-5.105,-5.094
59.562,11.540,4.833,3.267,-1.695,9.424,0.267,-0.475,8.991,-9.650,-3.026,-3.781,-3.324,-3.563,-4.643,-4.983,-5.019
59.572,31.682,9.000,4.007,-3.383,8.303,0.370,-0.567,8.987,-20.162,-3.614,-3.604,-3.118,-3.485,-4.511,-4.762,-4.926
59.584,23.870,11.983,3.856,-4.518,8.181,0.420,-0.739,8.954,-26.560,-4.718,-3.428,-2.882,-3.355,-4.434,-4.521,-4.788
59.596,29.607,16.618,8.361,-7.867,7.736,0.719,-1.024,8.921,-34.647,-6.530,-3.184,-2.564,-3.191,-4.327,-4.218,-4.638
59.607,32.903,18.587,0.716,-3.570,8.971,0.747,-1.131,8.979,-21.649,-7.158,-2.964,-2.297,-3.017,-4.225,-3.988,-4.496
59.618,13.737,19.191,-2.308,4.835,12.341,0.671,-1.018,9.091,21.075,-6.380,-2.701,-2.080,-2.829,-3.940,-3.808,-4.340
59.629,21.428,19.997,0.091,3.104,13.103,0.621,-0.911,9.224,13.334,-5.635,-2.515,-1.893,-2.633,-3.785,-3.638,-4.156
59.640,9.953,17.841,3.051,-3.060,8.871,0.636,-0.932,9.220,-18.076,-5.764,-2.444,-1.784,-2.442,-3.798,-3.544,-3.977
59.650,28.997,19.329,-0.296,-3.563,6.600,0.666,-0.999,9.242,-28.351,-6.160,-2.249,-1.550,-2.271,-3.695,-3.338,-3.830
59.661,-0.544,19.558,-8.106,3.679,11.465,0.545,-0.977,9.278,14.690,-6.003,-1.994,-1.309,-2.081,-3.460,-3.129,-3.667
59.671,21.794,21.784,-6.569,-2.226,10.926,0.340,-1.001,9.325,-9.913,-6.129,-1.752,-1.087,-1.891,-3.225,-2.933,-3.498
59.682,55.975,29.959,6.996,-4.871,5.379,0.486,-1.100,9.289,-28.910,-6.752,-1.368,-0.660,-1.645,-2.952,-2.546,-3.286
59.693,30.706,30.112,7.010,0.632,5.781,0.654,-1.104,9.209,3.984,-6.824,-1.056,-0.367,-1.351,-2.670,-2.303,-3.035
59.704,22.649,31.967,1.607,3.233,9.158,0.710,-1.028,9.259,19.185,-6.324,-0.632,-0.001,-1.038,-2.214,-1.983,-2.760
59.715,36.077,34.009,-2.710,-3.692,10.574,0.632,-1.096,9.313,-18.698,-6.703,-0.316,0.306,-0.727,-1.937,-1.716,-2.484
59.725,43.035,32.426,1.744,-10.180,7.039,0.650,-1.310,9.320,-54.564,-7.991,-0.131,0.549,-0.422,-1.912,-1.536,-2.236
59.736,24.846,30.693,0.853,0.093,8.073,0.631,-1.302,9.288,0.662,-7.970,0.163,0.854,-0.122,-1.717,-1.311,-2.010
59.747,6.657,27.577,-1.970,6.495,11.386,0.595,-1.161,9.372,29.356,-7.055,0.401,1.025,0.144,-1.455,-1.208,-1.805
59.759,8.000,23.957,3.863,0.941,9.230,0.644,-1.083,9.418,5.378,-6.552,0.562,1.135,0.384,-1.280,-1.148,-1.613
59.769,24.236,23.109,6.996,-4.289,5.350,0.761,-1.146,9.319,-25.977,-6.992,0.686,1.302,0.589,-1.286,-1.035,-1.459
59.780,-4.328,15.696,-1.086,-1.415,7.879,0.712,-1.162,9.293,-10.091,-7.112,0.625,1.249,0.744,-1.426,-1.149,-1.363
59.791,4.338,12.931,-11.282,-3.714,10.811,0.410,-1.223,9.311,-13.377,-7.483,0.673,1.278,0.845,-1.419,-1.179,-1.323
59.802,15.447,10.013,-9.234,-4.978,11.307,0.227,-1.315,9.382,-18.840,-7.982,0.650,1.247,0.906,-1.504,-1.275,-1.328
59.813,17.644,12.491,2.002,-0.243,8.806,0.216,-1.294,9.423,-1.547,-7.824,0.830,1.397,0.968,-1.359,-1.196,-1.338
59.824,0.065,6.758,2.721,6.359,11.515,0.292,-1.126,9.471,28.269,-6.785,0.755,1.264,1.005,-1.416,-1.387,-1.363
59.836,6.047,7.995,5.257,7.616,11.874,0.432,-0.760,9.600,30.406,-4.527,0.943,1.338,1.049,-1.104,-1.346,-1.354
59.848,-4.939,6.512,6.752,5.698,10.200,0.772,-0.502,9.677,24.989,-2.965,0.991,1.336,1.106,-1.009,-1.360,-1.312
59.859,-11.531,5.535,1.327,0.065,9.295,0.805,-0.479,9.669,0.397,-2.831,1.009,1.344,1.153,-0.993,-1.351,-1.267
59.869,-1.033,4.777,4.316,-7.766,8.504,0.882,-0.624,9.664,-39.176,-3.681,0.984,1.366,1.186,-1.106,-1.335,-1.241
59.879,0.920,3.717,7.233,1.875,11.292,0.938,-0.743,9.647,7.966,-4.390,0.926,1.350,1.199,-1.257,-1.370,-1.250
59.891,-6.038,1.182,6.227,2.565,9.446,1.167,-0.572,9.705,12.782,-3.350,0.911,1.291,1.198,-1.233,-1.441,-1.268
59.901,-12.019,-0.460,0.874,4.764,9.970,1.134,-0.554,9.669,25.466,-3.259,0.840,1.205,1.177,-1.302,-1.532,-1.299
59.911,-2.253,-0.298,0.881,-6.128,9.029,1.127,-0.656,9.657,-34.056,-3.864,0.751,1.144,1.147,-1.446,-1.596,-1.335
59.921,5.314,0.559,7.240,-4.842,9.877,1.071,-0.774,9.652,-21.584,-4.561,0.721,1.150,1.120,-1.554,-1.601,-1.378
59.931,-2.497,1.727,5.523,4.318,10.301,1.137,-0.726,9.676,20.288,-4.266,0.772,1.174,1.103,-1.490,-1.594,-1.415
59.941,13.249,2.444,-2.487,1.509,9.970,1.192,-0.680,9.650,8.359,-4.005,0.755,1.137,1.088,-1.494,-1.640,-1.442
59.952,9.831,3.064,1.162,-3.405,11.867,1.125,-0.677,9.669,-15.946,-3.983,0.792,1.155,1.090,-1.448,-1.627,-1.450
59.964,0.798,3.118,-0.432,-2.104,11.343,1.090,-0.736,9.694,-10.509,-4.317,0.798,1.166,1.090,-1.478,-1.629,-1.467
59.976,11.662,7.357,-4.097,-1.113,11.055,0.952,-0.828,9.747,-5.396,-4.836,0.936,1.323,1.116,-1.402,-1.491,-1.462
59.988,22.161,12.865,-5.771,4.146,13.757,0.811,-0.798,9.829,15.539,-4.628,1.190,1.571,1.198,-1.177,-1.267,-1.406
59.998,33.025,16.691,1.435,-6.617,8.239,0.775,-0.899,9.807,-38.370,-5.228,1.387,1.821,1.317,-1.085,-1.033,-1.302
60.008,47.552,20.463,0.249,-5.381,7.872,0.776,-0.954,9.826,-34.357,-5.532,1.628,2.101,1.469,-0.938,-0.780,-1.175
60.020,39.861,24.189,6.601,-6.954,7.448,0.804,-1.032,9.811,-34.962,-5.989,1.923,2.432,1.684,-0.749,-0.490,-0.999
60.030,37.176,27.480,-0.382,6.567,14.037,0.788,-0.908,9.897,25.077,-5.231,2.281,2.758,1.902,-0.387,-0.202,-0.816
60.040,15.447,28.587,-1.165,3.406,12.679,0.748,-0.760,9.995,14.984,-4.339,2.597,3.070,2.158,-0.095,0.084,-0.580
60.051,42.547,30.292,-0.023,-8.406,8.433,0.712,-0.877,9.988,-44.930,-5.013,2.917,3.424,2.426,0.140,0.411,-0.334
60.061,37.298,30.185,0.960,2.579,11.537,0.740,-0.956,9.999,12.569,-5.451,3.152,3.678,2.682,0.298,0.623,-0.115
60.071,25.457,30.604,-2.875,2.443,12.449,0.634,-0.924,10.064,10.831,-5.241,3.426,3.955,2.947,0.525,0.864,0.116
60.081,35.345,30.967,-2.351,-9.677,8.418,0.548,-1.051,10.072,-47.936,-5.954,3.668,4.229,3.209,0.675,1.098,0.344
60.091,23.381,29.983,-4.104,2.486,10.373,0.423,-1.019,10.071,12.571,-5.780,3.970,4.517,3.470,0.942,1.333,0.557
60.101,-3.474,25.236,-3.342,7.092,12.679,0.338,-0.948,10.090,28.421,-5.371,4.098,4.622,3.705,1.053,1.392,0.750
60.112,8.977,22.056,2.304,-9.986,6.543,0.341,-1.094,10.044,-55.242,-6.216,4.146,4.724,3.894,0.975,1.453,0.901
60.122,16.545,20.788,-5.505,-3.398,8.555,0.249,-1.223,9.998,-18.479,-6.980,4.226,4.866,4.049,0.902,1.537,1.000
60.132,5.925,18.591,0.220,2.781,11.702,0.268,-1.176,10.042,13.372,-6.680,4.306,4.911,4.181,0.976,1.525,1.077
60.142,-0.422,16.536,13.427,-3.196,7.642,0.489,-1.175,10.029,-11.696,-6.680,4.383,4.968,4.297,1.028,1.531,1.144
60.152,25.090,17.498,1.507,-2.535,11.400,0.531,-1.222,10.106,-12.442,-6.889,4.433,5.017,4.392,1.022,1.526,1.185
60.162,8.000,16.486,-8.494,-3.742,14.777,0.593,-1.276,10.126,-12.391,-7.175,4.513,5.091,4.497,1.053,1.544,1.235
60.173,41.082,19.481,0.766,0.991,9.625,0.535,-1.223,10.178,5.868,-6.845,4.732,5.265,4.602,1.277,1.660,1.282
60.183,24.846,21.835,1.866,8.327,8.928,0.477,-1.206,10.180,42.416,-6.756,4.993,5.493,4.741,1.523,1.829,1.364
60.193,17.278,23.024,2.354,-4.605,11.903,0.524,-1.276,10.232,-20.793,-7.103,5.164,5.669,4.903,1.629,1.955,1.478
60.203,45.477,26.985,5.645,-13.090,9.180,0.564,-1.303,10.261,-50.561,-7.234,5.485,5.979,5.086,1.908,2.212,1.610
60.213,39.739,32.983,-6.008,1.969,11.156,0.418,-1.290,10.301,8.837,-7.140,6.001,6.463,5.323,2.395,2.627,1.782
60.223,21.916,34.546,-10.204,4.677,11.968,0.310,-1.301,10.310,16.572,-7.197,6.349,6.798,5.593,2.690,2.894,1.990
60.234,55.731,37.818,6.946,-3.534,9.137,0.402,-1.299,10.314,-17.125,-7.177,6.726,7.168,5.878,3.007,3.200,2.218
60.244,50.848,42.197,7.233,1.221,10.258,0.505,-1.238,10.343,5.562,-6.825,7.253,7.681,6.216,3.478,3.643,2.492
60.254,30.462,42.366,-2.301,6.955,12.679,0.544,-1.198,10.320,28.372,-6.616,7.713,8.139,6.579,3.862,4.028,2.792
60.264,25.090,40.944,3.533,-1.149,8.231,0.591,-1.172,10.294,-7.313,-6.488,8.061,8.483,6.929,4.143,4.307,3.085
60.274,35.589,40.997,5.767,0.603,9.137,0.608,-1.080,10.288,3.200,-5.989,8.464,8.838,7.264,4.543,4.596,3.362
60.284,20.085,38.432,0.314,-5.467,12.571,0.624,-1.187,10.333,-23.509,-6.545,8.708,9.106,7.593,4.678,4.799,3.634
60.295,25.090,35.392,6.543,-8.276,10.444,0.675,-1.218,10.340,-33.899,-6.706,8.895,9.280,7.875,4.806,4.903,3.853
60.305,24.114,35.369,-3.637,2.414,12.320,0.564,-1.201,10.410,10.650,-6.579,9.207,9.570,8.147,5.065,5.117,4.053
60.315,36.199,34.796,-10.628,-4.813,12.140,0.522,-1.201,10.470,-16.619,-6.541,9.416,9.760,8.402,5.223,5.237,4.245
60.325,18.132,30.160,3.482,-7.838,7.154,0.525,-1.301,10.435,-44.593,-7.102,9.465,9.846,8.632,5.134,5.248,4.405
60.335,2.263,27.674,4.187,4.024,10.789,0.494,-1.440,10.447,19.181,-7.845,9.575,9.988,8.828,5.106,5.301,4.516
60.345,6.657,23.920,-2.804,1.279,12.974,0.449,-1.361,10.480,5.508,-7.399,9.578,9.986,8.979,5.030,5.221,4.591
60.355,9.099,18.571,-0.418,-2.349,9.130,0.407,-1.332,10.534,-14.421,-7.206,9.508,9.901,9.083,4.901,5.062,4.621
60.366,3.117,18.521,1.075,6.775,9.065,0.410,-1.190,10.505,36.603,-6.461,9.687,10.011,9.173,5.100,5.100,4.640
60.376,-18.367,11.609,0.199,-1.795,11.501,0.397,-1.041,10.484,-8.877,-5.671,9.523,9.798,9.225,4.942,4.832,4.636
60.386,-12.996,7.150,4.028,-12.594,7.858,0.454,-1.257,10.461,-54.991,-6.851,9.319,9.653,9.222,4.586,4.630,4.573
60.396,-1.521,2.537,2.412,1.466,12.399,0.473,-1.216,10.493,6.624,-6.610,9.095,9.421,9.156,4.301,4.330,4.436
60.406,-22.151,-1.353,-4.650,7.896,14.403,0.388,-1.011,10.582,27.566,-5.459,8.944,9.234,9.067,4.140,4.092,4.291
60.417,10.930,-4.662,-3.687,-2.650,9.352,0.296,-0.993,10.552,-14.778,-5.376,8.594,8.894,8.923,3.730,3.715,4.102
60.427,3.849,-2.963,3.748,-4.468,6.126,0.226,-0.978,10.569,-31.904,-5.291,8.442,8.757,8.782,3.510,3.542,3.918
60.437,7.634,-0.431,4.632,-1.127,8.368,0.349,-1.006,10.482,-6.726,-5.485,8.403,8.731,8.671,3.407,3.477,3.762
60.447,0.798,1.583,-4.485,-0.502,12.449,0.348,-0.996,10.457,-2.175,-5.443,8.388,8.711,8.584,3.356,3.419,3.632
60.457,9.953,2.673,4.345,0.618,11.177,0.428,-0.954,10.465,2.953,-5.209,8.338,8.640,8.506,3.290,3.313,3.514
60.467,27.532,6.544,8.419,-2.162,9.906,0.493,-0.931,10.513,-9.447,-5.061,8.363,8.650,8.451,3.301,3.292,3.424
60.478,25.579,8.385,-1.007,-3.074,9.812,0.618,-0.942,10.519,-17.321,-5.110,8.414,8.697,8.435,3.316,3.310,3.373
60.488,2.507,8.057,-11.325,5.432,11.242,0.381,-0.811,10.511,18.808,-4.413,8.446,8.695,8.429,3.358,3.277,3.333
60.498,23.259,10.517,-1.252,2.594,10.674,0.178,-0.686,10.545,13.576,-3.723,8.507,8.723,8.430,3.438,3.287,3.313
60.508,23.259,11.864,6.392,-10.051,6.507,0.285,-0.843,10.476,-47.798,-4.603,8.489,8.750,8.452,3.331,3.296,3.313
60.519,2.629,9.730,1.859,-2.270,8.555,0.318,-0.968,10.405,-14.543,-5.320,8.373,8.701,8.466,3.080,3.214,3.291
60.529,7.390,9.252,0.386,7.056,11.723,0.328,-0.823,10.412,31.044,-4.522,8.386,8.670,8.467,3.120,3.156,3.260
60.539,13.615,10.280,4.122,-3.678,10.315,0.417,-0.849,10.409,-18.329,-4.664,8.359,8.670,8.472,3.029,3.138,3.244
60.549,23.381,9.590,6.047,-8.959,7.786,0.456,-0.895,10.387,-42.283,-4.922,8.303,8.641,8.477,2.909,3.089,3.224
60.559,5.436,8.822,2.333,5.827,12.981,0.488,-0.797,10.434,23.849,-4.366,8.310,8.618,8.475,2.925,3.039,3.190
60.570,-16.170,5.313,-0.813,6.071,12.550,0.464,-0.670,10.452,25.783,-3.666,8.213,8.494,8.461,2.846,2.900,3.157
60.580,4.216,3.443,-1.323,-4.554,10.732,0.421,-0.669,10.458,-22.853,-3.661,8.078,8.355,8.414,2.702,2.756,3.098
60.590,12.151,2.554,2.771,-1.307,11.055,0.437,-0.667,10.444,-6.546,-3.655,7.983,8.256,8.352,2.597,2.647,3.019
60.600,-5.061,1.993,1.198,5.705,12.011,0.475,-0.555,10.468,25.310,-3.035,7.953,8.199,8.294,2.592,2.584,2.950
60.610,-4.328,0.608,-8.724,-2.083,10.768,0.412,-0.478,10.477,-8.552,-2.616,7.879,8.093,8.229,2.561,2.485,2.885
60.620,-5.549,-2.264,-3.709,-4.145,11.659,0.292,-0.482,10.495,-18.726,-2.633,7.706,7.913,8.141,2.397,2.311,2.796
60.632,-4.451,-3.598,1.348,-2.133,12.715,0.250,-0.560,10.503,-9.477,-3.057,7.535,7.755,8.004,2.199,2.155,2.652
60.644,-11.775,-6.401,5.832,-2.859,11.220,0.366,-0.654,10.540,-12.746,-3.551,7.282,7.515,7.836,1.914,1.915,2.474
60.654,-3.840,-8.963,6.759,-0.991,9.007,0.494,-0.651,10.501,-5.031,-3.546,6.982,7.212,7.661,1.615,1.613,2.293
60.664,0.309,-8.242,-2.983,3.463,11.493,0.635,-0.671,10.439,16.269,-3.677,6.808,7.039,7.484,1.433,1.441,2.107
60.674,7.023,-4.697,-3.465,5.252,14.964,0.522,-0.529,10.525,18.888,-2.876,6.802,7.020,7.340,1.448,1.431,1.965
60.685,14.104,-1.614,3.166,-4.985,8.713,0.509,-0.491,10.578,-28.286,-2.659,6.770,6.987,7.230,1.427,1.416,1.867
60.695,8.610,0.565,-7.474,-0.394,9.388,0.355,-0.500,10.539,-1.884,-2.721,6.788,7.011,7.152,1.440,1.450,1.793
60.705,-6.160,-0.867,-8.250,7.171,11.695,0.222,-0.483,10.500,26.626,-2.635,6.678,6.892,7.073,1.346,1.343,1.719
60.715,-9.456,-1.845,1.693,-0.380,9.482,0.060,-0.359,10.504,-2.262,-1.958,6.569,6.774,6.990,1.267,1.248,1.655
60.725,12.151,-0.170,2.714,-7.737,6.485,0.109,-0.474,10.414,-47.764,-2.610,6.446,6.732,6.905,1.044,1.227,1.585
60.736,18.743,2.064,-5.189,1.760,10.588,0.092,-0.553,10.320,8.497,-3.070,6.407,6.735,6.834,0.952,1.239,1.518
60.746,-8.479,1.830,7.621,0.941,9.884,0.247,-0.528,10.289,4.316,-2.938,6.361,6.683,6.782,0.924,1.203,1.476
60.756,9.587,2.160,13.455,-5.302,8.433,0.382,-0.507,10.275,-18.472,-2.825,6.319,6.626,6.726,0.918,1.165,1.434
60.766,14.592,4.210,-1.014,-2.284,11.335,0.494,-0.581,10.275,-11.355,-3.236,6.324,6.640,6.679,0.919,1.191,1.395
60.776,29.729,9.496,-8.394,2.062,14.066,0.319,-0.545,10.313,7.180,-3.026,6.494,6.803,6.671,1.106,1.364,1.396
60.786,8.977,9.258,2.778,0.869,8.691,0.276,-0.494,10.309,5.447,-2.746,6.533,6.823,6.692,1.183,1.398,1.428
60.797,-18.855,6.651,-0.260,2.155,8.806,0.325,-0.444,10.271,13.757,-2.476,6.543,6.798,6.708,1.250,1.390,1.458
60.807,11.906,6.151,-7.165,-6.502,11.472,0.217,-0.559,10.288,-25.686,-3.114,6.413,6.686,6.686,1.109,1.297,1.451
60.817,-12.752,2.315,5.976,-5.532,7.527,0.304,-0.634,10.214,-29.938,-3.552,6.302,6.596,6.659,0.975,1.217,1.431
60.827,-15.559,-1.858,9.762,6.474,8.849,0.347,-0.698,10.151,26.179,-3.932,6.056,6.382,6.574,0.684,1.005,1.343
60.838,-18.733,-5.316,4.445,7.602,12.772,0.507,-0.460,10.181,29.355,-2.589,5.849,6.118,6.455,0.572,0.760,1.236
