R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,0,0,0,0,10,75,0,0,0.995
sysTime,aCFRawR,aCFPT10R,aCFPT11R
27.473,0.074,0.078,0.086
27.484,0.088,0.091,0.090
27.494,0.082,0.082,0.095
27.505,0.093,0.090,0.099
27.515,0.098,0.096,0.102
27.526,0.114,0.114,0.107
27.536,0.117,0.113,0.116
27.547,0.121,0.117,0.121
27.557,0.127,0.125,0.124
27.568,0.120,0.118,0.130
27.578,0.121,0.117,0.127
27.589,0.114,0.112,0.121
27.599,0.106,0.103,0.112
27.610,0.121,0.117,0.112
27.620,0.119,0.118,0.117
27.631,0.136,0.134,0.123
27.641,0.136,0.134,0.124
27.652,0.148,0.145,0.130
27.662,0.155,0.155,0.137
27.673,0.158,0.159,0.141
27.683,0.129,0.131,0.138
27.694,0.120,0.118,0.127
27.704,0.124,0.122,0.118
27.715,0.111,0.110,0.116
27.725,0.096,0.099,0.106
27.736,0.114,0.114,0.105
27.746,0.093,0.093,0.107
27.756,0.120,0.118,0.112
27.767,0.111,0.109,0.115
27.777,0.125,0.123,0.120
27.788,0.141,0.138,0.133
27.799,0.139,0.141,0.139
27.809,0.141,0.141,0.147
27.820,0.130,0.132,0.148
27.830,0.142,0.144,0.147
27.841,0.154,0.155,0.151
27.851,0.167,0.164,0.162
27.861,0.159,0.160,0.168
27.872,0.160,0.162,0.167
27.882,0.161,0.161,0.168
27.893,0.177,0.177,0.174
27.903,0.189,0.191,0.183
27.914,0.187,0.189,0.189
27.924,0.189,0.189,0.190
27.935,0.188,0.187,0.190
27.945,0.187,0.189,0.187
27.956,0.174,0.177,0.182
27.966,0.184,0.184,0.182
27.977,0.204,0.204,0.188
27.987,0.199,0.199,0.194
27.998,0.202,0.201,0.193
28.008,0.189,0.188,0.192
28.019,0.170,0.170,0.183
28.029,0.197,0.197,0.181
28.040,0.180,0.175,0.183
28.050,0.191,0.186,0.181
28.061,0.181,0.180,0.185
28.071,0.179,0.180,0.184
28.082,0.172,0.173,0.184
28.092,0.187,0.188,0.187
28.103,0.209,0.206,0.194
28.113,0.195,0.196,0.198
28.124,0.197,0.200,0.200
28.134,0.189,0.192,0.195
28.145,0.188,0.191,0.192
28.155,0.185,0.188,0.192
28.166,0.167,0.171,0.186
28.176,0.162,0.165,0.179
28.186,0.152,0.158,0.171
28.197,0.156,0.163,0.167
28.207,0.170,0.175,0.165
28.218,0.168,0.170,0.170
28.229,0.141,0.143,0.158
28.239,0.159,0.162,0.154
28.249,0.137,0.137,0.149
28.260,0.155,0.152,0.146
28.270,0.144,0.141,0.143
28.281,0.130,0.126,0.138
28.291,0.146,0.140,0.135
28.302,0.150,0.149,0.141
28.312,0.166,0.167,0.156
28.323,0.170,0.172,0.168
28.333,0.169,0.168,0.177
28.344,0.177,0.173,0.180
28.354,0.183,0.180,0.184
28.365,0.177,0.172,0.183
28.375,0.158,0.151,0.181
28.386,0.180,0.174,0.182
28.396,0.193,0.190,0.193
28.407,0.177,0.174,0.198
28.417,0.170,0.166,0.191
28.428,0.152,0.149,0.183
28.438,0.161,0.156,0.177
28.449,0.139,0.135,0.168
28.459,0.151,0.149,0.165
28.470,0.172,0.171,0.170
28.480,0.148,0.150,0.171
28.491,0.144,0.146,0.168
28.501,0.158,0.156,0.167
28.512,0.145,0.141,0.166
28.522,0.145,0.143,0.161
28.533,0.133,0.135,0.158
28.543,0.158,0.161,0.166
28.554,0.148,0.147,0.171
28.564,0.133,0.131,0.168
28.574,0.123,0.120,0.160
28.585,0.124,0.123,0.155
28.595,0.129,0.130,0.159
28.606,0.150,0.149,0.163
28.616,0.159,0.155,0.177
28.627,0.173,0.167,0.184
