R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,10,50,10,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
278.165,-0.044,0.007,9.906,-0.143,-0.052,-0.053,-0.026,-0.136,-0.139,-0.113
278.176,-0.116,-0.085,9.812,-0.164,-0.056,-0.056,-0.029,-0.141,-0.141,-0.115
278.187,-0.073,-0.028,9.855,-0.162,-0.059,-0.059,-0.033,-0.141,-0.142,-0.117
278.198,-0.066,-0.028,9.855,-0.177,-0.026,-0.025,-0.025,-0.110,-0.108,-0.109
278.208,-0.044,-0.021,9.848,-0.177,-0.012,-0.012,-0.015,-0.096,-0.094,-0.099
278.219,-0.052,0.007,9.812,-0.142,-0.019,-0.020,-0.009,-0.098,-0.102,-0.092
278.230,-0.102,-0.021,9.870,-0.149,-0.005,-0.006,-0.005,-0.085,-0.087,-0.088
278.240,-0.052,-0.021,9.870,-0.139,-0.022,-0.023,-0.003,-0.099,-0.103,-0.084
278.251,-0.088,-0.057,9.826,-0.146,-0.012,-0.013,-0.002,-0.089,-0.091,-0.082
278.262,-0.088,-0.006,9.848,-0.128,0.001,0.000,0.008,-0.071,-0.076,-0.071
278.273,-0.066,-0.013,9.884,-0.137,-0.006,-0.007,0.017,-0.080,-0.083,-0.062
278.283,-0.131,-0.042,9.870,-0.158,0.028,0.028,0.025,-0.048,-0.048,-0.054
278.294,-0.080,0.007,9.855,-0.135,0.009,0.008,0.028,-0.064,-0.068,-0.051
278.305,-0.102,-0.057,9.834,-0.148,0.008,0.008,0.021,-0.066,-0.068,-0.058
278.315,-0.080,-0.028,9.826,-0.157,-0.002,-0.002,0.017,-0.078,-0.078,-0.062
278.326,-0.066,-0.021,9.834,-0.132,0.025,0.024,0.020,-0.047,-0.051,-0.059
278.337,-0.131,-0.028,9.855,-0.143,0.037,0.036,0.028,-0.037,-0.040,-0.051
278.348,-0.030,-0.028,9.862,-0.117,0.055,0.053,0.040,-0.017,-0.023,-0.039
278.358,-0.145,0.000,9.870,-0.133,0.069,0.068,0.058,-0.005,-0.009,-0.021
278.369,-0.088,-0.006,9.877,-0.127,0.090,0.088,0.077,0.013,0.009,-0.003
278.380,-0.066,-0.013,9.862,-0.116,0.060,0.058,0.082,-0.015,-0.021,0.000
278.390,-0.088,-0.042,9.841,-0.134,0.050,0.049,0.077,-0.028,-0.031,-0.005
278.401,-0.066,-0.035,9.855,-0.125,0.055,0.053,0.066,-0.022,-0.026,-0.017
278.412,-0.059,-0.021,9.906,-0.121,0.039,0.037,0.059,-0.038,-0.042,-0.024
278.423,-0.066,-0.028,9.834,-0.112,0.061,0.059,0.057,-0.014,-0.020,-0.026
278.433,-0.059,-0.006,9.841,-0.114,0.074,0.073,0.068,-0.002,-0.007,-0.016
278.444,-0.073,-0.013,9.848,-0.125,0.051,0.049,0.078,-0.027,-0.030,-0.006
278.455,-0.052,-0.028,9.819,-0.135,0.017,0.016,0.072,-0.062,-0.063,-0.013
278.465,-0.131,-0.021,9.848,-0.140,0.013,0.012,0.061,-0.066,-0.067,-0.025
278.476,-0.052,-0.021,9.862,-0.151,-0.024,-0.024,0.045,-0.104,-0.104,-0.042
278.487,-0.088,-0.013,9.848,-0.146,-0.019,-0.020,0.030,-0.098,-0.098,-0.056
278.498,-0.102,0.000,9.848,-0.127,-0.015,-0.017,0.019,-0.090,-0.093,-0.067
278.508,-0.131,-0.028,9.877,-0.133,-0.029,-0.031,0.015,-0.104,-0.106,-0.070
278.519,-0.080,-0.028,9.834,-0.143,-0.082,-0.083,-0.003,-0.155,-0.155,-0.088
278.530,-0.052,-0.028,9.898,-0.142,-0.074,-0.075,-0.018,-0.144,-0.145,-0.102
278.540,-0.124,-0.057,9.819,-0.166,-0.055,-0.055,-0.026,-0.126,-0.123,-0.109
278.551,-0.080,-0.071,9.877,-0.190,-0.042,-0.041,-0.023,-0.116,-0.109,-0.105
278.562,-0.080,-0.028,9.834,-0.189,0.007,0.007,-0.015,-0.066,-0.060,-0.097
278.573,-0.066,-0.049,9.855,-0.204,0.005,0.006,-0.001,-0.071,-0.063,-0.083
278.583,-0.124,0.007,9.819,-0.190,-0.005,-0.005,-0.000,-0.082,-0.076,-0.083
278.594,-0.066,-0.006,9.855,-0.167,0.009,0.008,0.006,-0.065,-0.062,-0.077
278.605,-0.088,-0.049,9.826,-0.165,0.010,0.009,0.008,-0.063,-0.062,-0.074
278.616,-0.109,-0.028,9.841,-0.174,0.009,0.009,0.012,-0.066,-0.062,-0.070
278.626,-0.109,-0.049,9.877,-0.172,0.003,0.003,0.015,-0.071,-0.069,-0.068
278.637,-0.088,0.000,9.870,-0.173,-0.007,-0.007,0.012,-0.082,-0.079,-0.071
278.648,-0.066,-0.013,9.841,-0.161,0.004,0.004,0.014,-0.069,-0.068,-0.069
278.659,-0.088,-0.006,9.812,-0.144,0.000,-0.000,0.016,-0.071,-0.072,-0.067
278.669,-0.116,-0.021,9.898,-0.174,-0.003,-0.003,0.015,-0.078,-0.075,-0.067
278.680,-0.059,-0.049,9.862,-0.181,-0.022,-0.021,0.009,-0.097,-0.093,-0.073
278.691,-0.052,-0.049,9.819,-0.185,-0.004,-0.004,0.011,-0.080,-0.075,-0.072
278.701,-0.088,-0.028,9.819,-0.168,-0.028,-0.028,0.014,-0.101,-0.100,-0.069
278.712,-0.116,-0.042,9.805,-0.181,-0.025,-0.025,0.013,-0.100,-0.096,-0.070
278.723,-0.138,-0.028,9.870,-0.176,0.002,0.002,0.016,-0.071,-0.068,-0.067
278.734,-0.059,-0.006,9.848,-0.212,0.017,0.019,0.023,-0.061,-0.053,-0.061
278.744,-0.066,-0.013,9.877,-0.185,0.019,0.020,0.029,-0.057,-0.053,-0.056
278.755,-0.102,-0.028,9.862,-0.155,0.029,0.029,0.039,-0.044,-0.045,-0.047
278.766,-0.109,-0.035,9.855,-0.171,0.066,0.066,0.050,-0.011,-0.010,-0.036
278.777,-0.131,-0.057,9.862,-0.165,0.050,0.050,0.054,-0.027,-0.027,-0.034
278.787,-0.102,-0.028,9.791,-0.165,0.018,0.018,0.042,-0.059,-0.059,-0.045
278.798,-0.073,-0.035,9.819,-0.176,0.039,0.039,0.042,-0.042,-0.039,-0.047
278.809,-0.109,0.022,9.848,-0.168,0.050,0.050,0.041,-0.030,-0.030,-0.048
278.820,-0.009,-0.013,9.862,-0.171,0.022,0.022,0.036,-0.059,-0.058,-0.054
278.831,-0.124,-0.013,9.898,-0.179,0.009,0.009,0.025,-0.073,-0.070,-0.064
278.841,-0.073,-0.028,9.855,-0.167,-0.014,-0.014,0.013,-0.094,-0.093,-0.076
278.852,-0.109,-0.042,9.913,-0.155,0.015,0.014,0.007,-0.062,-0.063,-0.080
278.863,-0.059,-0.006,9.855,-0.145,0.010,0.009,0.005,-0.064,-0.067,-0.081
278.873,-0.080,-0.042,9.848,-0.135,0.021,0.019,0.003,-0.052,-0.057,-0.082
278.884,-0.059,-0.042,9.841,-0.135,-0.001,-0.002,-0.004,-0.073,-0.077,-0.088
278.895,-0.080,-0.049,9.855,-0.140,0.030,0.029,-0.007,-0.042,-0.045,-0.089
278.905,-0.102,-0.064,9.855,-0.143,0.006,0.005,-0.005,-0.065,-0.068,-0.085
278.916,-0.102,-0.042,9.819,-0.154,0.010,0.009,-0.007,-0.062,-0.063,-0.086
278.927,-0.088,-0.028,9.848,-0.159,0.022,0.022,-0.004,-0.050,-0.050,-0.081
278.937,-0.116,-0.028,9.848,-0.159,0.020,0.020,-0.006,-0.051,-0.051,-0.083
278.948,-0.124,-0.021,9.826,-0.150,0.008,0.007,-0.011,-0.061,-0.063,-0.086
278.959,-0.044,-0.049,9.826,-0.160,-0.031,-0.031,-0.024,-0.101,-0.101,-0.099
278.969,-0.102,-0.013,9.884,-0.164,-0.060,-0.061,-0.047,-0.130,-0.129,-0.120
278.980,-0.116,-0.013,9.862,-0.161,-0.098,-0.098,-0.072,-0.164,-0.164,-0.143
278.990,-0.102,-0.035,9.841,-0.165,-0.094,-0.094,-0.087,-0.158,-0.158,-0.155
279.001,-0.044,-0.013,9.870,-0.189,-0.066,-0.066,-0.091,-0.132,-0.127,-0.157
279.012,-0.037,-0.021,9.898,-0.185,-0.033,-0.032,-0.085,-0.097,-0.093,-0.149
279.022,-0.095,-0.035,9.862,-0.188,-0.041,-0.040,-0.080,-0.104,-0.100,-0.142
279.033,-0.080,-0.035,9.841,-0.183,-0.037,-0.036,-0.072,-0.099,-0.095,-0.133
279.044,-0.044,-0.035,9.841,-0.177,-0.065,-0.065,-0.074,-0.125,-0.123,-0.133
279.054,-0.066,-0.013,9.848,-0.178,-0.083,-0.083,-0.084,-0.142,-0.139,-0.142
279.065,-0.080,-0.006,9.812,-0.165,-0.115,-0.115,-0.099,-0.169,-0.169,-0.154
