R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,ARawX,ARawY,ARawZ,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
217.897,0.206,0.050,9.805,0.323,0.395,0.395,0.428,0.382,0.386,0.420
217.907,0.256,0.093,9.891,0.341,0.403,0.403,0.429,0.390,0.392,0.419
217.918,0.192,0.065,9.862,0.352,0.431,0.431,0.434,0.419,0.418,0.422
217.929,0.220,0.050,9.834,0.354,0.438,0.438,0.440,0.425,0.424,0.427
217.940,0.256,0.072,9.848,0.360,0.414,0.414,0.440,0.401,0.399,0.425
217.951,0.242,0.057,9.898,0.357,0.405,0.404,0.430,0.390,0.389,0.413
217.961,0.271,0.043,9.848,0.382,0.397,0.396,0.421,0.386,0.380,0.404
217.972,0.278,0.057,9.848,0.389,0.398,0.397,0.417,0.388,0.382,0.400
217.983,0.228,0.057,9.855,0.386,0.395,0.394,0.418,0.385,0.380,0.401
217.993,0.213,0.079,9.862,0.377,0.368,0.368,0.410,0.358,0.354,0.394
218.004,0.228,0.050,9.898,0.361,0.342,0.342,0.393,0.330,0.329,0.376
218.015,0.220,0.079,9.913,0.360,0.354,0.354,0.384,0.343,0.342,0.367
218.026,0.220,0.072,9.898,0.365,0.353,0.352,0.380,0.343,0.342,0.364
218.037,0.213,0.050,9.819,0.337,0.372,0.373,0.380,0.359,0.362,0.364
218.047,0.206,0.093,9.884,0.357,0.360,0.359,0.378,0.350,0.349,0.362
218.058,0.256,0.050,9.848,0.338,0.334,0.335,0.371,0.322,0.325,0.354
218.069,0.242,0.065,9.862,0.347,0.338,0.338,0.358,0.328,0.329,0.342
218.079,0.220,0.050,9.841,0.335,0.322,0.323,0.348,0.312,0.315,0.332
218.090,0.256,0.072,9.834,0.340,0.326,0.326,0.339,0.317,0.319,0.324
218.101,0.228,0.072,9.841,0.313,0.342,0.343,0.341,0.330,0.336,0.327
218.112,0.235,0.065,9.870,0.322,0.357,0.358,0.350,0.347,0.351,0.336
218.123,0.249,0.086,9.862,0.332,0.368,0.369,0.365,0.358,0.361,0.350
218.133,0.213,0.050,9.855,0.344,0.349,0.349,0.369,0.341,0.341,0.354
218.144,0.256,0.050,9.855,0.319,0.380,0.381,0.376,0.368,0.373,0.361
218.155,0.213,0.057,9.877,0.337,0.360,0.360,0.376,0.350,0.352,0.361
218.165,0.278,0.086,9.819,0.362,0.352,0.352,0.371,0.346,0.344,0.356
218.176,0.242,0.079,9.891,0.357,0.366,0.366,0.372,0.360,0.358,0.357
218.187,0.206,0.050,9.834,0.347,0.407,0.407,0.383,0.398,0.399,0.369
218.198,0.263,0.079,9.884,0.365,0.398,0.398,0.388,0.392,0.389,0.374
218.209,0.235,0.057,9.848,0.361,0.394,0.393,0.386,0.386,0.384,0.372
218.219,0.213,0.079,9.891,0.372,0.388,0.388,0.381,0.382,0.378,0.367
218.230,0.292,0.057,9.834,0.360,0.380,0.379,0.377,0.372,0.370,0.364
218.241,0.213,0.115,9.841,0.379,0.352,0.351,0.365,0.347,0.342,0.352
218.252,0.249,0.050,9.848,0.355,0.344,0.344,0.356,0.337,0.337,0.344
218.262,0.220,0.029,9.855,0.360,0.343,0.343,0.352,0.338,0.337,0.341
218.273,0.213,0.050,9.848,0.340,0.356,0.357,0.356,0.349,0.351,0.346
218.284,0.192,0.057,9.913,0.339,0.346,0.346,0.356,0.339,0.340,0.345
218.295,0.249,0.065,9.826,0.342,0.361,0.361,0.358,0.354,0.356,0.347
218.305,0.206,0.072,9.855,0.346,0.331,0.331,0.350,0.326,0.326,0.340
218.316,0.220,0.072,9.812,0.339,0.311,0.312,0.330,0.306,0.308,0.321
218.327,0.242,0.043,9.884,0.348,0.307,0.307,0.315,0.304,0.304,0.307
218.338,0.213,0.072,9.834,0.333,0.356,0.356,0.318,0.351,0.354,0.311
218.348,0.249,0.086,9.877,0.359,0.350,0.350,0.324,0.349,0.347,0.318
218.359,0.220,0.057,9.826,0.350,0.334,0.334,0.322,0.333,0.333,0.317
218.370,0.263,0.072,9.891,0.366,0.347,0.346,0.324,0.348,0.346,0.322
218.381,0.242,0.072,9.870,0.370,0.334,0.334,0.322,0.338,0.335,0.322
218.391,0.271,0.072,9.906,0.360,0.348,0.348,0.324,0.351,0.349,0.324
218.402,0.256,0.057,9.841,0.347,0.334,0.334,0.315,0.335,0.336,0.317
218.413,0.249,0.036,9.826,0.347,0.335,0.335,0.313,0.338,0.339,0.316
218.424,0.199,0.065,9.848,0.345,0.359,0.360,0.323,0.362,0.363,0.327
218.434,0.242,0.065,9.870,0.344,0.353,0.353,0.335,0.355,0.356,0.339
218.445,0.256,0.072,9.884,0.365,0.363,0.362,0.344,0.368,0.365,0.349
218.456,0.220,0.093,9.841,0.387,0.366,0.364,0.348,0.374,0.368,0.354
218.467,0.242,0.014,9.826,0.378,0.366,0.365,0.355,0.374,0.370,0.362
218.477,0.184,0.065,9.805,0.370,0.370,0.369,0.357,0.377,0.374,0.365
218.488,0.242,0.043,9.805,0.339,0.346,0.346,0.351,0.349,0.351,0.359
218.499,0.228,0.093,9.848,0.352,0.351,0.351,0.348,0.355,0.356,0.356
218.510,0.228,0.050,9.884,0.355,0.348,0.348,0.349,0.353,0.353,0.357
218.521,0.249,0.050,9.884,0.337,0.359,0.360,0.350,0.362,0.364,0.357
218.531,0.220,0.057,9.855,0.327,0.377,0.378,0.348,0.377,0.382,0.355
218.542,0.213,0.007,9.862,0.308,0.380,0.382,0.354,0.377,0.384,0.360
