R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000010,0.000030,20,0,0,0,0,10,75,0,0
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT20R,aKFPT11R,aKFPT21R,aKFPT22R
48.724,1.089,0.974,1.005,1.088,1.088,1.088,1.001,1.001,1.001
48.735,0.920,0.979,1.001,1.088,1.088,1.088,1.001,1.001,1.001
48.746,1.040,0.972,0.997,1.087,1.088,1.088,1.001,1.001,1.001
48.758,1.173,0.991,0.996,1.087,1.087,1.087,1.001,1.001,1.001
48.770,1.050,1.001,0.996,1.087,1.087,1.087,1.001,1.001,1.001
48.781,1.006,1.018,0.998,1.087,1.087,1.087,1.001,1.001,1.001
48.793,0.710,1.006,1.001,1.087,1.087,1.087,1.001,1.001,1.001
48.804,0.923,1.008,1.002,1.086,1.086,1.086,1.001,1.001,1.001
48.815,0.842,0.993,1.001,1.086,1.086,1.086,1.001,1.001,1.001
48.827,1.005,0.983,0.999,1.085,1.086,1.086,1.001,1.001,1.001
48.838,0.961,0.982,0.997,1.085,1.085,1.086,1.000,1.001,1.001
48.850,1.048,0.975,0.994,1.085,1.085,1.085,1.000,1.001,1.001
48.862,0.800,0.969,0.991,1.084,1.085,1.085,1.000,1.001,1.001
48.873,0.918,0.982,0.989,1.084,1.084,1.085,1.000,1.001,1.001
48.884,1.090,0.990,0.989,1.084,1.084,1.084,1.000,1.001,1.001
48.896,1.085,1.005,0.991,1.084,1.084,1.084,1.000,1.000,1.000
48.907,1.166,1.002,0.992,1.084,1.084,1.084,1.000,1.000,1.000
48.919,1.172,1.027,0.995,1.084,1.083,1.084,1.000,1.000,1.000
48.930,0.753,1.039,1.002,1.084,1.083,1.083,1.000,1.000,1.000
48.942,1.003,1.037,1.007,1.083,1.083,1.083,1.000,1.000,1.000
48.953,0.835,1.015,1.009,1.083,1.083,1.083,1.000,1.000,1.000
48.965,0.761,1.006,1.009,1.083,1.083,1.083,1.000,1.000,1.000
48.976,1.049,0.987,1.007,1.082,1.082,1.082,1.000,1.000,1.000
48.988,0.874,0.997,1.005,1.082,1.082,1.082,1.000,1.000,1.000
48.999,0.796,0.992,1.004,1.082,1.082,1.082,1.000,1.000,1.000
49.011,1.006,0.993,1.002,1.081,1.081,1.082,1.000,1.000,1.000
49.022,1.049,0.985,0.999,1.081,1.081,1.081,1.000,1.000,1.000
49.034,1.130,0.981,0.997,1.080,1.081,1.081,1.000,1.000,1.000
49.045,1.139,0.997,0.996,1.080,1.081,1.081,1.000,1.000,1.000
49.057,1.133,0.999,0.995,1.080,1.080,1.080,1.000,1.000,1.000
49.068,0.956,1.020,0.998,1.080,1.080,1.080,1.000,1.000,1.000
49.080,1.171,1.019,1.001,1.080,1.080,1.080,1.000,1.000,1.000
49.091,1.336,1.042,1.005,1.080,1.080,1.080,1.000,1.000,1.000
49.103,0.971,1.034,1.010,1.080,1.079,1.079,1.000,1.000,1.000
49.114,1.001,1.040,1.014,1.080,1.079,1.079,1.000,1.000,1.000
49.126,0.878,1.041,1.018,1.079,1.079,1.079,1.001,1.000,1.000
49.137,1.006,1.043,1.022,1.079,1.079,1.079,1.001,1.000,1.000
49.149,1.172,1.054,1.026,1.079,1.079,1.078,1.001,1.000,1.000
49.160,1.007,1.050,1.030,1.079,1.079,1.078,1.001,1.001,1.001
49.172,0.798,1.021,1.030,1.079,1.078,1.078,1.001,1.001,1.001
49.183,0.923,1.009,1.028,1.078,1.078,1.078,1.001,1.001,1.001
49.195,0.881,1.014,1.026,1.078,1.078,1.078,1.001,1.001,1.001
49.206,0.756,1.000,1.024,1.078,1.078,1.077,1.001,1.001,1.001
49.218,1.179,1.004,1.020,1.077,1.077,1.077,1.001,1.001,1.001
49.229,0.839,1.003,1.018,1.077,1.077,1.077,1.001,1.001,1.001
49.241,0.965,1.003,1.016,1.077,1.077,1.077,1.001,1.001,1.001
49.252,0.800,1.009,1.015,1.077,1.077,1.077,1.001,1.001,1.001
49.264,0.920,1.001,1.014,1.076,1.076,1.076,1.001,1.001,1.001
