R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,50,5,50,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
143.382,-0.205,-0.084,-0.092,-0.036,-0.043,-0.085,-0.013,-0.016,-0.056
143.393,0.044,-0.075,-0.091,-0.049,-0.055,-0.082,-0.024,-0.030,-0.054
143.403,-0.123,-0.076,-0.090,-0.056,-0.063,-0.083,-0.034,-0.039,-0.054
143.414,0.127,-0.069,-0.088,-0.058,-0.065,-0.085,-0.034,-0.041,-0.057
143.424,0.044,-0.066,-0.086,-0.027,-0.034,-0.080,-0.003,-0.011,-0.052
143.435,0.044,-0.069,-0.084,-0.030,-0.037,-0.071,-0.009,-0.016,-0.043
143.445,-0.165,-0.083,-0.084,-0.054,-0.060,-0.072,-0.037,-0.039,-0.045
143.456,-0.163,-0.086,-0.084,-0.038,-0.044,-0.070,-0.024,-0.024,-0.044
143.466,-0.206,-0.085,-0.084,-0.072,-0.078,-0.073,-0.057,-0.059,-0.048
143.477,-0.081,-0.069,-0.083,-0.094,-0.101,-0.087,-0.075,-0.081,-0.062
143.488,-0.122,-0.071,-0.081,-0.109,-0.116,-0.106,-0.090,-0.095,-0.081
143.498,-0.288,-0.074,-0.080,-0.111,-0.118,-0.118,-0.093,-0.097,-0.091
143.509,-0.206,-0.083,-0.080,-0.099,-0.105,-0.126,-0.082,-0.083,-0.099
143.519,-0.415,-0.093,-0.081,-0.082,-0.088,-0.131,-0.069,-0.067,-0.103
143.530,-0.206,-0.104,-0.083,-0.071,-0.076,-0.129,-0.061,-0.056,-0.100
143.540,-0.164,-0.100,-0.084,-0.087,-0.092,-0.133,-0.077,-0.073,-0.104
143.551,-0.164,-0.103,-0.086,-0.059,-0.064,-0.136,-0.050,-0.045,-0.107
143.561,0.044,-0.093,-0.088,-0.042,-0.048,-0.128,-0.032,-0.031,-0.099
143.572,-0.039,-0.095,-0.088,-0.060,-0.066,-0.125,-0.052,-0.050,-0.096
143.583,0.169,-0.090,-0.089,-0.026,-0.032,-0.110,-0.017,-0.017,-0.081
143.593,-0.039,-0.096,-0.090,-0.041,-0.046,-0.097,-0.035,-0.033,-0.068
143.604,-0.122,-0.098,-0.090,-0.040,-0.045,-0.096,-0.036,-0.034,-0.068
143.614,-0.122,-0.103,-0.092,-0.046,-0.050,-0.092,-0.044,-0.040,-0.064
143.625,0.002,-0.094,-0.092,-0.070,-0.075,-0.100,-0.067,-0.066,-0.073
143.635,0.044,-0.095,-0.093,-0.064,-0.070,-0.103,-0.062,-0.061,-0.076
143.646,0.044,-0.093,-0.093,-0.062,-0.068,-0.106,-0.060,-0.059,-0.080
143.656,0.086,-0.080,-0.092,-0.072,-0.079,-0.113,-0.067,-0.071,-0.086
143.667,-0.039,-0.077,-0.091,-0.063,-0.069,-0.116,-0.057,-0.061,-0.089
143.677,-0.206,-0.081,-0.090,-0.070,-0.076,-0.116,-0.065,-0.067,-0.088
143.688,-0.164,-0.083,-0.089,-0.064,-0.070,-0.108,-0.060,-0.062,-0.080
143.698,-0.247,-0.084,-0.088,-0.078,-0.084,-0.111,-0.073,-0.075,-0.083
143.709,-0.039,-0.096,-0.089,-0.052,-0.057,-0.103,-0.052,-0.049,-0.075
143.720,-0.039,-0.094,-0.090,-0.088,-0.093,-0.107,-0.087,-0.086,-0.079
143.730,-0.413,-0.106,-0.090,-0.091,-0.096,-0.120,-0.093,-0.088,-0.092
143.741,0.002,-0.098,-0.092,-0.081,-0.086,-0.131,-0.081,-0.078,-0.103
