R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,80,15,80,15,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
289.540,0.330,0.133,0.137,0.137,0.132,0.176,0.180
289.550,-0.379,0.160,0.134,0.132,0.133,0.179,0.175
289.560,-0.351,0.165,0.125,0.123,0.126,0.172,0.167
289.570,-1.593,0.166,0.102,0.100,0.114,0.150,0.145
289.581,-1.799,0.159,0.081,0.079,0.096,0.130,0.126
289.591,-1.282,0.158,0.071,0.069,0.080,0.121,0.118
289.601,1.198,0.172,0.108,0.105,0.080,0.163,0.156
289.611,1.259,0.176,0.122,0.119,0.091,0.179,0.171
289.621,1.325,0.175,0.140,0.137,0.105,0.197,0.189
289.631,0.390,0.175,0.137,0.134,0.113,0.194,0.187
289.641,-0.516,0.171,0.123,0.121,0.113,0.180,0.174
289.651,-1.934,0.166,0.095,0.093,0.102,0.151,0.147
289.661,-1.333,0.166,0.083,0.081,0.085,0.141,0.137
289.671,-0.648,0.170,0.090,0.087,0.079,0.150,0.145
289.682,0.696,0.170,0.104,0.102,0.076,0.166,0.161
289.692,1.008,0.155,0.114,0.112,0.081,0.172,0.172
289.702,0.444,0.153,0.111,0.109,0.086,0.169,0.169
289.712,0.087,0.147,0.111,0.110,0.088,0.168,0.170
289.722,1.356,0.146,0.132,0.132,0.094,0.189,0.192
289.732,0.664,0.150,0.125,0.124,0.100,0.183,0.184
289.742,0.358,0.154,0.124,0.123,0.104,0.183,0.182
289.752,1.720,0.148,0.142,0.141,0.112,0.199,0.201
289.762,1.623,0.162,0.155,0.153,0.127,0.215,0.212
289.773,0.953,0.160,0.155,0.153,0.138,0.213,0.212
289.783,2.114,0.162,0.185,0.184,0.153,0.243,0.241
289.793,0.853,0.170,0.179,0.176,0.168,0.237,0.233
289.803,1.731,0.170,0.202,0.200,0.179,0.259,0.255
289.813,1.520,0.177,0.219,0.216,0.195,0.276,0.269
289.823,0.314,0.171,0.207,0.204,0.201,0.260,0.256
289.833,-0.766,0.174,0.195,0.193,0.201,0.248,0.243
289.844,-2.057,0.166,0.161,0.158,0.188,0.211,0.208
289.854,-0.666,0.170,0.160,0.158,0.171,0.211,0.207
289.864,-1.604,0.188,0.135,0.131,0.157,0.191,0.181
289.874,-0.738,0.187,0.155,0.152,0.151,0.211,0.202
289.884,-0.180,0.183,0.156,0.152,0.147,0.210,0.203
289.894,0.553,0.189,0.168,0.164,0.149,0.224,0.215
289.904,-0.146,0.197,0.155,0.151,0.148,0.214,0.203
289.914,1.443,0.192,0.187,0.184,0.154,0.244,0.235
289.924,-0.522,0.188,0.159,0.156,0.154,0.215,0.207
289.934,-0.451,0.188,0.155,0.152,0.149,0.211,0.204
289.945,-0.525,0.186,0.154,0.151,0.145,0.209,0.203
289.955,0.370,0.189,0.166,0.163,0.144,0.223,0.215
289.965,-0.486,0.181,0.144,0.141,0.140,0.198,0.194
289.975,-0.551,0.167,0.128,0.126,0.130,0.180,0.180
289.985,0.133,0.169,0.136,0.134,0.126,0.188,0.188
289.995,-0.453,0.159,0.135,0.133,0.126,0.185,0.187
290.005,0.759,0.160,0.160,0.159,0.130,0.210,0.212
290.016,-0.036,0.157,0.144,0.143,0.131,0.193,0.196
290.026,0.628,0.151,0.146,0.145,0.132,0.194,0.199
290.036,0.508,0.157,0.140,0.138,0.132,0.188,0.191
290.046,0.233,0.164,0.131,0.129,0.134,0.182,0.183
290.056,-0.272,0.167,0.123,0.121,0.132,0.175,0.175
290.066,-0.523,0.179,0.108,0.105,0.126,0.164,0.160
290.076,0.318,0.180,0.109,0.106,0.123,0.167,0.163
290.086,1.286,0.173,0.122,0.120,0.128,0.180,0.178
290.096,0.365,0.171,0.117,0.115,0.135,0.174,0.173
290.106,1.042,0.172,0.146,0.144,0.143,0.204,0.203
290.116,-0.064,0.171,0.150,0.147,0.152,0.206,0.205
290.127,-0.335,0.171,0.152,0.150,0.152,0.208,0.208
290.137,1.698,0.161,0.193,0.192,0.159,0.246,0.248
290.147,1.986,0.157,0.208,0.207,0.175,0.258,0.262
290.157,2.679,0.154,0.232,0.231,0.195,0.279,0.283
290.167,1.850,0.163,0.238,0.237,0.214,0.285,0.287
290.177,2.396,0.161,0.268,0.266,0.233,0.312,0.313
290.187,0.875,0.171,0.262,0.259,0.248,0.305,0.303
290.197,1.008,0.165,0.260,0.258,0.254,0.299,0.299
290.208,-0.264,0.174,0.238,0.236,0.253,0.277,0.275
290.218,-0.389,0.165,0.233,0.231,0.249,0.268,0.268
290.228,0.281,0.147,0.219,0.218,0.241,0.247,0.254
290.238,0.920,0.142,0.217,0.217,0.241,0.243,0.251
290.248,-0.596,0.143,0.202,0.201,0.244,0.226,0.233
290.258,-0.260,0.161,0.218,0.216,0.244,0.246,0.247
290.268,0.248,0.156,0.223,0.221,0.242,0.248,0.250
290.278,-0.688,0.161,0.194,0.193,0.233,0.220,0.221
290.288,-1.028,0.162,0.170,0.169,0.220,0.196,0.197
290.298,-0.105,0.156,0.170,0.169,0.210,0.195,0.197
290.309,-0.970,0.161,0.148,0.147,0.202,0.175,0.176
290.319,-0.679,0.161,0.161,0.160,0.199,0.188,0.189
290.329,-1.004,0.163,0.137,0.135,0.186,0.165,0.165
290.339,-0.659,0.155,0.131,0.130,0.175,0.158,0.161
290.349,-1.450,0.158,0.114,0.113,0.166,0.143,0.145
290.359,-0.008,0.160,0.120,0.118,0.155,0.151,0.152
290.369,0.053,0.153,0.108,0.107,0.152,0.139,0.142
290.379,-0.224,0.156,0.095,0.093,0.148,0.128,0.130
290.389,-0.469,0.163,0.092,0.090,0.143,0.129,0.129
290.399,-0.528,0.154,0.078,0.077,0.133,0.115,0.117
290.410,1.707,0.156,0.119,0.118,0.140,0.157,0.159
290.420,0.967,0.155,0.122,0.120,0.153,0.160,0.163
290.430,0.914,0.155,0.131,0.130,0.161,0.170,0.173
290.440,0.238,0.154,0.110,0.108,0.160,0.150,0.152
290.450,0.283,0.157,0.119,0.118,0.162,0.161,0.163
290.460,0.114,0.164,0.128,0.127,0.165,0.173,0.172
290.470,-0.593,0.160,0.119,0.117,0.164,0.163,0.163
290.481,-0.103,0.161,0.118,0.116,0.155,0.163,0.163
290.493,-0.387,0.158,0.115,0.113,0.155,0.160,0.161
290.503,0.287,0.152,0.120,0.119,0.150,0.165,0.167
290.515,-0.730,0.151,0.094,0.094,0.147,0.140,0.143
290.526,-0.964,0.144,0.078,0.077,0.136,0.123,0.128
290.538,-1.042,0.147,0.051,0.051,0.117,0.100,0.104
290.549,0.355,0.143,0.076,0.076,0.114,0.125,0.131
290.561,0.482,0.140,0.080,0.079,0.114,0.129,0.135
290.572,0.073,0.139,0.071,0.071,0.114,0.122,0.128
290.584,-0.148,0.133,0.057,0.057,0.108,0.108,0.116
290.595,0.491,0.129,0.067,0.068,0.108,0.119,0.128
290.607,0.685,0.134,0.074,0.074,0.111,0.128,0.135
290.619,0.313,0.144,0.071,0.070,0.116,0.129,0.132
290.629,0.918,0.128,0.081,0.081,0.120,0.136,0.144
290.640,1.188,0.129,0.096,0.096,0.127,0.152,0.160
290.652,-0.466,0.148,0.058,0.057,0.125,0.120,0.122
290.663,-0.609,0.132,0.049,0.050,0.117,0.109,0.117
290.675,-1.667,0.153,0.010,0.010,0.098,0.076,0.080
290.687,-1.355,0.212,0.017,0.012,0.085,0.098,0.084
290.698,-0.565,0.078,0.007,0.013,0.072,0.057,0.088
290.710,-2.341,0.053,-0.047,-0.039,0.052,-0.003,0.036
290.721,-1.477,-0.009,-0.067,-0.054,0.025,-0.037,0.023
290.733,-0.228,0.001,-0.048,-0.036,0.017,-0.014,0.041
290.743,-1.213,0.021,-0.073,-0.062,0.009,-0.032,0.016
290.755,-0.281,0.080,-0.061,-0.053,-0.001,-0.004,0.026
290.766,0.164,0.151,-0.047,-0.045,-0.000,0.026,0.036
290.778,0.809,0.182,-0.042,-0.040,-0.000,0.038,0.045
290.789,-0.221,0.141,-0.067,-0.061,0.000,0.006,0.028
290.801,0.981,0.083,-0.048,-0.038,0.002,0.013,0.053
