R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,10,50,5,50,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
196.580,0.421,0.486,0.489,0.558,0.557,0.516,0.550,0.550,0.508
196.591,0.545,0.473,0.488,0.572,0.572,0.534,0.560,0.564,0.526
196.601,0.377,0.473,0.486,0.572,0.573,0.543,0.559,0.563,0.535
196.612,0.755,0.483,0.485,0.603,0.603,0.553,0.592,0.592,0.545
196.623,0.505,0.478,0.485,0.610,0.610,0.567,0.595,0.597,0.558
196.633,0.545,0.479,0.484,0.599,0.599,0.574,0.582,0.584,0.564
196.644,0.670,0.482,0.484,0.606,0.605,0.572,0.589,0.590,0.562
196.654,0.462,0.487,0.484,0.610,0.609,0.575,0.592,0.592,0.564
196.665,0.460,0.484,0.484,0.653,0.653,0.582,0.633,0.633,0.570
196.675,0.378,0.475,0.484,0.680,0.680,0.602,0.655,0.658,0.588
196.686,0.545,0.472,0.483,0.678,0.678,0.620,0.649,0.652,0.605
196.696,0.464,0.469,0.481,0.678,0.679,0.628,0.646,0.650,0.610
196.707,0.419,0.473,0.480,0.684,0.685,0.633,0.649,0.652,0.613
196.718,0.669,0.474,0.479,0.664,0.664,0.636,0.626,0.629,0.614
196.728,0.585,0.472,0.478,0.639,0.639,0.632,0.599,0.602,0.607
196.739,0.377,0.478,0.478,0.652,0.652,0.629,0.612,0.613,0.602
196.749,0.543,0.480,0.478,0.641,0.641,0.628,0.600,0.600,0.600
196.760,0.587,0.483,0.478,0.645,0.645,0.624,0.603,0.603,0.594
196.770,0.502,0.481,0.478,0.689,0.689,0.634,0.644,0.645,0.603
196.781,0.544,0.483,0.479,0.674,0.674,0.636,0.627,0.627,0.603
196.791,0.630,0.491,0.480,0.642,0.641,0.622,0.596,0.593,0.588
196.802,0.461,0.481,0.480,0.645,0.645,0.617,0.596,0.596,0.582
196.813,0.584,0.487,0.480,0.660,0.660,0.620,0.611,0.609,0.584
196.823,0.336,0.481,0.481,0.666,0.666,0.626,0.613,0.614,0.590
196.834,0.421,0.478,0.481,0.656,0.656,0.627,0.601,0.602,0.589
196.844,0.545,0.477,0.481,0.654,0.654,0.628,0.598,0.599,0.588
196.855,0.421,0.465,0.480,0.634,0.635,0.618,0.573,0.579,0.577
196.865,0.505,0.463,0.478,0.635,0.636,0.613,0.573,0.579,0.571
196.876,0.461,0.467,0.477,0.624,0.625,0.602,0.562,0.566,0.560
196.886,0.628,0.462,0.475,0.607,0.609,0.589,0.544,0.550,0.546
196.897,0.672,0.467,0.474,0.596,0.597,0.580,0.534,0.538,0.537
196.907,0.462,0.469,0.474,0.606,0.607,0.570,0.545,0.548,0.527
196.918,0.420,0.465,0.473,0.600,0.601,0.564,0.538,0.542,0.522
196.928,0.461,0.470,0.472,0.564,0.565,0.552,0.504,0.507,0.511
196.939,0.585,0.473,0.472,0.555,0.556,0.543,0.498,0.499,0.502
196.950,0.545,0.472,0.472,0.536,0.537,0.534,0.480,0.482,0.495
196.960,0.461,0.475,0.473,0.537,0.537,0.527,0.483,0.484,0.488
196.971,0.462,0.477,0.473,0.533,0.533,0.519,0.482,0.482,0.482
196.981,0.338,0.475,0.474,0.531,0.531,0.520,0.481,0.482,0.485
196.992,0.421,0.464,0.473,0.558,0.559,0.526,0.506,0.510,0.492
197.002,0.421,0.474,0.473,0.579,0.580,0.540,0.531,0.532,0.507
197.013,0.672,0.480,0.473,0.565,0.565,0.551,0.519,0.517,0.519
197.023,0.418,0.469,0.473,0.585,0.586,0.557,0.537,0.539,0.526
197.034,0.462,0.468,0.472,0.584,0.585,0.568,0.536,0.538,0.536
197.044,0.334,0.478,0.473,0.582,0.582,0.573,0.537,0.536,0.541
197.055,0.462,0.480,0.474,0.573,0.573,0.572,0.529,0.528,0.540
197.066,0.671,0.490,0.475,0.573,0.572,0.570,0.532,0.528,0.539
197.076,0.587,0.497,0.477,0.586,0.584,0.575,0.547,0.541,0.545
197.087,0.504,0.503,0.479,0.586,0.584,0.578,0.549,0.541,0.548
197.097,0.377,0.494,0.481,0.597,0.596,0.585,0.559,0.554,0.556
197.108,0.547,0.487,0.482,0.593,0.593,0.588,0.553,0.551,0.558
197.118,0.462,0.482,0.482,0.571,0.570,0.588,0.530,0.529,0.558
197.129,0.420,0.474,0.482,0.557,0.557,0.575,0.515,0.517,0.546
197.140,0.295,0.470,0.481,0.569,0.570,0.573,0.527,0.530,0.543
197.150,0.376,0.475,0.480,0.537,0.537,0.571,0.497,0.498,0.542
197.161,0.546,0.484,0.480,0.534,0.533,0.560,0.497,0.496,0.531
197.171,0.421,0.489,0.481,0.517,0.516,0.550,0.484,0.480,0.521
197.182,0.505,0.490,0.482,0.553,0.552,0.555,0.521,0.518,0.528
197.192,0.504,0.495,0.483,0.547,0.545,0.557,0.517,0.513,0.530
197.203,0.462,0.498,0.485,0.580,0.579,0.568,0.552,0.547,0.542
197.213,0.505,0.487,0.485,0.579,0.578,0.577,0.549,0.547,0.551
197.224,0.376,0.477,0.485,0.548,0.548,0.573,0.516,0.518,0.547
197.234,0.502,0.479,0.484,0.548,0.548,0.564,0.517,0.518,0.539
197.245,0.253,0.476,0.484,0.562,0.562,0.562,0.531,0.533,0.537
197.255,0.547,0.483,0.483,0.557,0.557,0.560,0.529,0.528,0.535
197.266,0.460,0.481,0.483,0.563,0.563,0.558,0.534,0.534,0.534
197.276,0.545,0.473,0.482,0.567,0.568,0.552,0.537,0.540,0.528
197.287,0.419,0.463,0.481,0.558,0.560,0.547,0.526,0.532,0.523
197.297,0.335,0.458,0.479,0.545,0.547,0.540,0.512,0.519,0.517
197.308,0.335,0.460,0.477,0.569,0.571,0.547,0.538,0.544,0.524
197.319,0.295,0.465,0.476,0.583,0.585,0.559,0.553,0.557,0.536
197.329,0.336,0.461,0.475,0.571,0.572,0.562,0.540,0.545,0.540
197.339,0.589,0.457,0.474,0.595,0.597,0.566,0.563,0.570,0.544
197.350,0.506,0.460,0.473,0.600,0.601,0.572,0.568,0.573,0.550
197.360,0.378,0.459,0.472,0.610,0.612,0.575,0.578,0.584,0.553
197.370,0.588,0.468,0.471,0.603,0.604,0.576,0.573,0.576,0.554
197.381,0.629,0.483,0.471,0.606,0.606,0.579,0.579,0.577,0.557
197.391,0.335,0.485,0.473,0.602,0.601,0.580,0.576,0.573,0.559
