R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
122.443,-0.435,0.085,0.096,0.051,0.052,0.063,0.017,0.020,0.028
122.453,-2.155,0.211,0.108,0.020,0.020,0.054,-0.008,-0.009,0.021
122.464,-0.911,-0.039,0.099,0.022,0.022,0.039,-0.006,-0.004,0.007
122.475,-1.031,0.128,0.090,0.010,0.011,0.031,-0.018,-0.014,0.001
122.485,-0.502,0.212,0.091,0.016,0.017,0.026,-0.009,-0.005,-0.001
122.496,0.471,0.169,0.090,0.026,0.028,0.025,0.001,0.006,-0.000
122.506,0.306,0.002,0.085,0.022,0.024,0.031,-0.001,0.004,0.006
122.517,0.614,0.044,0.079,0.029,0.031,0.037,0.004,0.012,0.013
122.527,0.373,0.211,0.091,0.027,0.028,0.043,0.006,0.010,0.020
122.538,0.597,0.127,0.089,0.055,0.056,0.053,0.035,0.039,0.031
122.548,-0.620,0.170,0.097,0.042,0.043,0.055,0.024,0.026,0.034
122.559,-1.399,0.127,0.102,0.032,0.032,0.049,0.017,0.016,0.028
122.569,-0.733,0.128,0.111,0.016,0.016,0.034,0.005,0.002,0.015
122.580,0.347,0.002,0.106,0.021,0.021,0.029,0.011,0.009,0.012
122.590,0.151,0.212,0.107,0.030,0.030,0.036,0.021,0.020,0.020
122.601,-1.540,0.251,0.111,0.011,0.011,0.033,0.006,0.003,0.019
122.611,-0.732,0.044,0.092,0.000,0.001,0.018,-0.007,-0.004,0.005
122.622,-1.598,0.253,0.106,-0.026,-0.025,0.006,-0.028,-0.029,-0.004
122.632,-1.798,-0.080,0.109,-0.061,-0.061,-0.013,-0.060,-0.062,-0.021
122.643,0.051,0.085,0.114,-0.044,-0.045,-0.022,-0.038,-0.042,-0.028
122.654,-0.122,0.086,0.128,-0.042,-0.044,-0.019,-0.029,-0.037,-0.021
122.664,-0.380,0.086,0.124,-0.053,-0.054,-0.019,-0.038,-0.044,-0.018
122.675,0.003,-0.039,0.119,-0.050,-0.050,-0.019,-0.033,-0.037,-0.016
122.685,0.107,0.168,0.123,-0.037,-0.038,-0.016,-0.016,-0.021,-0.009
122.696,-1.039,0.170,0.122,-0.049,-0.049,-0.018,-0.025,-0.030,-0.009
122.706,0.286,-0.039,0.123,-0.018,-0.019,-0.015,0.007,0.002,-0.004
122.717,-0.153,-0.039,0.126,-0.021,-0.022,-0.011,0.007,0.001,0.001
122.727,0.962,0.002,0.128,0.008,0.007,-0.002,0.038,0.032,0.012
122.738,0.981,0.002,0.120,0.023,0.022,0.009,0.052,0.048,0.026
122.748,1.081,0.044,0.114,0.031,0.030,0.021,0.058,0.057,0.040
122.759,0.533,0.044,0.111,0.041,0.041,0.034,0.068,0.067,0.053
122.769,1.190,0.170,0.100,0.065,0.066,0.046,0.089,0.092,0.065
122.780,-1.286,0.211,0.100,0.030,0.030,0.047,0.053,0.055,0.065
122.790,-0.682,0.211,0.096,0.024,0.025,0.039,0.046,0.050,0.057
122.801,-0.391,0.127,0.087,0.024,0.026,0.036,0.044,0.051,0.053
122.812,0.267,0.335,0.091,0.028,0.029,0.035,0.048,0.053,0.053
122.822,-1.486,0.002,0.082,-0.006,-0.005,0.029,0.011,0.019,0.046
122.833,-0.837,-0.122,0.063,-0.015,-0.012,0.017,-0.001,0.012,0.034
122.843,-0.979,0.253,0.073,-0.026,-0.024,0.004,-0.008,0.001,0.021
122.854,-1.089,0.085,0.077,-0.043,-0.040,-0.002,-0.022,-0.014,0.014
122.864,-1.105,0.044,0.090,-0.061,-0.060,-0.013,-0.035,-0.032,0.003
122.875,-1.011,0.336,0.111,-0.071,-0.071,-0.022,-0.037,-0.040,-0.002
122.885,0.293,0.128,0.114,-0.054,-0.054,-0.024,-0.017,-0.021,-0.003
122.896,0.407,0.169,0.113,-0.044,-0.045,-0.018,-0.006,-0.009,0.004
122.906,-0.212,0.169,0.114,-0.052,-0.052,-0.018,-0.011,-0.015,0.006
122.917,0.182,-0.081,0.118,-0.044,-0.045,-0.016,-0.001,-0.006,0.009
122.927,1.085,0.044,0.110,-0.026,-0.027,-0.008,0.015,0.013,0.019
122.938,-1.319,0.169,0.120,-0.065,-0.066,-0.007,-0.018,-0.024,0.021
122.949,-1.520,-0.039,0.111,-0.074,-0.074,-0.017,-0.027,-0.029,0.012
122.959,0.392,0.170,0.117,-0.067,-0.068,-0.027,-0.016,-0.020,0.004
122.970,1.661,0.127,0.110,-0.031,-0.032,-0.011,0.018,0.016,0.021
122.980,0.872,0.169,0.104,-0.030,-0.030,0.003,0.018,0.019,0.036
122.991,0.206,0.127,0.110,-0.028,-0.028,0.014,0.023,0.021,0.047
123.001,0.351,0.169,0.125,-0.014,-0.016,0.021,0.041,0.035,0.055
123.012,1.839,-0.039,0.122,0.009,0.008,0.032,0.064,0.059,0.067
123.022,0.287,-0.080,0.110,-0.005,-0.005,0.042,0.047,0.046,0.076
123.033,0.091,-0.039,0.110,-0.000,-0.001,0.047,0.051,0.050,0.080
123.043,0.135,0.169,0.118,-0.009,-0.009,0.046,0.045,0.042,0.079
123.054,1.123,0.086,0.109,0.024,0.024,0.057,0.076,0.076,0.089
123.065,0.251,0.254,0.125,0.039,0.037,0.071,0.094,0.088,0.102
123.075,0.863,0.128,0.126,0.050,0.048,0.078,0.104,0.098,0.108
123.086,-0.263,0.044,0.129,0.041,0.039,0.082,0.095,0.089,0.111
123.096,-0.207,-0.039,0.126,0.039,0.038,0.081,0.092,0.086,0.109
123.107,-0.847,0.086,0.134,0.022,0.020,0.075,0.077,0.069,0.103
123.117,0.087,-0.080,0.132,0.024,0.022,0.068,0.078,0.071,0.096
123.128,-0.784,-0.122,0.125,0.023,0.022,0.070,0.075,0.071,0.096
123.138,-0.623,0.128,0.131,0.028,0.027,0.067,0.081,0.075,0.093
123.149,0.387,0.127,0.121,0.047,0.046,0.069,0.096,0.094,0.094
123.159,0.761,0.086,0.122,0.060,0.059,0.077,0.108,0.106,0.102
123.170,0.464,-0.122,0.123,0.056,0.055,0.085,0.104,0.101,0.109
123.180,-0.987,0.044,0.115,0.018,0.018,0.078,0.063,0.063,0.101
123.191,-0.733,0.044,0.121,0.015,0.014,0.070,0.062,0.060,0.092
123.201,-0.489,0.210,0.125,0.012,0.011,0.063,0.060,0.057,0.085
123.212,-0.454,0.253,0.112,0.013,0.012,0.060,0.057,0.058,0.081
123.223,-0.222,0.002,0.107,0.009,0.009,0.058,0.052,0.054,0.079
123.233,-1.028,0.044,0.107,-0.004,-0.004,0.055,0.038,0.040,0.075
123.244,-0.871,0.170,0.113,-0.019,-0.019,0.042,0.026,0.026,0.062
123.254,-2.405,0.337,0.110,-0.054,-0.054,0.028,-0.008,-0.007,0.048
123.265,-2.116,0.252,0.112,-0.079,-0.079,0.004,-0.031,-0.030,0.025
123.275,-1.545,0.211,0.119,-0.076,-0.076,-0.009,-0.024,-0.025,0.012
123.286,0.636,-0.081,0.117,-0.045,-0.046,-0.009,0.007,0.006,0.013
123.296,0.918,-0.039,0.116,-0.025,-0.026,0.002,0.028,0.027,0.026
123.307,0.242,0.044,0.113,-0.021,-0.021,0.012,0.031,0.032,0.037
123.317,1.061,0.169,0.105,-0.000,0.000,0.023,0.050,0.053,0.048
123.328,-0.588,-0.205,0.091,-0.003,-0.001,0.032,0.043,0.051,0.057
123.338,-0.576,0.086,0.093,0.007,0.008,0.031,0.054,0.060,0.055
123.349,-0.416,0.254,0.098,0.021,0.022,0.033,0.068,0.073,0.057
123.359,-0.130,0.170,0.093,0.020,0.021,0.031,0.064,0.070,0.055
123.370,0.226,0.086,0.095,0.006,0.007,0.028,0.051,0.056,0.052
123.380,1.118,0.086,0.093,0.026,0.027,0.034,0.069,0.075,0.057
123.391,1.711,0.294,0.094,0.058,0.060,0.054,0.101,0.106,0.076
123.402,1.757,0.211,0.105,0.073,0.073,0.071,0.116,0.117,0.092
123.412,0.789,0.127,0.107,0.073,0.073,0.085,0.114,0.115,0.105
123.423,0.090,0.002,0.094,0.057,0.058,0.089,0.093,0.098,0.107
123.433,0.601,0.128,0.100,0.059,0.059,0.092,0.095,0.098,0.108
123.444,-0.046,0.337,0.112,0.043,0.043,0.095,0.082,0.081,0.109
