R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,30,50,5,50,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
255.056,0.086,-0.129,-0.125,0.007,0.008,-0.007,-0.058,-0.054,-0.068
255.067,-0.039,-0.124,-0.125,0.054,0.055,0.003,-0.012,-0.010,-0.058
255.077,0.127,-0.110,-0.125,0.025,0.024,0.006,-0.039,-0.042,-0.056
255.088,-0.122,-0.105,-0.123,0.047,0.046,0.003,-0.017,-0.022,-0.060
255.098,0.002,-0.109,-0.121,0.042,0.042,0.008,-0.025,-0.027,-0.056
255.109,-0.205,-0.106,-0.120,0.033,0.033,0.004,-0.034,-0.038,-0.060
255.119,0.086,-0.103,-0.118,0.036,0.035,0.000,-0.032,-0.037,-0.065
255.130,-0.164,-0.108,-0.117,0.066,0.066,0.008,-0.005,-0.008,-0.058
255.140,-0.080,-0.102,-0.116,0.082,0.081,0.019,0.009,0.004,-0.047
255.151,0.169,-0.099,-0.114,0.078,0.077,0.025,0.003,-0.001,-0.042
255.161,0.044,-0.100,-0.113,0.069,0.068,0.025,-0.007,-0.011,-0.042
255.172,-0.039,-0.101,-0.112,0.086,0.086,0.027,0.007,0.003,-0.041
255.182,-0.164,-0.102,-0.111,0.075,0.074,0.027,-0.005,-0.009,-0.043
255.193,-0.122,-0.121,-0.111,0.094,0.094,0.031,0.005,0.007,-0.040
255.203,0.002,-0.124,-0.113,0.085,0.085,0.036,-0.006,-0.003,-0.037
255.214,-0.122,-0.132,-0.114,0.096,0.097,0.044,0.000,0.005,-0.030
255.224,-0.248,-0.129,-0.116,0.113,0.114,0.053,0.015,0.019,-0.024
255.235,-0.039,-0.123,-0.117,0.117,0.118,0.059,0.017,0.020,-0.020
255.246,0.002,-0.107,-0.117,0.091,0.090,0.059,-0.006,-0.009,-0.022
255.256,-0.247,-0.112,-0.116,0.066,0.065,0.045,-0.034,-0.035,-0.036
255.267,-0.164,-0.104,-0.115,0.082,0.081,0.034,-0.017,-0.021,-0.048
255.277,-0.123,-0.088,-0.113,0.076,0.075,0.029,-0.019,-0.028,-0.053
255.288,-0.122,-0.079,-0.109,0.072,0.070,0.021,-0.022,-0.033,-0.061
255.298,-0.122,-0.079,-0.106,0.054,0.052,0.012,-0.040,-0.051,-0.069
255.309,-0.039,-0.084,-0.104,-0.005,-0.007,-0.017,-0.100,-0.109,-0.098
255.319,-0.039,-0.081,-0.102,0.008,0.006,-0.030,-0.084,-0.094,-0.110
255.330,-0.289,-0.090,-0.100,0.009,0.008,-0.038,-0.084,-0.091,-0.116
255.341,-0.039,-0.106,-0.100,0.026,0.026,-0.040,-0.071,-0.072,-0.116
255.351,-0.122,-0.117,-0.101,0.016,0.016,-0.042,-0.085,-0.082,-0.117
255.362,-0.122,-0.109,-0.102,0.005,0.005,-0.049,-0.093,-0.093,-0.123
255.372,-0.371,-0.121,-0.103,0.019,0.019,-0.055,-0.082,-0.078,-0.127
255.383,0.085,-0.111,-0.105,-0.000,-0.000,-0.061,-0.098,-0.098,-0.132
255.393,0.002,-0.110,-0.105,-0.002,-0.002,-0.065,-0.099,-0.099,-0.135
255.404,-0.080,-0.110,-0.106,0.020,0.019,-0.060,-0.076,-0.076,-0.128
255.414,-0.289,-0.110,-0.106,-0.000,-0.001,-0.051,-0.096,-0.096,-0.118
255.425,-0.457,-0.116,-0.106,0.001,0.001,-0.048,-0.095,-0.093,-0.114
255.435,-0.080,-0.106,-0.106,0.038,0.037,-0.040,-0.056,-0.057,-0.105
255.446,0.002,-0.099,-0.106,0.032,0.031,-0.035,-0.060,-0.063,-0.099
255.456,0.127,-0.096,-0.105,0.035,0.034,-0.041,-0.056,-0.060,-0.104
255.467,0.127,-0.084,-0.104,0.034,0.032,-0.043,-0.053,-0.061,-0.105
255.477,-0.164,-0.087,-0.102,0.030,0.029,-0.041,-0.058,-0.065,-0.102
255.488,-0.246,-0.095,-0.101,0.009,0.008,-0.047,-0.081,-0.085,-0.106
255.499,-0.039,-0.090,-0.100,0.028,0.027,-0.054,-0.060,-0.066,-0.111
255.509,-0.164,-0.096,-0.099,0.021,0.019,-0.052,-0.069,-0.072,-0.108
255.520,-0.164,-0.097,-0.099,-0.018,-0.019,-0.066,-0.108,-0.111,-0.121
255.530,-0.248,-0.103,-0.099,-0.038,-0.039,-0.084,-0.127,-0.128,-0.137
255.541,-0.204,-0.115,-0.100,-0.038,-0.038,-0.092,-0.129,-0.126,-0.143
