R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,75,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
330.985,0.096,0.835,0.828,0.974,0.983,0.986,0.885,0.886,0.890
330.996,0.900,0.835,0.830,0.994,1.003,0.991,0.903,0.904,0.893
331.006,1.079,0.876,0.826,0.990,0.999,0.997,0.897,0.899,0.897
331.017,-0.361,1.174,0.838,0.975,0.984,1.002,0.883,0.881,0.900
331.028,0.477,0.672,0.830,1.002,1.011,1.005,0.906,0.907,0.901
331.038,0.244,0.712,0.822,1.001,1.011,1.006,0.900,0.904,0.900
331.049,0.064,1.047,0.834,0.997,1.006,1.006,0.898,0.897,0.898
331.059,0.583,0.798,0.830,1.002,1.011,1.007,0.900,0.900,0.897
331.070,0.208,0.833,0.832,1.015,1.024,1.015,0.911,0.911,0.903
331.080,-0.898,0.961,0.832,0.989,0.998,1.009,0.883,0.883,0.895
331.091,0.077,0.752,0.824,1.000,1.010,1.005,0.890,0.893,0.889
331.102,0.880,0.713,0.822,1.012,1.022,1.008,0.900,0.903,0.890
331.112,1.116,1.174,0.829,1.023,1.032,1.018,0.910,0.911,0.898
331.123,0.540,0.587,0.825,1.025,1.035,1.027,0.909,0.911,0.906
331.133,-0.397,1.044,0.842,1.018,1.028,1.030,0.906,0.902,0.907
331.144,0.197,0.837,0.855,1.027,1.036,1.029,0.916,0.909,0.904
331.155,0.439,0.962,0.862,1.022,1.031,1.026,0.912,0.903,0.900
331.165,-0.429,0.965,0.855,1.005,1.014,1.026,0.892,0.885,0.898
331.176,-0.138,0.625,0.849,1.003,1.012,1.022,0.887,0.883,0.893
331.186,0.347,0.629,0.838,0.990,1.000,1.017,0.871,0.870,0.887
331.197,0.969,1.081,0.840,1.015,1.025,1.025,0.896,0.894,0.894
331.207,1.201,0.959,0.837,1.005,1.015,1.029,0.884,0.883,0.896
331.218,0.080,0.715,0.834,0.985,0.995,1.033,0.862,0.863,0.899
331.229,0.030,0.836,0.834,0.980,0.990,1.031,0.857,0.857,0.895
331.239,0.214,0.964,0.830,0.973,0.983,1.027,0.849,0.850,0.890
331.250,-0.715,0.753,0.834,0.958,0.968,1.026,0.835,0.835,0.887
331.260,-0.502,0.919,0.842,0.968,0.978,1.023,0.848,0.845,0.883
331.271,-1.019,0.836,0.849,0.950,0.960,1.013,0.832,0.827,0.873
331.282,-0.667,0.750,0.847,0.957,0.967,1.004,0.839,0.835,0.864
331.292,0.063,0.713,0.837,0.948,0.959,1.001,0.828,0.828,0.860
331.303,0.900,0.628,0.830,0.968,0.979,1.006,0.846,0.848,0.865
331.313,-0.377,0.752,0.819,0.938,0.949,1.006,0.814,0.819,0.864
331.324,-0.000,0.962,0.835,0.954,0.964,1.011,0.833,0.834,0.868
331.334,-1.274,0.628,0.826,0.925,0.936,1.003,0.803,0.806,0.860
331.345,0.406,0.754,0.817,0.931,0.942,0.993,0.808,0.813,0.849
331.355,0.114,0.882,0.818,0.946,0.958,1.000,0.823,0.829,0.855
331.366,1.464,0.880,0.817,0.954,0.966,1.002,0.831,0.837,0.857
331.377,-0.809,1.038,0.820,0.909,0.921,1.002,0.788,0.792,0.856
331.387,-0.892,0.917,0.821,0.908,0.919,0.994,0.788,0.792,0.847
331.398,-2.147,0.876,0.815,0.880,0.892,0.978,0.760,0.766,0.831
