R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,40,70,5,70,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
363.619,0.211,0.218,0.215,0.351,0.347,0.366,0.294,0.294,0.311
363.630,0.168,0.216,0.215,0.335,0.332,0.375,0.278,0.278,0.318
363.640,0.253,0.215,0.215,0.304,0.300,0.367,0.247,0.247,0.309
363.651,0.253,0.208,0.214,0.283,0.280,0.352,0.226,0.228,0.293
363.662,0.376,0.213,0.214,0.287,0.284,0.345,0.232,0.233,0.286
363.672,0.127,0.218,0.214,0.259,0.255,0.337,0.207,0.206,0.277
363.683,0.419,0.224,0.215,0.260,0.255,0.329,0.211,0.208,0.269
363.693,0.044,0.205,0.215,0.256,0.253,0.317,0.204,0.208,0.258
363.704,0.252,0.197,0.213,0.251,0.248,0.318,0.199,0.205,0.259
363.714,0.253,0.208,0.212,0.266,0.263,0.316,0.218,0.220,0.257
363.725,0.211,0.205,0.211,0.251,0.248,0.312,0.204,0.207,0.253
363.735,0.169,0.200,0.210,0.228,0.225,0.308,0.181,0.186,0.250
363.746,0.295,0.204,0.209,0.210,0.207,0.299,0.167,0.171,0.242
363.757,0.251,0.216,0.209,0.248,0.244,0.304,0.210,0.210,0.247
363.767,0.253,0.219,0.210,0.239,0.235,0.305,0.204,0.202,0.249
363.778,0.085,0.219,0.212,0.219,0.215,0.301,0.186,0.185,0.245
363.788,0.294,0.222,0.212,0.205,0.201,0.293,0.176,0.173,0.239
363.799,0.210,0.209,0.212,0.205,0.202,0.287,0.176,0.178,0.233
363.809,0.127,0.203,0.212,0.228,0.225,0.296,0.199,0.202,0.244
363.820,0.211,0.207,0.211,0.252,0.248,0.317,0.225,0.227,0.265
363.831,0.294,0.223,0.212,0.265,0.260,0.331,0.243,0.240,0.278
363.841,0.293,0.225,0.213,0.248,0.244,0.334,0.228,0.225,0.282
363.852,0.127,0.214,0.214,0.239,0.235,0.327,0.218,0.218,0.275
363.862,0.127,0.207,0.213,0.222,0.219,0.316,0.201,0.203,0.264
363.873,0.294,0.208,0.213,0.237,0.233,0.315,0.217,0.219,0.263
363.883,0.294,0.213,0.213,0.241,0.237,0.320,0.223,0.224,0.268
363.894,0.128,0.210,0.213,0.243,0.239,0.325,0.226,0.227,0.273
363.904,0.295,0.210,0.212,0.259,0.255,0.333,0.242,0.244,0.281
363.915,0.418,0.220,0.212,0.239,0.235,0.334,0.226,0.224,0.282
363.925,0.168,0.224,0.213,0.216,0.211,0.323,0.206,0.202,0.271
363.936,0.211,0.220,0.214,0.197,0.193,0.306,0.188,0.187,0.255
363.946,0.295,0.225,0.215,0.181,0.177,0.287,0.176,0.173,0.236
363.957,0.169,0.210,0.215,0.190,0.186,0.271,0.183,0.185,0.222
363.967,0.420,0.213,0.214,0.209,0.205,0.273,0.205,0.205,0.226
363.978,0.126,0.213,0.214,0.209,0.205,0.277,0.207,0.207,0.231
363.989,0.086,0.211,0.214,0.232,0.229,0.284,0.230,0.231,0.238
363.999,0.169,0.211,0.214,0.239,0.235,0.284,0.238,0.239,0.240
364.010,0.212,0.205,0.213,0.250,0.247,0.300,0.247,0.250,0.255
364.020,0.421,0.217,0.213,0.224,0.220,0.296,0.225,0.224,0.252
364.031,0.211,0.211,0.213,0.225,0.221,0.288,0.226,0.226,0.246
364.041,0.211,0.202,0.212,0.232,0.229,0.287,0.232,0.235,0.244
364.052,0.169,0.201,0.211,0.218,0.215,0.290,0.218,0.222,0.248
364.062,0.002,0.203,0.211,0.241,0.238,0.300,0.242,0.245,0.258
364.073,0.210,0.207,0.210,0.236,0.232,0.307,0.239,0.240,0.265
364.083,0.252,0.208,0.210,0.214,0.211,0.301,0.218,0.219,0.260
