R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,40,50,5,50,5,10,75,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
324.068,-0.122,-0.208,-0.209,-0.251,-0.196,-0.156,-0.189,-0.191,-0.140
324.079,-0.289,-0.205,-0.208,-0.242,-0.187,-0.168,-0.179,-0.181,-0.152
324.089,0.044,-0.192,-0.207,-0.257,-0.204,-0.176,-0.190,-0.197,-0.160
324.100,-0.247,-0.199,-0.206,-0.263,-0.210,-0.189,-0.197,-0.201,-0.172
324.111,-0.288,-0.200,-0.205,-0.271,-0.217,-0.198,-0.203,-0.207,-0.180
324.121,-0.164,-0.192,-0.204,-0.284,-0.231,-0.215,-0.213,-0.219,-0.196
324.132,-0.163,-0.191,-0.203,-0.304,-0.251,-0.228,-0.230,-0.236,-0.207
324.142,-0.206,-0.194,-0.202,-0.300,-0.247,-0.234,-0.225,-0.230,-0.211
324.153,-0.080,-0.183,-0.200,-0.298,-0.246,-0.240,-0.217,-0.226,-0.215
324.163,-0.206,-0.187,-0.199,-0.279,-0.227,-0.235,-0.198,-0.205,-0.207
324.174,-0.205,-0.180,-0.197,-0.293,-0.242,-0.232,-0.208,-0.217,-0.203
324.184,-0.374,-0.180,-0.195,-0.290,-0.239,-0.237,-0.203,-0.212,-0.206
324.195,-0.289,-0.182,-0.193,-0.289,-0.238,-0.240,-0.201,-0.208,-0.207
324.205,-0.205,-0.180,-0.192,-0.295,-0.244,-0.240,-0.204,-0.212,-0.204
324.216,-0.289,-0.183,-0.191,-0.269,-0.218,-0.232,-0.178,-0.185,-0.195
324.227,-0.247,-0.189,-0.190,-0.246,-0.195,-0.216,-0.156,-0.161,-0.178
324.237,-0.080,-0.188,-0.191,-0.259,-0.208,-0.211,-0.168,-0.173,-0.171
324.248,-0.248,-0.192,-0.190,-0.268,-0.218,-0.211,-0.178,-0.182,-0.171
324.258,-0.163,-0.186,-0.190,-0.257,-0.207,-0.211,-0.165,-0.170,-0.171
324.269,-0.247,-0.198,-0.190,-0.248,-0.197,-0.209,-0.159,-0.160,-0.168
324.279,-0.164,-0.188,-0.190,-0.276,-0.226,-0.215,-0.184,-0.188,-0.173
324.290,-0.123,-0.182,-0.190,-0.276,-0.226,-0.226,-0.181,-0.187,-0.183
324.300,-0.249,-0.185,-0.189,-0.266,-0.217,-0.226,-0.171,-0.176,-0.181
324.311,-0.289,-0.189,-0.189,-0.253,-0.203,-0.212,-0.158,-0.161,-0.166
324.321,-0.288,-0.190,-0.189,-0.262,-0.213,-0.202,-0.167,-0.170,-0.156
324.332,-0.332,-0.188,-0.189,-0.259,-0.210,-0.198,-0.164,-0.167,-0.152
324.343,-0.415,-0.198,-0.189,-0.255,-0.205,-0.190,-0.162,-0.162,-0.144
324.353,0.002,-0.195,-0.190,-0.261,-0.212,-0.190,-0.166,-0.168,-0.145
324.364,-0.372,-0.200,-0.191,-0.267,-0.218,-0.190,-0.174,-0.173,-0.144
324.374,-0.206,-0.202,-0.192,-0.254,-0.205,-0.185,-0.161,-0.160,-0.140
324.385,-0.290,-0.205,-0.193,-0.280,-0.231,-0.192,-0.188,-0.186,-0.147
324.395,-0.081,-0.204,-0.194,-0.281,-0.232,-0.200,-0.188,-0.186,-0.156
324.406,-0.206,-0.214,-0.196,-0.304,-0.256,-0.214,-0.213,-0.208,-0.169
324.416,-0.081,-0.206,-0.197,-0.286,-0.238,-0.220,-0.192,-0.190,-0.175
324.427,0.085,-0.209,-0.199,-0.287,-0.239,-0.226,-0.194,-0.191,-0.181
324.437,-0.122,-0.199,-0.199,-0.280,-0.233,-0.226,-0.183,-0.183,-0.181
324.448,-0.455,-0.203,-0.199,-0.263,-0.216,-0.218,-0.167,-0.166,-0.172
324.459,-0.081,-0.189,-0.199,-0.274,-0.228,-0.217,-0.174,-0.178,-0.170
324.469,-0.122,-0.179,-0.197,-0.271,-0.226,-0.218,-0.168,-0.175,-0.171
324.480,-0.206,-0.169,-0.195,-0.270,-0.226,-0.223,-0.164,-0.173,-0.174
324.490,-0.164,-0.171,-0.192,-0.253,-0.209,-0.224,-0.147,-0.155,-0.174
324.501,-0.247,-0.175,-0.190,-0.253,-0.209,-0.219,-0.148,-0.155,-0.168
324.511,-0.206,-0.177,-0.189,-0.263,-0.219,-0.213,-0.158,-0.164,-0.161
324.522,-0.163,-0.185,-0.188,-0.287,-0.242,-0.217,-0.183,-0.186,-0.165
324.532,-0.080,-0.190,-0.188,-0.301,-0.256,-0.231,-0.197,-0.199,-0.178
324.543,-0.288,-0.199,-0.189,-0.271,-0.225,-0.231,-0.169,-0.167,-0.177
324.553,-0.372,-0.201,-0.190,-0.308,-0.263,-0.233,-0.205,-0.203,-0.178
324.564,-0.331,-0.207,-0.191,-0.311,-0.266,-0.234,-0.209,-0.205,-0.179
324.574,-0.122,-0.207,-0.193,-0.329,-0.284,-0.246,-0.226,-0.223,-0.191
324.585,-0.205,-0.210,-0.195,-0.309,-0.264,-0.254,-0.205,-0.201,-0.198
324.596,-0.207,-0.209,-0.196,-0.303,-0.258,-0.251,-0.199,-0.195,-0.194
324.606,-0.206,-0.206,-0.198,-0.283,-0.239,-0.244,-0.178,-0.175,-0.186
324.617,-0.122,-0.208,-0.199,-0.302,-0.258,-0.244,-0.196,-0.193,-0.186
324.627,-0.291,-0.208,-0.200,-0.299,-0.255,-0.243,-0.193,-0.190,-0.185
324.638,-0.288,-0.214,-0.200,-0.289,-0.245,-0.240,-0.184,-0.179,-0.181
324.648,-0.331,-0.218,-0.202,-0.286,-0.242,-0.237,-0.182,-0.176,-0.178
324.659,0.002,-0.218,-0.204,-0.275,-0.231,-0.231,-0.172,-0.166,-0.172
324.669,-0.332,-0.219,-0.205,-0.300,-0.256,-0.232,-0.197,-0.191,-0.173
324.680,-0.373,-0.234,-0.208,-0.303,-0.259,-0.238,-0.204,-0.193,-0.180
324.690,-0.372,-0.226,-0.210,-0.339,-0.295,-0.253,-0.236,-0.229,-0.195
324.701,-0.290,-0.238,-0.212,-0.319,-0.275,-0.250,-0.219,-0.208,-0.191
324.712,-0.416,-0.249,-0.216,-0.329,-0.284,-0.241,-0.231,-0.217,-0.183
324.722,-0.207,-0.246,-0.219,-0.315,-0.271,-0.238,-0.216,-0.203,-0.181
324.733,-0.206,-0.250,-0.222,-0.325,-0.281,-0.238,-0.227,-0.213,-0.181
324.743,-0.122,-0.250,-0.225,-0.334,-0.290,-0.239,-0.236,-0.222,-0.183
324.754,-0.454,-0.259,-0.228,-0.339,-0.295,-0.242,-0.243,-0.227,-0.187
324.764,-0.205,-0.249,-0.230,-0.350,-0.307,-0.245,-0.250,-0.238,-0.191
324.775,-0.206,-0.243,-0.232,-0.353,-0.310,-0.249,-0.250,-0.240,-0.196
324.786,-0.247,-0.240,-0.233,-0.356,-0.314,-0.254,-0.251,-0.243,-0.200
324.796,-0.374,-0.239,-0.233,-0.331,-0.289,-0.249,-0.225,-0.217,-0.195
324.807,-0.289,-0.244,-0.234,-0.347,-0.305,-0.248,-0.242,-0.233,-0.194
324.817,-0.456,-0.250,-0.235,-0.348,-0.305,-0.250,-0.243,-0.232,-0.196
324.828,-0.288,-0.243,-0.236,-0.316,-0.274,-0.242,-0.209,-0.201,-0.189
324.838,-0.164,-0.255,-0.238,-0.316,-0.274,-0.232,-0.212,-0.201,-0.180
324.849,-0.122,-0.250,-0.239,-0.311,-0.269,-0.227,-0.207,-0.197,-0.176
324.859,-0.163,-0.239,-0.240,-0.289,-0.248,-0.218,-0.183,-0.177,-0.167
324.870,-0.122,-0.226,-0.239,-0.299,-0.259,-0.213,-0.189,-0.188,-0.164
324.880,-0.081,-0.229,-0.238,-0.320,-0.280,-0.216,-0.211,-0.209,-0.167
324.891,-0.122,-0.228,-0.237,-0.330,-0.290,-0.232,-0.220,-0.218,-0.183
324.901,-0.206,-0.230,-0.236,-0.293,-0.253,-0.229,-0.184,-0.181,-0.180
324.912,-0.206,-0.236,-0.236,-0.318,-0.279,-0.230,-0.211,-0.207,-0.181
324.923,-0.247,-0.239,-0.236,-0.320,-0.281,-0.235,-0.214,-0.209,-0.187
324.933,-0.495,-0.239,-0.236,-0.331,-0.292,-0.245,-0.224,-0.219,-0.197
324.944,-0.331,-0.236,-0.235,-0.325,-0.287,-0.252,-0.217,-0.213,-0.204
324.954,-0.123,-0.235,-0.235,-0.327,-0.288,-0.253,-0.218,-0.214,-0.205
324.965,-0.122,-0.221,-0.235,-0.329,-0.291,-0.257,-0.216,-0.217,-0.208
324.975,0.002,-0.214,-0.234,-0.329,-0.292,-0.263,-0.213,-0.216,-0.213
324.986,-0.080,-0.208,-0.231,-0.325,-0.289,-0.261,-0.208,-0.213,-0.209
324.996,-0.289,-0.218,-0.230,-0.305,-0.268,-0.261,-0.189,-0.191,-0.209
325.007,-0.289,-0.218,-0.228,-0.297,-0.261,-0.255,-0.182,-0.184,-0.202
325.018,-0.248,-0.226,-0.228,-0.304,-0.267,-0.254,-0.191,-0.190,-0.201
