R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,100,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
418.344,-0.142,0.337,0.375,0.325,0.326,0.316,0.342,0.348,0.335
418.355,0.531,0.252,0.364,0.327,0.329,0.314,0.342,0.352,0.335
418.366,0.358,0.336,0.362,0.335,0.336,0.317,0.350,0.360,0.340
418.376,0.682,0.378,0.375,0.335,0.336,0.321,0.356,0.361,0.345
418.387,0.620,0.377,0.375,0.332,0.333,0.326,0.354,0.359,0.351
418.397,-0.157,0.295,0.363,0.320,0.321,0.325,0.339,0.348,0.351
418.408,0.270,0.460,0.363,0.331,0.332,0.327,0.351,0.360,0.354
418.418,-0.554,0.585,0.373,0.301,0.302,0.321,0.326,0.331,0.349
418.429,0.448,0.418,0.377,0.318,0.318,0.320,0.346,0.349,0.349
418.439,-1.669,0.545,0.373,0.264,0.265,0.307,0.293,0.298,0.338
418.450,-1.198,0.462,0.378,0.260,0.261,0.293,0.294,0.297,0.325
418.461,0.188,0.462,0.370,0.281,0.282,0.287,0.315,0.321,0.321
418.471,-0.998,0.211,0.362,0.249,0.250,0.280,0.283,0.291,0.317
418.482,0.623,0.335,0.359,0.269,0.270,0.274,0.305,0.313,0.312
418.492,-1.671,0.504,0.353,0.228,0.230,0.268,0.266,0.276,0.308
418.503,-0.548,0.462,0.353,0.231,0.233,0.254,0.272,0.282,0.296
418.513,-0.178,0.464,0.349,0.245,0.246,0.251,0.286,0.297,0.296
418.524,-0.223,0.337,0.347,0.246,0.248,0.249,0.289,0.300,0.295
418.534,0.423,0.418,0.353,0.250,0.252,0.248,0.298,0.306,0.296
418.545,0.260,0.503,0.351,0.261,0.263,0.253,0.309,0.318,0.304
418.556,-0.332,0.294,0.361,0.247,0.248,0.251,0.300,0.305,0.303
418.566,0.039,0.211,0.363,0.253,0.254,0.250,0.309,0.314,0.305
418.577,-1.764,0.421,0.368,0.216,0.217,0.238,0.277,0.280,0.295
418.587,-1.729,0.336,0.374,0.211,0.212,0.222,0.276,0.277,0.282
418.598,-0.491,0.461,0.381,0.227,0.227,0.212,0.297,0.295,0.276
418.608,0.181,0.295,0.366,0.250,0.251,0.216,0.318,0.321,0.283
418.619,0.232,0.252,0.367,0.255,0.256,0.218,0.325,0.328,0.288
418.630,-1.105,0.379,0.368,0.224,0.225,0.213,0.296,0.298,0.285
418.640,0.088,0.421,0.357,0.249,0.250,0.210,0.320,0.326,0.285
418.651,0.879,0.378,0.361,0.277,0.279,0.222,0.350,0.354,0.299
418.661,-0.034,0.420,0.361,0.249,0.250,0.224,0.323,0.327,0.303
418.672,0.689,0.169,0.352,0.276,0.278,0.232,0.348,0.355,0.313
418.683,0.609,0.420,0.347,0.278,0.279,0.238,0.348,0.357,0.320
418.693,-0.270,0.544,0.358,0.265,0.267,0.237,0.340,0.345,0.320
418.704,0.229,0.586,0.369,0.268,0.269,0.235,0.346,0.347,0.320
418.714,-0.926,0.505,0.373,0.250,0.251,0.235,0.331,0.330,0.321
418.725,-0.458,0.464,0.365,0.227,0.229,0.222,0.308,0.310,0.310
418.735,-0.444,0.503,0.365,0.206,0.208,0.212,0.290,0.292,0.303
418.746,0.669,0.461,0.383,0.216,0.217,0.211,0.307,0.304,0.304
418.756,0.665,0.419,0.387,0.217,0.217,0.218,0.312,0.307,0.313
418.767,-0.041,0.505,0.395,0.228,0.228,0.229,0.327,0.320,0.326
418.777,0.191,0.210,0.389,0.246,0.246,0.233,0.344,0.339,0.333
418.788,0.363,0.544,0.396,0.252,0.251,0.237,0.353,0.346,0.338
418.799,0.555,0.379,0.391,0.258,0.258,0.245,0.360,0.355,0.348
418.809,0.392,0.378,0.390,0.274,0.274,0.252,0.376,0.372,0.356
418.820,-0.150,0.378,0.389,0.265,0.265,0.254,0.367,0.363,0.359
418.830,0.343,0.169,0.381,0.277,0.278,0.255,0.378,0.376,0.361
418.841,0.378,0.380,0.390,0.282,0.282,0.259,0.385,0.381,0.366
418.851,0.438,0.377,0.393,0.265,0.265,0.257,0.370,0.365,0.364
418.862,0.212,0.420,0.383,0.260,0.261,0.260,0.364,0.362,0.368
418.873,0.942,0.253,0.392,0.276,0.276,0.266,0.382,0.378,0.375
418.883,0.249,0.585,0.393,0.263,0.263,0.270,0.370,0.366,0.380
418.894,-1.846,0.588,0.386,0.219,0.219,0.260,0.325,0.323,0.370
418.904,-0.447,0.419,0.396,0.207,0.207,0.241,0.319,0.314,0.352
418.915,-0.222,0.462,0.405,0.206,0.206,0.239,0.323,0.315,0.351
418.926,-0.502,0.421,0.397,0.199,0.198,0.235,0.316,0.310,0.349
418.936,0.546,0.630,0.401,0.218,0.218,0.237,0.338,0.332,0.353
418.947,0.061,0.296,0.408,0.223,0.223,0.242,0.347,0.339,0.359
418.957,-1.141,0.295,0.399,0.201,0.201,0.238,0.325,0.320,0.356
418.968,-0.931,0.421,0.401,0.202,0.201,0.230,0.328,0.322,0.349
418.978,-1.000,0.378,0.406,0.193,0.193,0.222,0.323,0.316,0.343
418.989,-1.790,0.211,0.405,0.152,0.151,0.205,0.285,0.278,0.329
419.000,-0.833,0.378,0.412,0.142,0.141,0.190,0.281,0.272,0.317
419.010,0.245,0.336,0.412,0.149,0.148,0.188,0.291,0.283,0.317
419.021,1.323,0.170,0.396,0.174,0.174,0.198,0.315,0.312,0.330
419.031,1.046,0.420,0.397,0.178,0.178,0.212,0.321,0.318,0.345
419.042,1.202,0.420,0.398,0.186,0.185,0.221,0.331,0.328,0.356
419.052,1.307,0.379,0.398,0.216,0.216,0.236,0.363,0.359,0.372
419.063,-0.141,0.420,0.399,0.208,0.208,0.244,0.356,0.353,0.380
419.073,0.384,0.379,0.386,0.201,0.202,0.242,0.347,0.348,0.378
419.084,-1.541,0.418,0.392,0.170,0.170,0.233,0.319,0.318,0.369
419.095,-0.242,0.422,0.395,0.185,0.184,0.223,0.336,0.334,0.360
419.105,0.151,0.336,0.395,0.189,0.188,0.223,0.341,0.339,0.361
419.116,0.657,0.545,0.397,0.195,0.194,0.225,0.349,0.347,0.364
419.126,-0.659,0.460,0.400,0.169,0.169,0.223,0.327,0.323,0.362
419.137,-1.032,0.336,0.401,0.155,0.154,0.214,0.315,0.311,0.355
419.147,0.115,0.169,0.388,0.172,0.172,0.210,0.330,0.330,0.352
419.158,-0.551,0.378,0.398,0.146,0.146,0.208,0.309,0.307,0.351
419.168,-0.920,0.293,0.390,0.145,0.145,0.204,0.308,0.308,0.348
419.179,-1.375,0.335,0.393,0.129,0.129,0.194,0.295,0.294,0.339
419.190,-1.164,0.501,0.398,0.122,0.122,0.183,0.293,0.290,0.330
419.200,-1.618,0.336,0.383,0.113,0.113,0.171,0.281,0.284,0.320
419.211,-1.744,0.461,0.376,0.108,0.109,0.159,0.277,0.282,0.309
419.221,-1.053,0.502,0.382,0.106,0.106,0.145,0.279,0.282,0.297
419.232,-0.670,0.336,0.387,0.107,0.107,0.138,0.284,0.285,0.293
419.243,-1.679,0.543,0.395,0.083,0.083,0.127,0.266,0.264,0.285
419.253,-0.678,0.418,0.382,0.079,0.080,0.113,0.262,0.264,0.274
419.264,-0.941,0.586,0.383,0.075,0.076,0.105,0.261,0.263,0.269
419.274,-0.359,0.337,0.371,0.083,0.083,0.098,0.268,0.274,0.265
419.285,0.544,0.545,0.381,0.097,0.097,0.102,0.287,0.290,0.272
419.295,0.614,0.420,0.390,0.096,0.096,0.108,0.292,0.291,0.280
419.306,0.675,0.546,0.398,0.108,0.108,0.117,0.308,0.305,0.293
419.317,0.170,0.629,0.419,0.111,0.110,0.126,0.319,0.309,0.304
419.328,0.120,0.255,0.412,0.117,0.116,0.129,0.324,0.317,0.309
419.338,0.189,0.378,0.410,0.117,0.116,0.130,0.325,0.319,0.312
419.349,-0.720,0.502,0.418,0.099,0.097,0.127,0.311,0.302,0.311
419.359,-1.514,0.502,0.428,0.075,0.073,0.116,0.292,0.280,0.302
419.369,-0.921,0.460,0.434,0.080,0.078,0.105,0.301,0.288,0.294
419.380,0.228,0.377,0.429,0.102,0.100,0.103,0.324,0.313,0.294
419.390,-0.315,0.336,0.424,0.089,0.088,0.104,0.312,0.302,0.298
419.401,0.432,0.587,0.423,0.102,0.100,0.102,0.326,0.317,0.299
419.411,0.119,0.337,0.424,0.110,0.108,0.109,0.336,0.327,0.308
419.421,-0.912,0.294,0.418,0.099,0.098,0.108,0.325,0.318,0.308
419.432,-1.970,1.623,0.431,0.068,0.066,0.094,0.298,0.288,0.297
419.442,-2.805,2.033,0.419,0.031,0.029,0.069,0.261,0.254,0.275
419.453,-2.904,-1.325,0.481,0.010,0.006,0.044,0.262,0.236,0.255
419.463,-1.982,-3.133,0.534,0.003,-0.003,0.019,0.274,0.232,0.235
419.473,-1.352,4.563,0.484,-0.005,-0.010,0.002,0.254,0.230,0.223
419.484,-1.414,-9.254,0.433,-0.027,-0.028,-0.012,0.225,0.218,0.214
419.494,-1.389,0.002,0.374,-0.054,-0.053,-0.028,0.185,0.197,0.202
