R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
341.163,-0.160,-0.318,-0.404,-0.397,-0.384,-0.314,-0.314
341.173,1.014,-0.318,-0.378,-0.372,-0.376,-0.289,-0.290
341.184,0.539,-0.321,-0.382,-0.376,-0.372,-0.295,-0.294
341.194,-0.032,-0.325,-0.396,-0.389,-0.371,-0.310,-0.308
341.204,0.721,-0.330,-0.389,-0.382,-0.369,-0.305,-0.302
341.214,0.547,-0.334,-0.387,-0.380,-0.363,-0.305,-0.301
341.224,-1.197,-0.321,-0.418,-0.412,-0.367,-0.333,-0.333
341.234,-1.601,-0.304,-0.444,-0.438,-0.382,-0.353,-0.358
341.245,-1.043,-0.298,-0.442,-0.437,-0.393,-0.349,-0.356
341.255,-0.627,-0.309,-0.437,-0.432,-0.401,-0.346,-0.349
341.265,0.697,-0.301,-0.400,-0.395,-0.394,-0.307,-0.312
341.275,0.012,-0.316,-0.407,-0.401,-0.390,-0.318,-0.318
341.285,-0.343,-0.313,-0.402,-0.396,-0.388,-0.313,-0.314
341.295,0.209,-0.315,-0.382,-0.376,-0.385,-0.294,-0.295
341.306,0.396,-0.310,-0.390,-0.385,-0.387,-0.301,-0.303
341.316,0.644,-0.323,-0.390,-0.383,-0.385,-0.305,-0.303
341.326,0.541,-0.325,-0.380,-0.373,-0.379,-0.296,-0.293
341.336,0.302,-0.329,-0.377,-0.370,-0.375,-0.295,-0.292
341.346,0.813,-0.335,-0.366,-0.359,-0.372,-0.287,-0.281
341.356,0.653,-0.327,-0.346,-0.339,-0.360,-0.267,-0.264
341.366,0.039,-0.332,-0.355,-0.349,-0.355,-0.280,-0.275
341.376,0.227,-0.339,-0.364,-0.357,-0.357,-0.291,-0.285
341.387,0.009,-0.338,-0.366,-0.359,-0.357,-0.294,-0.289
341.397,0.647,-0.343,-0.349,-0.342,-0.352,-0.281,-0.274
341.407,-0.696,-0.348,-0.376,-0.369,-0.356,-0.311,-0.302
341.417,0.236,-0.341,-0.356,-0.348,-0.356,-0.289,-0.283
341.427,0.743,-0.351,-0.339,-0.332,-0.350,-0.278,-0.269
341.437,1.358,-0.349,-0.324,-0.316,-0.344,-0.264,-0.256
341.448,1.560,-0.351,-0.308,-0.300,-0.330,-0.251,-0.243
341.458,1.296,-0.344,-0.305,-0.298,-0.318,-0.249,-0.243
341.468,0.302,-0.334,-0.317,-0.311,-0.310,-0.261,-0.258
341.478,1.290,-0.337,-0.291,-0.284,-0.299,-0.238,-0.235
341.488,1.006,-0.339,-0.279,-0.273,-0.286,-0.230,-0.226
341.498,-0.242,-0.337,-0.293,-0.287,-0.282,-0.246,-0.243
341.509,-0.126,-0.333,-0.297,-0.291,-0.285,-0.252,-0.250
341.519,-1.719,-0.331,-0.319,-0.313,-0.288,-0.275,-0.274
341.529,-0.969,-0.333,-0.323,-0.317,-0.305,-0.280,-0.279
341.539,-0.658,-0.337,-0.323,-0.316,-0.312,-0.282,-0.280
341.549,-0.405,-0.327,-0.329,-0.323,-0.320,-0.287,-0.288
341.559,-0.970,-0.338,-0.336,-0.330,-0.325,-0.298,-0.295
341.569,-0.375,-0.330,-0.328,-0.323,-0.331,-0.290,-0.289
341.580,0.333,-0.330,-0.325,-0.319,-0.330,-0.287,-0.287
341.590,0.460,-0.330,-0.320,-0.314,-0.327,-0.284,-0.283
341.600,0.870,-0.330,-0.298,-0.292,-0.315,-0.263,-0.262
341.610,-0.361,-0.336,-0.309,-0.303,-0.313,-0.277,-0.275
341.620,-0.113,-0.333,-0.309,-0.303,-0.316,-0.278,-0.277
341.630,0.161,-0.337,-0.309,-0.303,-0.316,-0.281,-0.278
341.640,-1.136,-0.334,-0.340,-0.334,-0.322,-0.311,-0.310
341.650,-1.953,-0.341,-0.359,-0.353,-0.338,-0.332,-0.329
341.661,-0.069,-0.335,-0.333,-0.327,-0.348,-0.305,-0.304
341.671,1.541,-0.330,-0.307,-0.302,-0.343,-0.279,-0.279
341.681,1.377,-0.323,-0.302,-0.297,-0.332,-0.273,-0.276
341.691,1.148,-0.324,-0.303,-0.298,-0.323,-0.275,-0.276
341.701,2.177,-0.319,-0.268,-0.263,-0.303,-0.240,-0.243
341.711,-0.366,-0.320,-0.312,-0.307,-0.301,-0.286,-0.289
341.722,-0.298,-0.322,-0.312,-0.307,-0.303,-0.287,-0.289
341.732,0.732,-0.335,-0.299,-0.294,-0.303,-0.279,-0.277
341.742,1.129,-0.340,-0.297,-0.291,-0.297,-0.279,-0.275
341.752,0.631,-0.341,-0.298,-0.292,-0.290,-0.282,-0.278
341.762,0.537,-0.343,-0.299,-0.293,-0.286,-0.284,-0.280
341.772,-0.168,-0.350,-0.309,-0.302,-0.287,-0.297,-0.291
341.783,-0.579,-0.360,-0.321,-0.314,-0.292,-0.313,-0.304
341.793,-0.766,-0.359,-0.335,-0.328,-0.301,-0.327,-0.318
341.803,0.888,-0.348,-0.306,-0.300,-0.301,-0.296,-0.291
341.814,1.816,-0.352,-0.284,-0.278,-0.292,-0.276,-0.270
341.826,0.610,-0.343,-0.295,-0.289,-0.280,-0.286,-0.283
341.838,-0.530,-0.334,-0.326,-0.321,-0.284,-0.315,-0.315
341.848,0.214,-0.331,-0.315,-0.310,-0.288,-0.303,-0.304
341.859,-0.214,-0.328,-0.333,-0.328,-0.292,-0.320,-0.322
341.871,0.483,-0.321,-0.302,-0.298,-0.287,-0.288,-0.292
341.883,-0.861,-0.308,-0.339,-0.336,-0.294,-0.321,-0.329
341.894,0.496,-0.315,-0.316,-0.313,-0.300,-0.300,-0.306
341.906,-0.159,-0.319,-0.348,-0.344,-0.305,-0.331,-0.336
341.917,-0.010,-0.310,-0.351,-0.348,-0.309,-0.332,-0.339
341.929,0.340,-0.311,-0.347,-0.344,-0.307,-0.327,-0.333
341.941,-0.227,-0.305,-0.357,-0.354,-0.308,-0.335,-0.343
341.951,0.356,-0.353,-0.352,-0.345,-0.309,-0.341,-0.334
341.962,-0.466,-0.358,-0.357,-0.350,-0.306,-0.348,-0.339
