R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
275.816,-1.096,-0.372,-0.330,-0.292,-0.293,-0.310,-0.327,-0.323,-0.339
275.826,-1.849,-0.331,-0.334,-0.331,-0.332,-0.328,-0.366,-0.361,-0.357
275.837,0.168,-0.541,-0.345,-0.300,-0.299,-0.334,-0.338,-0.329,-0.363
275.848,-0.977,-0.372,-0.344,-0.316,-0.316,-0.337,-0.354,-0.346,-0.365
275.858,-0.889,-0.372,-0.335,-0.314,-0.314,-0.342,-0.350,-0.345,-0.370
275.869,-0.291,-0.333,-0.323,-0.314,-0.315,-0.348,-0.347,-0.346,-0.375
275.879,-0.939,-0.374,-0.337,-0.327,-0.327,-0.354,-0.363,-0.358,-0.380
275.890,-0.501,-0.330,-0.341,-0.330,-0.330,-0.361,-0.366,-0.360,-0.386
275.900,0.223,-0.331,-0.335,-0.316,-0.316,-0.359,-0.351,-0.346,-0.383
275.911,-0.944,-0.249,-0.335,-0.336,-0.336,-0.365,-0.370,-0.366,-0.388
275.922,-1.056,-0.038,-0.324,-0.338,-0.339,-0.372,-0.369,-0.368,-0.393
275.932,-0.115,-0.164,-0.307,-0.324,-0.326,-0.375,-0.350,-0.354,-0.395
275.943,-0.347,-0.205,-0.294,-0.346,-0.349,-0.379,-0.366,-0.375,-0.397
275.953,-0.602,-0.205,-0.298,-0.342,-0.345,-0.381,-0.363,-0.370,-0.396
275.964,-0.070,-0.289,-0.301,-0.339,-0.341,-0.384,-0.358,-0.364,-0.397
275.974,-0.992,-0.246,-0.304,-0.357,-0.358,-0.388,-0.375,-0.380,-0.399
275.985,-0.268,-0.122,-0.310,-0.358,-0.359,-0.394,-0.377,-0.380,-0.402
275.996,1.228,-0.331,-0.315,-0.327,-0.329,-0.388,-0.347,-0.348,-0.394
276.006,0.928,-0.582,-0.329,-0.317,-0.318,-0.377,-0.340,-0.337,-0.382
276.017,-0.201,-0.457,-0.316,-0.326,-0.327,-0.372,-0.346,-0.347,-0.376
276.027,0.640,-0.415,-0.312,-0.315,-0.316,-0.371,-0.333,-0.335,-0.373
276.038,0.022,-0.372,-0.308,-0.310,-0.311,-0.365,-0.327,-0.330,-0.367
276.048,0.213,-0.375,-0.313,-0.291,-0.293,-0.356,-0.310,-0.312,-0.357
276.059,-0.075,-0.454,-0.332,-0.292,-0.293,-0.355,-0.317,-0.313,-0.355
276.070,-0.030,-0.372,-0.324,-0.305,-0.306,-0.359,-0.328,-0.327,-0.359
276.080,-0.047,-0.331,-0.322,-0.293,-0.294,-0.355,-0.316,-0.315,-0.354
276.091,0.331,-0.164,-0.314,-0.292,-0.293,-0.354,-0.314,-0.315,-0.354
276.101,-0.448,-0.291,-0.311,-0.287,-0.288,-0.351,-0.309,-0.311,-0.349
276.112,-0.842,-0.456,-0.303,-0.307,-0.309,-0.358,-0.326,-0.331,-0.356
276.123,-1.052,-0.580,-0.320,-0.317,-0.319,-0.367,-0.341,-0.340,-0.364
276.133,0.435,-0.248,-0.328,-0.298,-0.298,-0.370,-0.324,-0.320,-0.367
276.144,0.467,-0.248,-0.332,-0.293,-0.293,-0.365,-0.321,-0.316,-0.361
276.154,0.824,-0.331,-0.332,-0.283,-0.283,-0.360,-0.311,-0.307,-0.356
276.165,0.450,-0.289,-0.333,-0.275,-0.275,-0.350,-0.305,-0.301,-0.346
276.175,-0.689,-0.499,-0.326,-0.302,-0.303,-0.352,-0.331,-0.329,-0.349
276.186,0.790,-0.248,-0.320,-0.282,-0.283,-0.352,-0.310,-0.309,-0.349
