R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,50,5,50,5,50,175,0,0,0.995
sysTime,aRawR,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
452.256,-0.039,-0.111,-0.105,-0.243,-0.209,-0.212,-0.122,-0.117,-0.121
452.267,-0.080,-0.101,-0.105,-0.246,-0.212,-0.226,-0.120,-0.119,-0.133
452.277,0.002,-0.086,-0.104,-0.242,-0.209,-0.239,-0.110,-0.114,-0.143
452.288,-0.247,-0.087,-0.102,-0.259,-0.226,-0.249,-0.125,-0.128,-0.149
452.298,-0.247,-0.089,-0.100,-0.233,-0.200,-0.251,-0.098,-0.100,-0.149
452.309,0.002,-0.082,-0.099,-0.233,-0.201,-0.247,-0.095,-0.099,-0.141
452.319,-0.122,-0.072,-0.096,-0.228,-0.197,-0.249,-0.085,-0.093,-0.140
452.330,0.002,-0.065,-0.093,-0.229,-0.198,-0.243,-0.082,-0.091,-0.131
452.340,-0.123,-0.080,-0.091,-0.219,-0.187,-0.228,-0.075,-0.079,-0.113
452.351,0.044,-0.086,-0.091,-0.214,-0.183,-0.223,-0.071,-0.074,-0.106
452.362,0.127,-0.081,-0.090,-0.200,-0.169,-0.218,-0.056,-0.059,-0.099
452.372,-0.163,-0.084,-0.090,-0.205,-0.174,-0.219,-0.061,-0.063,-0.099
452.383,-0.039,-0.085,-0.089,-0.190,-0.158,-0.215,-0.045,-0.048,-0.092
452.393,-0.122,-0.078,-0.088,-0.181,-0.150,-0.207,-0.035,-0.040,-0.083
452.404,0.044,-0.076,-0.088,-0.215,-0.185,-0.216,-0.068,-0.073,-0.091
452.414,-0.122,-0.082,-0.087,-0.247,-0.216,-0.233,-0.100,-0.103,-0.106
452.425,0.127,-0.079,-0.086,-0.277,-0.247,-0.253,-0.127,-0.131,-0.124
452.435,-0.039,-0.088,-0.086,-0.297,-0.266,-0.283,-0.146,-0.147,-0.151
452.446,-0.330,-0.098,-0.087,-0.274,-0.243,-0.295,-0.124,-0.122,-0.159
452.456,-0.080,-0.094,-0.088,-0.265,-0.234,-0.299,-0.112,-0.111,-0.161
452.467,-0.039,-0.088,-0.088,-0.261,-0.231,-0.294,-0.105,-0.106,-0.152
452.477,-0.205,-0.096,-0.089,-0.261,-0.230,-0.288,-0.105,-0.104,-0.144
452.488,0.169,-0.079,-0.088,-0.265,-0.235,-0.285,-0.103,-0.106,-0.138
452.499,-0.123,-0.086,-0.088,-0.259,-0.229,-0.276,-0.097,-0.099,-0.127
452.509,-0.080,-0.083,-0.087,-0.269,-0.239,-0.280,-0.105,-0.107,-0.129
452.520,-0.080,-0.093,-0.088,-0.273,-0.243,-0.292,-0.110,-0.109,-0.138
452.530,-0.205,-0.098,-0.089,-0.268,-0.237,-0.298,-0.105,-0.103,-0.142
452.541,-0.038,-0.094,-0.089,-0.299,-0.269,-0.312,-0.133,-0.132,-0.152
452.551,-0.164,-0.087,-0.089,-0.307,-0.278,-0.326,-0.137,-0.139,-0.164
452.562,-0.122,-0.087,-0.089,-0.298,-0.269,-0.329,-0.126,-0.127,-0.164
452.572,0.002,-0.088,-0.089,-0.298,-0.269,-0.331,-0.124,-0.125,-0.162
452.583,-0.080,-0.090,-0.089,-0.303,-0.274,-0.338,-0.128,-0.128,-0.166
452.594,-0.122,-0.078,-0.088,-0.306,-0.278,-0.333,-0.125,-0.129,-0.157
452.604,-0.164,-0.087,-0.087,-0.281,-0.253,-0.327,-0.101,-0.102,-0.149
452.615,-0.290,-0.092,-0.087,-0.282,-0.253,-0.324,-0.102,-0.101,-0.143
452.625,-0.164,-0.104,-0.089,-0.281,-0.251,-0.327,-0.102,-0.098,-0.144
452.636,0.044,-0.098,-0.090,-0.300,-0.271,-0.327,-0.119,-0.116,-0.142
452.646,0.127,-0.092,-0.091,-0.310,-0.281,-0.336,-0.125,-0.125,-0.149
452.657,-0.080,-0.089,-0.091,-0.300,-0.272,-0.339,-0.113,-0.113,-0.149
452.667,-0.081,-0.079,-0.090,-0.309,-0.282,-0.335,-0.118,-0.122,-0.143
452.678,-0.164,-0.079,-0.089,-0.310,-0.283,-0.335,-0.117,-0.120,-0.141
452.688,0.128,-0.077,-0.088,-0.293,-0.266,-0.328,-0.098,-0.102,-0.131
452.699,0.044,-0.084,-0.088,-0.302,-0.274,-0.324,-0.107,-0.108,-0.125
452.710,-0.122,-0.087,-0.087,-0.315,-0.288,-0.326,-0.119,-0.120,-0.125
452.720,-0.163,-0.083,-0.087,-0.311,-0.284,-0.327,-0.112,-0.114,-0.125
452.731,-0.039,-0.079,-0.086,-0.311,-0.284,-0.329,-0.110,-0.113,-0.125
452.741,-0.080,-0.081,-0.086,-0.286,-0.259,-0.329,-0.084,-0.086,-0.122
452.752,-0.080,-0.078,-0.084,-0.283,-0.256,-0.318,-0.079,-0.082,-0.110
452.762,-0.039,-0.086,-0.084,-0.284,-0.257,-0.315,-0.082,-0.082,-0.105
452.773,0.128,-0.078,-0.084,-0.278,-0.252,-0.308,-0.073,-0.076,-0.098
452.783,-0.247,-0.092,-0.084,-0.279,-0.253,-0.308,-0.078,-0.077,-0.097
452.794,-0.415,-0.097,-0.085,-0.272,-0.246,-0.306,-0.073,-0.069,-0.094
452.804,-0.122,-0.100,-0.086,-0.268,-0.241,-0.302,-0.069,-0.065,-0.090
452.815,0.128,-0.094,-0.088,-0.269,-0.242,-0.302,-0.068,-0.066,-0.089
452.826,0.002,-0.078,-0.087,-0.249,-0.224,-0.294,-0.045,-0.048,-0.081
452.836,0.044,-0.077,-0.086,-0.227,-0.201,-0.283,-0.023,-0.026,-0.069
452.847,0.002,-0.081,-0.086,-0.226,-0.201,-0.272,-0.024,-0.026,-0.058
452.857,-0.080,-0.074,-0.085,-0.214,-0.189,-0.263,-0.011,-0.016,-0.050
452.868,-0.205,-0.073,-0.084,-0.195,-0.171,-0.255,0.005,0.001,-0.042
452.878,-0.122,-0.082,-0.083,-0.212,-0.187,-0.251,-0.014,-0.015,-0.039
452.889,0.044,-0.082,-0.083,-0.203,-0.178,-0.246,-0.007,-0.009,-0.035
452.900,-0.122,-0.080,-0.083,-0.206,-0.182,-0.245,-0.011,-0.013,-0.034
452.910,-0.039,-0.076,-0.082,-0.189,-0.165,-0.243,0.005,0.002,-0.033
452.921,-0.164,-0.073,-0.082,-0.184,-0.161,-0.233,0.008,0.004,-0.024
452.931,0.170,-0.063,-0.080,-0.147,-0.124,-0.217,0.046,0.039,-0.009
452.941,0.127,-0.053,-0.078,-0.132,-0.110,-0.200,0.061,0.051,0.006
452.952,-0.039,-0.063,-0.076,-0.160,-0.137,-0.193,0.028,0.022,0.012
452.962,0.044,-0.064,-0.075,-0.139,-0.116,-0.186,0.047,0.041,0.016
452.973,-0.122,-0.062,-0.074,-0.126,-0.103,-0.178,0.058,0.051,0.022
452.984,-0.122,-0.064,-0.073,-0.126,-0.104,-0.171,0.054,0.048,0.027
452.994,0.044,-0.065,-0.072,-0.103,-0.081,-0.164,0.074,0.069,0.032
453.005,-0.080,-0.072,-0.072,-0.101,-0.079,-0.151,0.070,0.067,0.042
453.015,-0.039,-0.068,-0.072,-0.097,-0.075,-0.144,0.071,0.068,0.046
453.026,0.002,-0.060,-0.071,-0.129,-0.108,-0.153,0.039,0.033,0.036
453.037,-0.332,-0.069,-0.070,-0.138,-0.116,-0.167,0.027,0.023,0.019
453.048,-0.290,-0.077,-0.071,-0.125,-0.102,-0.171,0.036,0.036,0.015
453.059,-0.080,-0.073,-0.071,-0.111,-0.089,-0.173,0.050,0.048,0.011
453.070,0.002,-0.069,-0.071,-0.097,-0.075,-0.171,0.064,0.060,0.013
453.081,0.002,-0.068,-0.071,-0.083,-0.061,-0.162,0.076,0.073,0.021
453.092,-0.248,-0.080,-0.071,-0.112,-0.090,-0.158,0.043,0.043,0.024
453.103,-0.205,-0.090,-0.072,-0.080,-0.057,-0.149,0.070,0.073,0.031
453.114,0.085,-0.085,-0.073,-0.123,-0.100,-0.151,0.027,0.029,0.028
453.125,-0.164,-0.097,-0.075,-0.106,-0.083,-0.150,0.039,0.045,0.028
453.136,-0.080,-0.097,-0.076,-0.103,-0.080,-0.148,0.040,0.046,0.028
453.147,-0.164,-0.104,-0.078,-0.117,-0.094,-0.154,0.023,0.031,0.020
453.158,-0.121,-0.103,-0.080,-0.117,-0.094,-0.160,0.022,0.029,0.013
453.168,-0.247,-0.098,-0.082,-0.097,-0.074,-0.163,0.042,0.047,0.009
453.178,-0.039,-0.103,-0.083,-0.101,-0.078,-0.163,0.034,0.041,0.008
453.189,-0.247,-0.105,-0.085,-0.113,-0.090,-0.162,0.020,0.028,0.006
453.199,0.086,-0.102,-0.086,-0.115,-0.092,-0.161,0.018,0.025,0.007
453.209,-0.330,-0.113,-0.088,-0.093,-0.070,-0.154,0.036,0.045,0.012
453.220,0.085,-0.111,-0.090,-0.084,-0.061,-0.144,0.043,0.052,0.021
453.230,-0.122,-0.107,-0.091,-0.080,-0.058,-0.135,0.046,0.053,0.027
453.241,-0.208,-0.083,-0.091,-0.095,-0.074,-0.135,0.036,0.035,0.026
453.252,-0.331,-0.140,-0.093,-0.099,-0.074,-0.138,0.016,0.033,0.021
453.262,0.677,-0.099,-0.096,-0.115,-0.093,-0.143,0.009,0.012,0.014
453.273,-0.444,-0.119,-0.097,-0.117,-0.094,-0.149,0.001,0.010,0.007
453.284,3.893,-0.016,-0.095,-0.136,-0.119,-0.157,0.008,-0.014,-0.000
453.295,1.369,-0.060,-0.091,-0.156,-0.136,-0.175,-0.021,-0.030,-0.018
453.306,5.100,0.013,-0.086,-0.140,-0.125,-0.185,0.016,-0.017,-0.027
453.317,-3.914,-0.089,-0.082,-0.099,-0.079,-0.180,0.029,0.029,-0.021
453.328,0.125,-0.164,-0.086,-0.096,-0.071,-0.166,0.010,0.034,-0.009
453.339,-1.554,-0.256,-0.097,-0.131,-0.101,-0.165,-0.050,0.001,-0.011
453.350,1.894,-0.258,-0.110,-0.137,-0.107,-0.172,-0.060,-0.008,-0.022
453.361,-2.125,-0.259,-0.120,-0.138,-0.108,-0.173,-0.063,-0.012,-0.027
