R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,70,5,70,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
189.664,-0.386,0.053,0.022,0.020,0.027,-0.018,-0.024
189.674,-0.594,0.061,0.015,0.013,0.021,-0.020,-0.029
189.684,-1.039,0.050,-0.010,-0.012,0.009,-0.045,-0.051
189.694,-0.228,0.058,-0.007,-0.010,0.004,-0.038,-0.045
189.705,0.436,0.053,0.016,0.013,0.011,-0.013,-0.018
189.715,0.499,0.063,0.022,0.019,0.016,-0.002,-0.011
189.725,-0.507,0.061,0.006,0.004,0.019,-0.015,-0.023
189.735,0.318,0.047,0.012,0.010,0.017,-0.011,-0.014
189.745,-0.419,0.052,-0.010,-0.012,0.014,-0.030,-0.034
189.755,-0.953,0.053,-0.027,-0.029,0.006,-0.044,-0.048
189.765,-0.450,0.054,-0.013,-0.015,0.003,-0.027,-0.032
189.775,0.131,0.049,0.003,0.001,0.005,-0.009,-0.012
189.785,-0.339,0.049,0.004,0.002,0.007,-0.006,-0.009
189.795,-0.169,0.043,0.008,0.007,0.006,-0.002,-0.003
189.806,0.625,0.041,0.008,0.007,0.004,-0.001,-0.001
189.816,0.302,0.043,-0.005,-0.006,0.005,-0.013,-0.013
189.826,1.193,0.043,0.017,0.016,0.012,0.011,0.010
189.836,0.418,0.039,0.020,0.019,0.022,0.013,0.014
189.846,1.666,0.045,0.037,0.036,0.028,0.033,0.032
189.856,1.975,0.045,0.047,0.045,0.043,0.043,0.042
189.866,0.200,0.040,0.033,0.032,0.055,0.029,0.029
189.876,1.540,0.036,0.065,0.065,0.062,0.060,0.062
189.886,0.096,0.037,0.035,0.034,0.068,0.030,0.031
189.896,-0.171,0.037,0.048,0.047,0.071,0.044,0.045
189.907,-0.598,0.043,0.047,0.045,0.066,0.044,0.043
189.917,-0.250,0.050,0.043,0.042,0.060,0.043,0.040
189.927,0.040,0.049,0.041,0.039,0.058,0.040,0.038
189.937,-0.227,0.055,0.039,0.037,0.058,0.041,0.037
189.947,-0.028,0.036,0.036,0.036,0.055,0.034,0.036
189.957,-0.183,0.027,0.041,0.040,0.057,0.035,0.040
189.967,-0.138,0.021,0.025,0.025,0.050,0.019,0.025
189.977,-0.476,0.023,0.021,0.021,0.048,0.016,0.022
189.987,-1.932,0.033,-0.017,-0.018,0.034,-0.019,-0.016
189.997,-1.073,0.033,-0.033,-0.034,0.014,-0.032,-0.030
190.008,-0.992,0.034,-0.043,-0.043,0.001,-0.039,-0.038
190.018,0.426,0.038,-0.026,-0.027,-0.001,-0.020,-0.019
190.028,1.452,0.035,-0.003,-0.004,0.006,0.003,0.004
190.038,1.089,0.043,0.010,0.008,0.022,0.019,0.018
190.048,1.016,0.050,0.008,0.006,0.030,0.020,0.017
190.058,0.312,0.047,0.012,0.010,0.039,0.024,0.022
190.068,0.082,0.037,0.003,0.002,0.039,0.014,0.015
190.078,-1.358,0.034,-0.021,-0.021,0.031,-0.010,-0.008
190.088,0.255,0.038,0.004,0.003,0.028,0.016,0.017
190.099,0.847,0.024,0.013,0.013,0.034,0.022,0.027
190.109,1.306,0.025,0.016,0.016,0.039,0.026,0.030
190.119,1.129,0.022,0.025,0.025,0.052,0.034,0.039
190.129,0.090,0.027,0.033,0.033,0.064,0.043,0.046
190.139,-0.077,0.031,0.014,0.013,0.061,0.025,0.027
190.149,-0.708,0.050,0.011,0.010,0.058,0.028,0.024
190.159,-0.221,0.049,0.018,0.016,0.054,0.034,0.031
190.169,-1.181,0.039,-0.005,-0.006,0.046,0.009,0.009
190.179,-1.215,0.048,-0.009,-0.010,0.037,0.008,0.005
190.189,-0.020,0.053,0.003,0.001,0.032,0.023,0.019
190.200,0.106,0.050,0.015,0.013,0.036,0.035,0.031
190.210,0.291,0.053,0.011,0.009,0.035,0.032,0.028
190.220,1.010,0.057,0.027,0.025,0.041,0.050,0.044
190.230,0.224,0.055,0.030,0.028,0.048,0.052,0.048
190.240,0.816,0.050,0.043,0.042,0.054,0.064,0.061
190.250,0.735,0.046,0.046,0.045,0.059,0.065,0.064
190.260,0.770,0.038,0.059,0.059,0.070,0.076,0.077
190.270,0.418,0.032,0.062,0.061,0.077,0.075,0.078
190.280,-0.561,0.029,0.025,0.025,0.067,0.038,0.041
190.290,0.230,0.023,0.024,0.024,0.060,0.035,0.040
190.301,-0.153,0.025,0.020,0.020,0.062,0.031,0.036
190.311,-0.679,0.019,0.015,0.016,0.062,0.025,0.031
190.321,-0.360,0.014,0.007,0.008,0.053,0.016,0.024
190.331,-0.115,0.003,0.011,0.013,0.050,0.017,0.028
190.341,0.552,0.002,0.032,0.033,0.055,0.036,0.047
190.351,-1.319,0.002,-0.001,0.000,0.050,0.003,0.013
190.361,-0.222,0.008,0.002,0.003,0.040,0.008,0.017
190.371,-1.192,0.013,-0.016,-0.015,0.033,-0.008,-0.002
190.381,-1.030,0.011,-0.034,-0.033,0.019,-0.026,-0.018
190.391,-1.167,0.007,-0.038,-0.037,0.011,-0.030,-0.022
190.402,-0.509,0.009,-0.037,-0.035,0.003,-0.027,-0.019
190.412,-0.498,0.014,-0.046,-0.045,-0.003,-0.033,-0.028
190.422,-0.047,0.018,-0.033,-0.032,-0.001,-0.018,-0.014
190.432,1.583,0.010,-0.013,-0.011,0.002,0.000,0.006
190.442,1.236,0.004,-0.015,-0.014,0.012,-0.003,0.004
190.454,1.108,0.001,-0.016,-0.014,0.021,-0.004,0.004
190.465,0.268,-0.004,-0.027,-0.025,0.027,-0.016,-0.006
190.477,-1.476,-0.003,-0.065,-0.063,0.020,-0.052,-0.043
190.489,-1.785,0.009,-0.079,-0.078,0.003,-0.062,-0.057
190.500,-0.582,0.018,-0.074,-0.073,-0.013,-0.053,-0.050
190.510,-0.805,0.026,-0.084,-0.084,-0.022,-0.059,-0.059
190.522,0.195,0.028,-0.054,-0.055,-0.019,-0.028,-0.028
190.533,-0.553,0.020,-0.078,-0.077,-0.023,-0.051,-0.050
190.545,-0.959,0.019,-0.098,-0.097,-0.031,-0.069,-0.067
190.556,-0.640,0.023,-0.104,-0.104,-0.041,-0.073,-0.072
190.568,-0.056,0.013,-0.097,-0.096,-0.046,-0.066,-0.063
190.580,0.356,-0.015,-0.087,-0.083,-0.043,-0.061,-0.048
190.591,1.188,0.012,-0.056,-0.054,-0.034,-0.025,-0.020
190.603,1.580,-0.063,-0.045,-0.038,-0.019,-0.033,-0.003
190.613,-0.311,0.074,-0.066,-0.069,-0.012,-0.019,-0.032
190.624,-0.525,-0.048,-0.103,-0.097,-0.024,-0.085,-0.060
190.636,-1.351,-0.008,-0.130,-0.127,-0.037,-0.101,-0.087
190.648,-1.154,0.031,-0.123,-0.122,-0.045,-0.081,-0.081
190.659,-0.254,0.051,-0.126,-0.126,-0.058,-0.076,-0.081
190.671,0.397,-0.030,-0.105,-0.097,-0.052,-0.081,-0.049
190.682,0.318,0.008,-0.091,-0.086,-0.044,-0.057,-0.037
190.694,0.114,-0.094,-0.121,-0.109,-0.049,-0.109,-0.060
190.705,0.091,-0.110,-0.114,-0.101,-0.047,-0.104,-0.053
190.715,-0.535,-0.124,-0.129,-0.115,-0.048,-0.123,-0.069
190.727,-0.585,-0.123,-0.134,-0.119,-0.054,-0.129,-0.075
190.739,0.231,-0.088,-0.120,-0.106,-0.057,-0.111,-0.064
190.750,1.787,-0.119,-0.079,-0.063,-0.046,-0.083,-0.023
190.762,0.932,-0.132,-0.093,-0.075,-0.035,-0.100,-0.037
190.773,1.108,-0.105,-0.089,-0.074,-0.028,-0.089,-0.038
190.785,1.256,-0.216,-0.087,-0.062,-0.018,-0.118,-0.030
190.796,1.497,-0.141,-0.073,-0.054,-0.010,-0.089,-0.025
190.808,0.983,-0.059,-0.061,-0.048,0.000,-0.057,-0.022
190.818,0.549,-0.021,-0.058,-0.048,0.007,-0.045,-0.024
190.830,1.867,0.083,0.000,0.002,0.023,0.037,0.026
190.841,0.664,0.053,-0.002,0.002,0.039,0.027,0.025
190.853,0.134,0.003,-0.018,-0.010,0.039,-0.001,0.010
190.864,1.296,0.064,0.011,0.015,0.048,0.043,0.036
190.876,0.185,0.002,0.012,0.020,0.061,0.028,0.040
190.888,0.255,0.053,0.026,0.030,0.068,0.054,0.051
190.899,0.270,-0.015,0.019,0.029,0.072,0.028,0.050
190.911,-0.538,-0.103,0.001,0.018,0.074,-0.012,0.039
190.922,-0.174,-0.187,-0.001,0.023,0.068,-0.039,0.039
190.932,0.478,-0.533,0.002,0.053,0.070,-0.122,0.062
190.944,1.222,-0.509,0.031,0.081,0.078,-0.098,0.076
190.956,0.926,-0.602,0.037,0.094,0.090,-0.124,0.074
190.967,1.117,-0.676,0.071,0.133,0.104,-0.121,0.095
190.979,0.747,-0.634,0.079,0.139,0.112,-0.116,0.082
190.990,0.862,-0.548,0.098,0.152,0.120,-0.086,0.082
191.002,0.508,-0.571,0.089,0.144,0.123,-0.108,0.063
191.013,-0.264,-0.573,0.076,0.133,0.124,-0.134,0.041
191.025,-0.039,-0.485,0.083,0.135,0.114,-0.121,0.028
191.037,0.333,-0.497,0.073,0.128,0.105,-0.146,0.006
191.047,-0.444,-0.362,0.080,0.126,0.102,-0.118,-0.000
191.058,0.148,-0.336,0.086,0.135,0.095,-0.123,0.006
191.070,0.690,-0.324,0.079,0.128,0.091,-0.135,-0.009
191.082,1.142,-0.535,0.091,0.155,0.097,-0.169,0.010
191.093,0.147,-0.313,0.076,0.122,0.095,-0.133,-0.028
191.105,1.363,-0.449,0.093,0.155,0.100,-0.170,-0.004
191.116,-0.168,0.034,0.131,0.171,0.119,-0.065,0.009
191.128,1.179,-0.465,0.097,0.213,0.122,-0.324,0.047
191.140,-1.484,-0.564,-0.020,0.169,0.120,-0.657,-0.005
191.150,-0.216,-0.406,-0.059,0.186,0.109,-0.848,0.007
191.160,2.063,-0.633,-0.114,0.245,0.113,-1.225,0.053
191.171,2.291,-0.115,-0.060,0.255,0.131,-1.014,0.057
191.183,1.648,-0.545,-0.074,0.244,0.144,-1.014,0.040
191.195,-0.284,-0.276,-0.060,0.208,0.142,-0.840,-0.001
191.206,-7.240,0.439,-0.175,0.061,0.119,-0.838,-0.143
191.218,-8.434,-0.025,-0.343,-0.004,0.041,-1.270,-0.202
191.228,-8.011,-0.320,-0.461,-0.020,-0.033,-1.657,-0.220
191.239,-5.065,-0.207,-0.467,-0.035,-0.115,-1.595,-0.231
191.249,-0.855,-0.173,-0.401,0.013,-0.151,-1.451,-0.181
191.260,1.557,-0.006,-0.285,0.101,-0.134,-1.225,-0.089
191.270,5.696,-0.863,-0.173,0.251,-0.093,-1.203,0.049
191.280,11.129,-0.108,0.086,0.454,-0.004,-0.765,0.244
191.290,13.053,-0.419,0.213,0.606,0.110,-0.699,0.387
191.300,14.176,-0.011,0.382,0.758,0.245,-0.472,0.527
191.310,16.122,-0.007,0.560,0.943,0.389,-0.300,0.703
191.320,11.744,0.225,0.567,0.940,0.515,-0.252,0.693
191.331,11.055,-0.162,0.663,1.075,0.644,-0.255,0.813
191.341,6.762,-0.241,0.648,1.068,0.721,-0.288,0.786
191.351,6.098,0.292,0.718,1.107,0.781,-0.122,0.817
191.362,5.615,-0.299,0.709,1.169,0.839,-0.322,0.864
191.372,2.707,0.144,0.685,1.121,0.870,-0.268,0.803
191.382,1.049,-0.143,0.628,1.102,0.882,-0.417,0.773
191.393,-2.684,-0.211,0.467,0.983,0.858,-0.680,0.641
191.403,-6.948,-0.009,0.325,0.842,0.802,-0.808,0.493
191.415,-8.683,-0.073,0.178,0.732,0.712,-1.034,0.375
191.427,-11.308,-0.492,-0.068,0.577,0.588,-1.507,0.209
191.437,-12.953,-0.570,-0.292,0.418,0.458,-1.883,0.039
191.448,-14.564,0.306,-0.472,0.207,0.286,-1.928,-0.167
191.459,-13.777,0.512,-0.604,0.068,0.138,-1.985,-0.288
191.469,-13.796,0.453,-0.738,-0.061,0.003,-2.081,-0.401
191.479,-13.872,0.926,-0.829,-0.215,-0.133,-1.940,-0.527
191.490,-15.214,0.957,-1.007,-0.408,-0.297,-2.004,-0.684
191.500,-16.271,0.948,-1.179,-0.568,-0.447,-2.146,-0.809
191.512,-13.382,0.676,-1.323,-0.650,-0.606,-2.391,-0.851
191.523,-15.311,0.454,-1.577,-0.860,-0.767,-2.689,-1.021
191.534,-16.550,0.877,-1.723,-1.037,-0.915,-2.682,-1.164
191.544,-17.334,0.764,-1.902,-1.216,-1.073,-2.788,-1.301
191.554,-16.007,0.676,-2.037,-1.346,-1.232,-2.871,-1.391
191.565,-14.189,0.534,-2.181,-1.455,-1.387,-3.025,-1.453
191.575,-11.178,0.854,-2.227,-1.501,-1.496,-3.004,-1.462
191.587,-10.291,1.854,-2.240,-1.592,-1.600,-2.710,-1.491
191.597,-6.320,1.800,-2.238,-1.582,-1.666,-2.650,-1.419
191.607,-3.764,1.739,-2.240,-1.566,-1.698,-2.620,-1.348
191.617,-2.141,2.487,-2.207,-1.555,-1.704,-2.442,-1.273
191.627,0.075,2.191,-2.197,-1.486,-1.688,-2.505,-1.141
191.637,1.933,2.052,-2.145,-1.419,-1.657,-2.410,-1.019
191.648,4.115,2.411,-2.022,-1.328,-1.602,-2.121,-0.873
191.658,5.637,1.781,-1.941,-1.222,-1.529,-2.038,-0.717
191.669,8.005,1.283,-1.814,-1.100,-1.434,-1.826,-0.553
191.679,10.847,1.755,-1.538,-0.925,-1.315,-1.229,-0.347
191.690,12.276,1.660,-1.377,-0.773,-1.178,-0.998,-0.165
191.700,13.845,1.081,-1.251,-0.601,-1.030,-0.962,0.027
191.711,14.150,1.312,-1.071,-0.467,-0.876,-0.627,0.176
191.721,15.559,1.533,-0.880,-0.279,-0.707,-0.403,0.381
191.731,15.615,0.988,-0.797,-0.095,-0.534,-0.562,0.571
191.742,15.418,1.171,-0.695,0.039,-0.373,-0.524,0.707
191.752,15.241,0.857,-0.579,0.211,-0.203,-0.537,0.878
191.763,15.447,0.334,-0.467,0.405,-0.018,-0.623,1.055
191.775,16.272,0.346,-0.264,0.625,0.177,-0.450,1.253
191.785,17.145,1.128,-0.011,0.818,0.356,-0.028,1.430
191.795,16.356,0.826,0.149,1.001,0.534,0.087,1.600
191.807,13.993,0.196,0.225,1.113,0.705,0.072,1.684
191.817,11.998,0.740,0.367,1.202,0.839,0.352,1.745
191.827,10.003,0.145,0.428,1.287,0.958,0.345,1.802
191.837,8.851,-0.323,0.497,1.383,1.055,0.326,1.856
191.847,7.571,0.605,0.635,1.456,1.145,0.628,1.893
191.857,6.665,0.736,0.732,1.541,1.225,0.746,1.952
191.867,5.333,0.578,0.760,1.583,1.285,0.733,1.965
191.877,2.954,0.782,0.752,1.560,1.319,0.756,1.916
191.887,1.073,1.099,0.763,1.556,1.342,0.801,1.893
191.897,-1.306,0.829,0.715,1.536,1.347,0.678,1.853
191.909,-4.485,0.125,0.552,1.442,1.304,0.327,1.724
191.919,-3.904,-0.571,0.421,1.388,1.246,-0.015,1.631
191.929,-5.505,-0.163,0.278,1.251,1.174,-0.180,1.460
191.939,-10.783,-0.127,0.016,1.037,1.075,-0.561,1.219
191.949,-11.498,-1.043,-0.194,0.939,0.956,-1.067,1.086
191.959,-13.731,-0.599,-0.329,0.809,0.833,-1.210,0.922
191.971,-15.675,0.292,-0.518,0.582,0.651,-1.277,0.679
191.983,-17.469,0.546,-0.741,0.357,0.456,-1.454,0.453
191.994,-15.952,1.261,-0.853,0.202,0.273,-1.405,0.312
192.004,-16.502,2.094,-0.939,0.043,0.129,-1.251,0.180
192.014,-15.385,2.034,-1.072,-0.102,-0.020,-1.295,0.068
192.026,-15.307,1.624,-1.255,-0.264,-0.180,-1.470,-0.057
192.036,-15.309,1.465,-1.402,-0.401,-0.317,-1.592,-0.168
192.047,-13.258,1.495,-1.550,-0.547,-0.484,-1.689,-0.280
192.058,-14.664,1.495,-1.752,-0.736,-0.626,-1.871,-0.438
192.069,-12.805,1.275,-1.912,-0.841,-0.774,-2.108,-0.513
192.079,-13.560,0.619,-2.144,-1.007,-0.910,-2.462,-0.655
192.091,-14.967,0.168,-2.360,-1.178,-1.067,-2.734,-0.809
192.101,-11.862,-0.556,-2.430,-1.177,-1.179,-2.948,-0.802
192.111,-10.732,-0.073,-2.461,-1.217,-1.273,-2.910,-0.836
192.121,-9.061,0.432,-2.494,-1.270,-1.354,-2.842,-0.871
