R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,50,5,50,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
99.008,0.745,0.060,0.000,0.001,0.005,0.083,0.091
99.018,0.968,0.080,0.014,0.014,0.013,0.101,0.102
99.028,1.098,0.090,0.022,0.022,0.020,0.111,0.109
99.038,0.614,0.089,0.025,0.025,0.030,0.112,0.111
99.048,-0.516,0.087,0.020,0.019,0.033,0.104,0.104
99.058,-1.346,0.085,0.007,0.006,0.026,0.090,0.090
99.068,-1.220,0.096,-0.002,-0.003,0.015,0.082,0.079
99.078,0.985,0.087,0.027,0.027,0.017,0.109,0.108
99.089,0.623,0.082,0.021,0.021,0.022,0.100,0.101
99.099,0.793,0.096,0.033,0.032,0.031,0.115,0.111
99.109,1.606,0.093,0.050,0.049,0.043,0.129,0.127
99.119,0.651,0.093,0.068,0.067,0.060,0.145,0.142
99.129,1.136,0.097,0.076,0.075,0.068,0.152,0.149
99.139,1.134,0.101,0.083,0.082,0.078,0.158,0.153
99.149,-0.175,0.101,0.072,0.071,0.082,0.144,0.140
99.159,-0.303,0.108,0.065,0.063,0.079,0.137,0.131
99.169,-0.189,0.102,0.059,0.057,0.076,0.128,0.124
99.179,0.165,0.101,0.067,0.066,0.081,0.135,0.131
99.190,-0.048,0.098,0.071,0.070,0.086,0.136,0.133
99.200,-0.200,0.087,0.083,0.083,0.088,0.143,0.144
99.210,-0.283,0.080,0.080,0.081,0.086,0.136,0.139
99.220,-0.286,0.087,0.083,0.083,0.083,0.139,0.139
99.230,-0.914,0.091,0.076,0.076,0.079,0.131,0.130
99.240,0.390,0.094,0.089,0.088,0.077,0.142,0.141
99.250,0.068,0.097,0.090,0.088,0.078,0.141,0.139
99.260,0.497,0.101,0.115,0.114,0.088,0.166,0.162
99.270,0.012,0.104,0.111,0.110,0.090,0.160,0.156
99.280,-0.114,0.106,0.111,0.109,0.090,0.159,0.154
99.291,0.383,0.107,0.108,0.106,0.088,0.154,0.149
99.301,-0.364,0.105,0.102,0.100,0.090,0.145,0.141
99.311,-0.856,0.113,0.099,0.097,0.087,0.143,0.137
99.321,-1.183,0.126,0.089,0.086,0.076,0.135,0.125
99.331,-0.629,0.112,0.083,0.080,0.066,0.124,0.119
99.341,0.464,0.102,0.097,0.096,0.065,0.136,0.133
99.351,-1.149,0.109,0.076,0.074,0.063,0.115,0.111
99.361,-0.339,0.098,0.084,0.082,0.057,0.119,0.118
99.372,0.721,0.100,0.103,0.101,0.060,0.137,0.136
99.382,0.090,0.111,0.097,0.095,0.064,0.133,0.128
99.392,0.714,0.102,0.115,0.113,0.071,0.147,0.145
99.402,1.680,0.112,0.137,0.135,0.081,0.170,0.165
99.412,0.483,0.102,0.119,0.117,0.088,0.147,0.145
99.422,-0.316,0.099,0.095,0.093,0.086,0.121,0.121
99.432,-0.457,0.101,0.093,0.092,0.082,0.119,0.118
99.442,-0.241,0.099,0.082,0.081,0.075,0.107,0.107
99.452,-0.019,0.089,0.082,0.081,0.073,0.104,0.107
99.462,1.376,0.079,0.105,0.105,0.079,0.123,0.129
99.473,0.606,0.076,0.094,0.095,0.088,0.110,0.117
99.483,0.313,0.081,0.092,0.092,0.093,0.109,0.113
99.493,1.404,0.089,0.116,0.115,0.103,0.133,0.135
99.503,0.326,0.087,0.106,0.106,0.110,0.122,0.124
99.513,0.158,0.095,0.119,0.118,0.115,0.134,0.134
99.523,0.929,0.096,0.150,0.149,0.126,0.164,0.163
99.533,-0.235,0.088,0.137,0.136,0.128,0.146,0.149
99.543,0.062,0.093,0.137,0.136,0.127,0.147,0.147
99.553,0.361,0.097,0.144,0.142,0.128,0.152,0.151
99.563,-0.102,0.112,0.134,0.131,0.128,0.144,0.139
99.574,-0.115,0.112,0.128,0.126,0.125,0.138,0.133
99.584,0.314,0.122,0.128,0.125,0.128,0.140,0.132
99.594,0.800,0.119,0.132,0.129,0.131,0.142,0.135
99.604,0.692,0.113,0.140,0.138,0.140,0.147,0.142
99.614,-0.699,0.103,0.116,0.114,0.138,0.119,0.118
99.624,-1.028,0.102,0.107,0.105,0.131,0.110,0.109
99.634,-0.646,0.107,0.114,0.112,0.122,0.117,0.114
99.644,-0.598,0.112,0.110,0.107,0.119,0.114,0.110
99.655,-0.627,0.111,0.103,0.101,0.114,0.107,0.103
99.665,-1.923,0.119,0.048,0.045,0.094,0.055,0.049
99.675,-1.404,0.122,0.043,0.040,0.078,0.053,0.046
99.685,-0.503,0.132,0.050,0.047,0.069,0.064,0.054
99.695,-0.851,0.136,0.038,0.034,0.060,0.055,0.044
99.705,-0.399,0.135,0.041,0.037,0.055,0.059,0.049
99.715,0.131,0.128,0.048,0.045,0.055,0.066,0.058
99.725,-0.819,0.131,0.031,0.027,0.052,0.051,0.043
99.735,0.256,0.111,0.041,0.039,0.047,0.058,0.056
99.746,-0.311,0.113,0.039,0.037,0.050,0.057,0.055
99.756,0.565,0.117,0.046,0.043,0.051,0.066,0.063
99.766,-0.145,0.114,0.042,0.040,0.055,0.063,0.060
99.776,0.171,0.119,0.049,0.046,0.054,0.071,0.067
99.786,-0.181,0.121,0.050,0.047,0.055,0.073,0.069
99.798,0.782,0.121,0.084,0.081,0.063,0.107,0.103
99.810,0.433,0.127,0.081,0.078,0.071,0.106,0.100
99.821,-0.277,0.117,0.066,0.063,0.069,0.088,0.085
99.833,-0.115,0.122,0.069,0.066,0.068,0.093,0.089
99.844,-1.195,0.112,0.045,0.042,0.061,0.067,0.066
99.856,-0.511,0.104,0.046,0.044,0.050,0.067,0.068
99.867,0.806,0.099,0.070,0.069,0.052,0.089,0.093
99.879,0.296,0.095,0.062,0.061,0.056,0.080,0.085
99.890,0.240,0.097,0.061,0.060,0.060,0.080,0.084
99.900,0.187,0.098,0.054,0.053,0.059,0.074,0.077
99.912,0.413,0.160,0.068,0.063,0.067,0.102,0.086
99.924,-0.040,0.153,0.054,0.049,0.069,0.086,0.073
99.935,-0.724,0.203,0.041,0.033,0.066,0.087,0.059
99.947,-0.781,0.197,0.025,0.017,0.055,0.068,0.045
99.958,-0.657,0.135,0.013,0.010,0.046,0.045,0.041
99.970,-1.360,0.255,-0.001,-0.011,0.037,0.057,0.022
99.981,-0.554,0.233,0.011,0.001,0.029,0.071,0.040
99.993,-1.645,0.261,-0.019,-0.031,0.018,0.051,0.011
100.004,-1.438,0.173,-0.056,-0.062,-0.001,-0.003,-0.013
100.015,-1.547,0.044,-0.086,-0.081,-0.017,-0.062,-0.030
100.026,0.681,0.060,-0.038,-0.035,-0.016,-0.010,0.014
100.038,1.144,0.084,-0.017,-0.015,-0.003,0.015,0.033
100.049,1.358,0.044,0.011,0.015,0.013,0.034,0.064
100.061,0.667,0.017,0.000,0.007,0.024,0.017,0.054
100.072,-0.909,-0.114,-0.034,-0.017,0.024,-0.050,0.028
100.084,-1.668,-0.115,-0.054,-0.037,0.012,-0.074,0.005
100.095,-1.161,-0.208,-0.060,-0.034,-0.000,-0.106,0.003
100.107,-0.506,-0.288,-0.051,-0.017,-0.006,-0.127,0.015
100.119,0.218,-0.450,-0.046,0.000,-0.007,-0.169,0.024
100.129,-2.014,-0.512,-0.098,-0.047,-0.016,-0.241,-0.031
100.140,-1.166,-0.422,-0.087,-0.042,-0.031,-0.211,-0.034
100.152,-1.724,-0.459,-0.117,-0.069,-0.050,-0.254,-0.069
100.163,-1.795,-0.519,-0.135,-0.083,-0.068,-0.287,-0.092
100.175,-2.190,-0.468,-0.167,-0.119,-0.095,-0.312,-0.137
100.187,-1.347,-0.405,-0.165,-0.122,-0.116,-0.297,-0.147
100.198,0.517,-0.465,-0.145,-0.098,-0.125,-0.295,-0.129
100.210,0.038,-0.480,-0.162,-0.112,-0.127,-0.319,-0.151
100.221,-0.144,-0.457,-0.166,-0.117,-0.131,-0.324,-0.161
100.231,0.299,-0.457,-0.154,-0.104,-0.130,-0.318,-0.151
100.243,-0.877,-0.374,-0.176,-0.131,-0.133,-0.321,-0.180
100.254,-1.148,-0.350,-0.192,-0.149,-0.141,-0.329,-0.197
100.266,-1.639,-0.394,-0.210,-0.163,-0.154,-0.358,-0.212
100.278,-0.846,-0.332,-0.197,-0.152,-0.164,-0.340,-0.206
100.289,-0.005,-0.341,-0.196,-0.148,-0.176,-0.347,-0.208
100.301,-1.581,-0.344,-0.233,-0.184,-0.186,-0.388,-0.250
100.312,-1.431,-0.238,-0.256,-0.214,-0.210,-0.390,-0.282
100.324,-0.191,-0.104,-0.243,-0.210,-0.221,-0.341,-0.276
100.334,1.015,0.081,-0.192,-0.174,-0.211,-0.242,-0.234
100.346,1.227,0.068,-0.185,-0.165,-0.200,-0.230,-0.217
100.357,0.851,0.088,-0.176,-0.157,-0.185,-0.211,-0.201
100.369,0.345,0.227,-0.170,-0.163,-0.176,-0.167,-0.199
100.380,0.618,0.349,-0.169,-0.170,-0.171,-0.129,-0.197
100.392,1.596,0.348,-0.159,-0.159,-0.162,-0.114,-0.174
100.404,1.467,0.244,-0.153,-0.143,-0.141,-0.125,-0.145
100.415,0.517,0.156,-0.157,-0.139,-0.123,-0.144,-0.127
100.427,0.317,0.239,-0.121,-0.108,-0.105,-0.085,-0.091
