R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,0,35,35,0,35,50,15,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,15,15
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
123.645,0.000,41.500,3.000,11.515,128.446,69.829
123.650,0.000,41.500,3.000,11.515,128.446,69.829
123.655,0.000,41.500,3.000,11.515,128.446,69.829
123.660,0.000,41.500,3.000,11.515,128.446,69.829
123.665,0.000,41.500,3.000,11.515,128.446,69.829
123.671,0.000,41.500,3.000,11.515,128.446,69.829
123.676,0.000,41.500,3.000,11.515,128.446,69.829
123.681,0.000,41.500,3.000,11.515,128.446,69.829
123.686,0.000,41.500,3.000,11.515,128.446,69.829
123.691,0.000,41.500,3.000,11.515,128.446,69.829
123.696,0.000,41.500,3.000,11.515,128.446,69.829
123.701,0.000,41.500,3.000,11.515,128.446,69.829
123.707,0.000,41.500,3.000,11.515,128.446,69.829
123.712,0.000,41.500,3.000,11.515,128.446,69.829
123.717,0.000,41.500,3.000,11.515,128.446,69.829
123.722,0.000,41.500,3.000,11.515,128.446,69.829
123.727,0.000,41.500,3.000,11.515,128.446,69.829
123.733,0.000,41.500,3.000,11.515,128.446,69.829
123.738,0.000,41.500,3.000,11.515,128.446,69.829
123.743,0.000,41.500,3.000,11.515,128.446,69.829
123.748,0.000,41.500,3.000,11.515,128.446,69.829
123.753,0.000,41.500,3.000,11.515,128.446,69.829
123.758,0.000,41.500,3.000,11.515,128.446,69.829
123.763,0.000,41.500,3.000,11.515,128.446,69.829
123.769,0.000,41.500,3.000,11.515,128.446,69.829
123.774,0.000,41.500,3.000,11.515,128.446,69.829
123.779,0.000,41.500,3.000,11.515,128.446,69.829
123.784,0.000,41.500,3.000,11.515,128.446,69.829
123.789,0.000,41.500,3.000,11.515,128.446,69.829
123.795,0.000,41.500,3.000,11.515,128.446,69.829
123.800,0.000,41.500,3.000,11.515,128.446,69.829
123.805,0.000,41.500,3.000,11.515,128.446,69.829
123.810,0.000,41.500,3.000,11.515,128.446,69.829
123.815,0.000,41.500,3.000,11.515,128.446,69.829
123.820,0.000,41.500,3.000,11.515,128.446,69.829
123.826,0.000,41.500,3.000,11.515,128.446,69.829
123.831,0.000,41.500,3.000,11.515,128.446,69.829
123.836,0.000,41.500,3.000,11.515,128.446,69.829
123.841,0.000,41.500,3.000,11.515,128.446,69.829
123.846,0.000,41.500,3.000,11.515,128.446,69.829
123.851,0.000,41.500,3.000,11.515,128.446,69.829
123.857,0.000,41.500,3.000,11.515,128.446,69.829
123.862,0.000,41.500,3.000,11.515,128.446,69.829
123.867,0.000,41.500,3.000,11.515,128.446,69.829
123.872,0.000,41.500,3.000,11.515,128.446,69.829
123.877,0.000,41.500,3.000,11.515,128.446,69.829
123.882,0.000,41.500,3.000,11.515,128.446,69.829
123.888,0.000,41.500,3.000,11.515,128.446,69.829
123.893,0.000,41.500,3.000,11.515,128.446,69.829
123.898,0.000,41.500,3.000,11.515,128.446,69.829
123.903,0.000,41.500,3.000,11.515,128.446,69.829
123.908,0.000,41.500,3.000,11.515,128.446,69.829
123.913,0.000,41.500,3.000,11.515,128.446,69.829
123.919,0.000,41.500,3.000,11.515,128.446,69.829
123.924,0.000,41.500,3.000,11.515,128.446,69.829
123.929,0.000,41.500,3.000,11.515,128.446,69.829
123.934,0.000,41.500,3.000,11.515,128.446,69.829
123.939,0.000,41.500,3.000,11.515,128.446,69.829
123.944,0.000,41.500,3.000,11.515,128.446,69.829
123.950,0.000,41.500,3.000,11.515,128.446,69.829
123.955,0.000,41.500,3.000,11.515,128.446,69.829
123.960,0.000,41.500,3.000,11.515,128.446,69.829
123.965,0.000,41.500,3.000,11.515,128.446,69.829
123.970,0.000,41.500,3.000,11.515,128.446,69.829
123.975,0.000,41.500,3.000,11.515,128.446,69.829
123.980,0.000,41.500,3.000,11.515,128.446,69.829
123.986,0.000,41.500,3.000,11.515,128.446,69.829
123.991,0.000,41.500,3.000,11.515,128.446,69.829
123.996,0.000,41.500,3.000,11.515,128.446,69.829
124.001,0.000,41.500,3.000,11.515,128.446,69.829
124.006,0.000,41.500,3.000,11.515,128.446,69.829
124.012,0.000,41.500,3.000,11.515,128.446,69.829
124.017,0.000,41.500,3.000,11.515,128.446,69.829
124.022,0.000,41.500,3.000,11.515,128.446,69.829
124.027,0.000,41.500,3.000,11.515,128.446,69.829
124.032,0.000,41.500,3.000,11.515,128.446,69.829
124.038,0.000,41.500,3.000,11.515,128.446,69.829
124.043,0.000,41.500,3.000,11.515,128.446,69.829
124.048,0.000,41.500,3.000,11.515,128.446,69.829
124.053,0.000,41.500,3.000,11.515,128.446,69.829
124.058,0.000,41.500,3.000,11.515,128.446,69.829
124.063,0.000,41.500,3.000,11.515,128.446,69.829
124.068,0.000,41.500,3.000,11.515,128.446,69.829
124.074,0.000,41.500,3.000,11.515,128.446,69.829
124.079,0.000,41.500,3.000,11.515,128.446,69.829
124.084,0.000,41.500,3.000,11.515,128.446,69.829
124.089,0.000,41.500,3.000,11.515,128.446,69.829
124.094,0.000,41.500,3.000,11.515,128.446,69.829
124.100,0.000,41.500,3.000,11.515,128.446,69.829
124.105,0.000,41.500,3.000,11.515,128.446,69.829
124.110,0.000,41.500,3.000,11.515,128.446,69.829
124.115,0.000,41.500,3.000,11.515,128.446,69.829
124.120,0.000,41.500,3.000,11.515,128.446,69.829
124.125,0.000,41.500,3.000,11.515,128.446,69.829
124.130,0.000,41.500,3.000,11.515,128.446,69.829
124.136,0.000,41.500,3.000,11.515,128.446,69.829
124.141,0.000,41.500,3.000,11.515,128.446,69.829
124.146,0.000,41.500,3.000,11.515,128.446,69.829
124.151,0.000,41.500,3.000,11.515,128.446,69.829
124.156,0.000,41.500,3.000,11.515,128.446,69.829
124.162,0.000,41.500,3.000,11.515,128.446,69.829
124.167,0.000,41.500,3.000,11.515,128.446,69.829
124.172,0.000,41.500,3.000,11.515,128.446,69.829
124.177,0.000,41.500,3.000,11.515,128.446,69.829
124.182,0.000,41.500,3.000,11.515,128.446,69.829
