R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,0,25,45,0,25,50,15,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,15,15
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
309.403,6.272,-43.641,0.000,3.065,-23.125,14.321
309.408,6.272,-43.641,0.000,3.065,-23.125,14.321
309.413,6.272,-43.641,0.000,3.065,-23.125,14.321
309.419,6.272,-43.641,0.000,3.065,-23.125,14.321
309.424,6.272,-43.641,0.000,3.065,-23.125,14.321
309.429,6.272,-43.641,0.000,3.065,-23.125,14.321
309.434,6.272,-43.641,0.000,3.065,-23.125,14.321
309.439,6.272,-43.641,0.000,3.065,-23.125,14.321
309.444,6.272,-43.641,0.000,3.065,-23.125,14.321
309.449,6.272,-43.641,0.000,3.065,-23.125,14.321
309.455,6.272,-43.641,0.000,3.065,-23.125,14.321
309.460,6.272,-43.641,0.000,3.065,-23.125,14.321
309.465,6.272,-43.641,0.000,3.065,-23.125,14.321
309.470,6.272,-43.641,0.000,3.065,-23.125,14.321
309.475,6.272,-43.641,0.000,3.065,-23.125,14.321
309.480,6.272,-43.641,0.000,3.065,-23.125,14.321
309.486,6.272,-43.641,0.000,3.065,-23.125,14.321
309.491,6.272,-43.641,0.000,3.065,-23.125,14.321
309.496,6.272,-43.641,0.000,3.065,-23.125,14.321
309.501,6.272,-43.641,0.000,3.065,-23.125,14.321
309.506,6.272,-43.641,0.000,3.065,-23.125,14.321
309.511,6.272,-43.641,0.000,3.065,-23.125,14.321
309.516,6.272,-43.641,0.000,3.065,-23.125,14.321
309.522,6.272,-43.641,0.000,3.065,-23.125,14.321
309.527,6.272,-43.641,0.000,3.065,-23.125,14.321
309.532,6.272,-43.641,0.000,3.065,-23.125,14.321
309.537,6.272,-43.641,0.000,3.065,-23.125,14.321
309.542,6.272,-43.641,0.000,3.065,-23.125,14.321
309.547,6.272,-43.641,0.000,3.065,-23.125,14.321
309.553,6.272,-43.641,0.000,3.065,-23.125,14.321
309.558,6.272,-43.641,0.000,3.065,-23.125,14.321
309.563,6.272,-43.641,0.000,3.065,-23.125,14.321
309.568,6.272,-43.641,0.000,3.065,-23.125,14.321
309.573,6.272,-43.641,0.000,3.065,-23.125,14.321
309.578,6.272,-43.641,0.000,3.065,-23.125,14.321
309.584,6.272,-43.641,0.000,3.065,-23.125,14.321
309.589,6.272,-43.641,0.000,3.065,-23.125,14.321
309.594,6.272,-43.641,0.000,3.065,-23.125,14.321
309.599,6.272,-43.641,0.000,3.065,-23.125,14.321
309.604,6.272,-43.641,0.000,3.065,-23.125,14.321
309.609,6.272,-43.641,0.000,3.065,-23.125,14.321
309.614,6.272,-43.641,0.000,3.065,-23.125,14.321
309.620,6.272,-43.641,0.000,3.065,-23.125,14.321
309.625,6.272,-43.641,0.000,3.065,-23.125,14.321
309.630,6.272,-43.641,0.000,3.065,-23.125,14.321
309.635,6.272,-43.641,0.000,3.065,-23.125,14.321
309.640,6.272,-43.641,0.000,3.065,-23.125,14.321
309.645,6.272,-43.641,0.000,3.065,-23.125,14.321
309.651,6.272,-43.641,0.000,3.065,-23.125,14.321
309.656,6.272,-43.641,0.000,3.065,-23.125,14.321
