R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,0,25,50,0,30,50,15,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,300,100,300,100,15,15
sysTime,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
95.614,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.619,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.625,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.630,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.635,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.640,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.645,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.650,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.655,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.660,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.665,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.671,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.676,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.681,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.686,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.691,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.696,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.701,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.706,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.711,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.717,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.722,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.727,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.732,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.737,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.742,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.747,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.752,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.757,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.763,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.768,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.773,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.778,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.783,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.788,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.793,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.798,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.803,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.809,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.814,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.819,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.824,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.829,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.834,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.839,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.844,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.849,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.854,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.860,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.865,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.870,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.875,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.880,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.885,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.890,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.895,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.900,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.905,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.911,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.916,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.921,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.926,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.931,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.936,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.941,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.946,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.951,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.957,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.962,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.967,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.972,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.977,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.982,0.000,-0.446,0.000,-0.082,-0.538,3.279
95.987,0.000,-0.446,0.000,-0.082,-0.538,3.279
